Time,ForceReading
0.0,0.0
0.001,0.0
0.002,19.0
0.003,31.0
0.004,35.0
0.005,45.0
0.006,54.0
0.007,59.0
0.008,64.0
0.009,70.0
0.01,92.0
0.011,100.0
0.012,108.0
0.013,108.0
0.014,116.0
0.015,124.0
0.016,131.0
0.017,141.0
0.018,155.0
0.019,171.0
0.02,184.0
0.021,196.0
0.022,199.0
0.023,200.0
0.024,205.0
0.025,208.0
0.026,210.0
0.027,216.0
0.028,223.0
0.029,226.0
0.03,228.0
0.031,228.0
0.032,229.0
0.033,232.0
0.034,234.0
0.035,241.0
0.036,243.0
0.037,247.0
0.038,256.0
0.039,266.0
0.04,274.0
0.041,284.0
0.042,288.0
0.043,295.0
0.044,300.0
0.045,305.0
0.046,315.0
0.047,323.0
0.048,335.0
0.049,343.0
0.05,354.0
0.051,367.0
0.052,384.0
0.053,403.0
0.054,410.0
0.055,417.0
0.056,424.0
0.057,432.0
0.058,436.0
0.059,441.0
0.06,446.0
0.061,452.0
0.062,456.0
0.063,462.0
0.064,465.0
0.065,468.0
0.066,472.0
0.067,477.0
0.068,481.0
0.069,487.0
0.07,492.0
0.071,497.0
0.072,500.0
0.073,507.0
0.074,511.0
0.075,516.0
0.076,521.0
0.077,524.0
0.078,529.0
0.079,533.0
0.08,536.0
0.081,539.0
0.082,543.0
0.083,547.0
0.084,552.0
0.085,555.0
0.086,559.0
0.087,563.0
0.088,566.0
0.089,570.0
0.09,572.0
0.091,576.0
0.092,580.0
0.093,582.0
0.094,585.0
0.095,588.0
0.096,592.0
0.097,594.0
0.098,596.0
0.099,600.0
0.1,603.0
0.101,606.0
0.102,610.0
0.103,613.0
0.104,616.0
0.105,618.0
0.106,621.0
0.107,625.0
0.108,628.0
0.109,632.0
0.11,635.0
0.111,639.0
0.112,641.0
0.113,643.0
0.114,645.0
0.115,648.0
0.116,649.0
0.117,653.0
0.118,656.0
0.119,658.0
0.12,660.0
0.121,662.0
0.122,664.0
0.123,668.0
0.124,670.0
0.125,673.0
0.126,676.0
0.127,678.0
0.128,681.0
0.129,682.0
0.13,684.0
0.131,686.0
0.132,688.0
0.133,689.0
0.134,692.0
0.135,693.0
0.136,695.0
0.137,698.0
0.138,699.0
0.139,702.0
0.14,704.0
0.141,705.0
0.142,707.0
0.143,708.0
0.144,710.0
0.145,711.0
0.146,712.0
0.147,714.0
0.148,715.0
0.149,717.0
0.15,718.0
0.151,720.0
0.152,722.0
0.153,723.0
0.154,724.0
0.155,726.0
0.156,727.0
0.157,728.0
