Time,ForceReading
0.0,0.0
0.001,0.0
0.002,20.0
0.003,36.0
0.004,45.0
0.005,48.0
0.006,52.0
0.007,56.0
0.008,59.0
0.009,63.0
0.01,63.0
0.011,65.0
0.012,66.0
0.013,69.0
0.014,81.0
0.015,86.0
0.016,90.0
0.017,96.0
0.018,101.0
0.019,106.0
0.02,108.0
0.021,114.0
0.022,122.0
0.023,129.0
0.024,132.0
0.025,145.0
0.026,172.0
0.027,187.0
0.028,200.0
0.029,206.0
0.03,207.0
0.031,212.0
0.032,219.0
0.033,228.0
0.034,232.0
0.035,248.0
0.036,255.0
0.037,263.0
0.038,276.0
0.039,288.0
0.04,301.0
0.041,320.0
0.042,329.0
0.043,339.0
0.044,347.0
0.045,358.0
0.046,369.0
0.047,378.0
0.048,387.0
0.049,396.0
0.05,403.0
0.051,412.0
0.052,425.0
0.053,440.0
0.054,452.0
0.055,462.0
0.056,470.0
0.057,484.0
0.058,493.0
0.059,501.0
0.06,507.0
0.061,514.0
0.062,521.0
0.063,526.0
0.064,532.0
0.065,538.0
0.066,543.0
0.067,548.0
0.068,556.0
0.069,561.0
0.07,568.0
0.071,573.0
0.072,577.0
0.073,582.0
0.074,587.0
0.075,593.0
0.076,599.0
0.077,605.0
0.078,609.0
0.079,615.0
0.08,621.0
0.081,625.0
0.082,630.0
0.083,635.0
0.084,640.0
0.085,644.0
0.086,647.0
0.087,650.0
0.088,654.0
0.089,658.0
0.09,661.0
0.091,665.0
0.092,667.0
0.093,670.0
0.094,673.0
0.095,675.0
0.096,678.0
0.097,680.0
0.098,682.0
0.099,685.0
0.1,688.0
0.101,691.0
0.102,694.0
0.103,699.0
0.104,703.0
0.105,706.0
0.106,708.0
0.107,710.0
0.108,711.0
0.109,713.0
0.11,715.0
0.111,718.0
0.112,718.0
0.113,720.0
0.114,721.0
0.115,723.0
0.116,726.0
0.117,726.0
0.118,731.0
0.119,732.0
0.12,733.0
0.121,735.0
0.122,736.0
0.123,738.0
0.124,738.0
0.125,740.0
0.126,742.0
0.127,743.0
0.128,746.0
0.129,748.0
0.13,750.0
0.131,753.0
0.132,755.0
0.133,756.0
0.134,758.0
0.135,759.0
0.136,760.0
0.137,763.0
0.138,765.0
0.139,766.0
0.14,767.0
0.141,769.0
0.142,770.0
0.143,772.0
0.144,773.0
0.145,775.0
0.146,777.0
0.147,778.0
0.148,780.0
0.149,782.0
0.15,784.0
0.151,786.0
0.152,787.0
0.153,788.0
0.154,790.0
0.155,791.0
0.156,792.0
0.157,793.0
