Time,ForceReading
0.0,0.0
0.001,0.0
0.002,24.0
0.003,34.0
0.004,39.0
0.005,43.0
0.006,44.0
0.007,48.0
0.008,52.0
0.009,56.0
0.01,64.0
0.011,80.0
0.012,98.0
0.013,112.0
0.014,129.0
0.015,138.0
0.016,147.0
0.017,151.0
0.018,155.0
0.019,158.0
0.02,161.0
0.021,160.0
0.022,161.0
0.023,161.0
0.024,162.0
0.025,162.0
0.026,163.0
0.027,166.0
0.028,168.0
0.029,170.0
0.03,171.0
0.031,171.0
0.032,174.0
0.033,176.0
0.034,180.0
0.035,180.0
0.036,183.0
0.037,182.0
0.038,188.0
0.039,191.0
0.04,193.0
0.041,195.0
0.042,198.0
0.043,203.0
0.044,209.0
0.045,216.0
0.046,219.0
0.047,223.0
0.048,225.0
0.049,229.0
0.05,231.0
0.051,235.0
0.052,240.0
0.053,244.0
0.054,248.0
0.055,256.0
0.056,259.0
0.057,263.0
0.058,265.0
0.059,269.0
0.06,271.0
0.061,272.0
0.062,273.0
0.063,273.0
0.064,272.0
0.065,271.0
0.066,269.0
0.067,268.0
0.068,269.0
0.069,269.0
0.07,270.0
0.071,271.0
0.072,274.0
0.073,275.0
0.074,276.0
0.075,276.0
0.076,277.0
0.077,276.0
0.078,277.0
0.079,276.0
0.08,276.0
0.081,275.0
0.082,275.0
0.083,275.0
0.084,276.0
0.085,276.0
0.086,276.0
0.087,277.0
0.088,276.0
0.089,276.0
0.09,276.0
0.091,276.0
0.092,276.0
0.093,276.0
0.094,277.0
0.095,277.0
0.096,277.0
0.097,279.0
0.098,280.0
0.099,280.0
0.1,280.0
0.101,280.0
0.102,280.0
0.103,280.0
0.104,280.0
0.105,281.0
0.106,281.0
0.107,280.0
0.108,280.0
0.109,281.0
0.11,281.0
0.111,281.0
0.112,282.0
0.113,282.0
0.114,282.0
0.115,283.0
0.116,283.0
0.117,283.0
0.118,284.0
0.119,284.0
0.12,283.0
0.121,284.0
0.122,284.0
0.123,284.0
0.124,284.0
0.125,284.0
0.126,284.0
0.127,284.0
0.128,284.0
0.129,284.0
0.13,284.0
0.131,284.0
0.132,285.0
0.133,285.0
0.134,286.0
0.135,286.0
0.136,286.0
0.137,288.0
0.138,288.0
0.139,288.0
0.14,289.0
0.141,290.0
0.142,291.0
0.143,292.0
0.144,292.0
0.145,293.0
0.146,294.0
0.147,296.0
0.148,298.0
0.149,299.0
0.15,301.0
0.151,304.0
0.152,310.0
0.153,315.0
0.154,324.0
0.155,330.0
0.156,337.0
0.157,343.0
