Time,ForceReading
0.0,0.0
0.001,0.0
0.002,13.0
0.003,20.0
0.004,23.0
0.005,25.0
0.006,25.0
0.007,27.0
0.008,29.0
0.009,30.0
0.01,28.0
0.011,27.0
0.012,26.0
0.013,26.0
0.014,26.0
0.015,26.0
0.016,26.0
0.017,26.0
0.018,25.0
0.019,28.0
0.02,27.0
0.021,28.0
0.022,29.0
0.023,29.0
0.024,29.0
0.025,28.0
0.026,28.0
0.027,28.0
0.028,27.0
0.029,28.0
0.03,28.0
0.031,26.0
0.032,26.0
0.033,27.0
0.034,27.0
0.035,26.0
0.036,28.0
0.037,29.0
0.038,29.0
0.039,28.0
0.04,29.0
0.041,30.0
0.042,30.0
0.043,31.0
0.044,31.0
0.045,29.0
0.046,30.0
0.047,31.0
0.048,30.0
0.049,29.0
0.05,31.0
0.051,30.0
0.052,30.0
0.053,30.0
0.054,30.0
0.055,31.0
0.056,31.0
0.057,31.0
0.058,30.0
0.059,31.0
0.06,32.0
0.061,31.0
0.062,31.0
0.063,32.0
0.064,32.0
0.065,31.0
0.066,31.0
0.067,31.0
0.068,32.0
0.069,30.0
0.07,32.0
0.071,31.0
0.072,30.0
0.073,31.0
0.074,31.0
0.075,32.0
0.076,31.0
0.077,32.0
0.078,33.0
0.079,31.0
0.08,33.0
0.081,35.0
0.082,34.0
0.083,33.0
0.084,33.0
0.085,34.0
0.086,34.0
0.087,34.0
0.088,33.0
0.089,34.0
0.09,34.0
0.091,35.0
0.092,35.0
0.093,39.0
0.094,44.0
0.095,49.0
0.096,53.0
0.097,58.0
0.098,61.0
0.099,64.0
0.1,67.0
0.101,67.0
0.102,70.0
0.103,77.0
0.104,82.0
0.105,84.0
0.106,85.0
0.107,85.0
0.108,78.0
0.109,75.0
0.11,74.0
0.111,74.0
0.112,77.0
0.113,85.0
0.114,96.0
0.115,107.0
0.116,115.0
0.117,124.0
0.118,128.0
0.119,137.0
0.12,139.0
0.121,146.0
0.122,158.0
0.123,171.0
0.124,182.0
0.125,188.0
0.126,198.0
0.127,206.0
0.128,212.0
0.129,211.0
0.13,212.0
0.131,213.0
0.132,217.0
0.133,220.0
0.134,223.0
0.135,234.0
0.136,249.0
0.137,259.0
0.138,267.0
0.139,271.0
0.14,279.0
0.141,287.0
0.142,290.0
0.143,293.0
0.144,302.0
0.145,306.0
0.146,314.0
0.147,321.0
0.148,326.0
0.149,331.0
0.15,337.0
0.151,342.0
0.152,346.0
0.153,349.0
0.154,353.0
0.155,358.0
0.156,360.0
0.157,363.0
