Time,ForceReading
0.0,0.0
0.001,0.0
0.002,8.0
0.003,18.0
0.004,26.0
0.005,31.0
0.006,38.0
0.007,61.0
0.008,67.0
0.009,72.0
0.01,74.0
0.011,87.0
0.012,89.0
0.013,94.0
0.014,101.0
0.015,107.0
0.016,118.0
0.017,124.0
0.018,134.0
0.019,144.0
0.02,152.0
0.021,159.0
0.022,170.0
0.023,177.0
0.024,180.0
0.025,188.0
0.026,191.0
0.027,196.0
0.028,200.0
0.029,204.0
0.03,208.0
0.031,212.0
0.032,216.0
0.033,217.0
0.034,220.0
0.035,223.0
0.036,226.0
0.037,228.0
0.038,231.0
0.039,235.0
0.04,239.0
0.041,246.0
0.042,248.0
0.043,254.0
0.044,257.0
0.045,262.0
0.046,264.0
0.047,269.0
0.048,276.0
0.049,277.0
0.05,281.0
0.051,286.0
0.052,290.0
0.053,292.0
0.054,297.0
0.055,303.0
0.056,308.0
0.057,313.0
0.058,318.0
0.059,322.0
0.06,325.0
0.061,330.0
0.062,330.0
0.063,331.0
0.064,334.0
0.065,339.0
0.066,342.0
0.067,348.0
0.068,354.0
0.069,361.0
0.07,367.0
0.071,373.0
0.072,379.0
0.073,385.0
0.074,390.0
0.075,394.0
0.076,402.0
0.077,408.0
0.078,415.0
0.079,421.0
0.08,429.0
0.081,436.0
0.082,440.0
0.083,445.0
0.084,449.0
0.085,455.0
0.086,460.0
0.087,465.0
0.088,467.0
0.089,471.0
0.09,474.0
0.091,480.0
0.092,482.0
0.093,487.0
0.094,488.0
0.095,492.0
0.096,496.0
0.097,499.0
0.098,502.0
0.099,504.0
0.1,506.0
0.101,509.0
0.102,511.0
0.103,512.0
0.104,515.0
0.105,517.0
0.106,521.0
0.107,523.0
0.108,525.0
0.109,530.0
0.11,532.0
0.111,533.0
0.112,536.0
0.113,540.0
0.114,543.0
0.115,545.0
0.116,546.0
0.117,549.0
0.118,551.0
0.119,553.0
0.12,556.0
0.121,555.0
0.122,558.0
0.123,559.0
0.124,561.0
0.125,564.0
0.126,566.0
0.127,568.0
0.128,570.0
0.129,572.0
0.13,575.0
0.131,575.0
0.132,576.0
0.133,578.0
0.134,582.0
0.135,584.0
0.136,587.0
0.137,587.0
0.138,589.0
0.139,590.0
0.14,591.0
0.141,592.0
0.142,593.0
0.143,597.0
0.144,598.0
0.145,600.0
0.146,602.0
0.147,604.0
0.148,605.0
0.149,608.0
0.15,609.0
0.151,611.0
0.152,613.0
0.153,613.0
0.154,615.0
0.155,617.0
0.156,617.0
0.157,618.0
