Time,ForceReading
0.0,0.0
0.001,0.0
0.002,16.0
0.003,37.0
0.004,44.0
0.005,48.0
0.006,52.0
0.007,54.0
0.008,57.0
0.009,60.0
0.01,63.0
0.011,63.0
0.012,65.0
0.013,66.0
0.014,66.0
0.015,67.0
0.016,70.0
0.017,70.0
0.018,72.0
0.019,75.0
0.02,76.0
0.021,78.0
0.022,80.0
0.023,81.0
0.024,83.0
0.025,84.0
0.026,86.0
0.027,86.0
0.028,86.0
0.029,86.0
0.03,86.0
0.031,87.0
0.032,85.0
0.033,86.0
0.034,87.0
0.035,86.0
0.036,86.0
0.037,86.0
0.038,86.0
0.039,86.0
0.04,86.0
0.041,93.0
0.042,92.0
0.043,92.0
0.044,92.0
0.045,92.0
0.046,93.0
0.047,93.0
0.048,93.0
0.049,92.0
0.05,93.0
0.051,93.0
0.052,93.0
0.053,93.0
0.054,93.0
0.055,93.0
0.056,93.0
0.057,93.0
0.058,94.0
0.059,93.0
0.06,94.0
0.061,94.0
0.062,93.0
0.063,94.0
0.064,93.0
0.065,93.0
0.066,93.0
0.067,94.0
0.068,95.0
0.069,95.0
0.07,95.0
0.071,96.0
0.072,98.0
0.073,97.0
0.074,98.0
0.075,99.0
0.076,100.0
0.077,102.0
0.078,102.0
0.079,103.0
0.08,103.0
0.081,103.0
0.082,103.0
0.083,103.0
0.084,103.0
0.085,103.0
0.086,104.0
0.087,104.0
0.088,104.0
0.089,105.0
0.09,105.0
0.091,106.0
0.092,105.0
0.093,106.0
0.094,106.0
0.095,107.0
0.096,106.0
0.097,108.0
0.098,109.0
0.099,109.0
0.1,110.0
0.101,110.0
0.102,110.0
0.103,110.0
0.104,110.0
0.105,112.0
0.106,112.0
0.107,114.0
0.108,115.0
0.109,116.0
0.11,116.0
0.111,117.0
0.112,117.0
0.113,118.0
0.114,118.0
0.115,120.0
0.116,121.0
0.117,125.0
0.118,131.0
0.119,138.0
0.12,144.0
0.121,152.0
0.122,158.0
0.123,162.0
0.124,164.0
0.125,168.0
0.126,172.0
0.127,177.0
0.128,184.0
0.129,187.0
0.13,190.0
0.131,193.0
0.132,193.0
0.133,188.0
0.134,184.0
0.135,184.0
0.136,191.0
0.137,203.0
0.138,220.0
0.139,235.0
0.14,242.0
0.141,250.0
0.142,263.0
0.143,271.0
0.144,277.0
0.145,283.0
0.146,289.0
0.147,300.0
0.148,312.0
0.149,322.0
0.15,328.0
0.151,336.0
0.152,343.0
0.153,349.0
0.154,355.0
0.155,360.0
0.156,365.0
0.157,370.0
