Time,ForceReading
0.0,0.0
0.001,0.0
0.002,7.0
0.003,25.0
0.004,29.0
0.005,30.0
0.006,31.0
0.007,32.0
0.008,61.0
0.009,80.0
0.01,89.0
0.011,97.0
0.012,104.0
0.013,111.0
0.014,116.0
0.015,123.0
0.016,132.0
0.017,137.0
0.018,141.0
0.019,144.0
0.02,146.0
0.021,149.0
0.022,156.0
0.023,163.0
0.024,166.0
0.025,187.0
0.026,215.0
0.027,225.0
0.028,231.0
0.029,239.0
0.03,244.0
0.031,249.0
0.032,254.0
0.033,257.0
0.034,259.0
0.035,260.0
0.036,260.0
0.037,260.0
0.038,261.0
0.039,260.0
0.04,261.0
0.041,262.0
0.042,263.0
0.043,266.0
0.044,272.0
0.045,276.0
0.046,284.0
0.047,289.0
0.048,295.0
0.049,302.0
0.05,309.0
0.051,312.0
0.052,315.0
0.053,318.0
0.054,320.0
0.055,323.0
0.056,325.0
0.057,326.0
0.058,327.0
0.059,329.0
0.06,330.0
0.061,332.0
0.062,333.0
0.063,335.0
0.064,337.0
0.065,340.0
0.066,343.0
0.067,346.0
0.068,350.0
0.069,355.0
0.07,359.0
0.071,362.0
0.072,378.0
0.073,390.0
0.074,402.0
0.075,415.0
0.076,425.0
0.077,436.0
0.078,445.0
0.079,452.0
0.08,459.0
0.081,463.0
0.082,466.0
0.083,468.0
0.084,469.0
0.085,470.0
0.086,469.0
0.087,469.0
0.088,469.0
0.089,469.0
0.09,468.0
0.091,468.0
0.092,469.0
0.093,470.0
0.094,469.0
0.095,471.0
0.096,471.0
0.097,471.0
0.098,472.0
0.099,472.0
0.1,472.0
0.101,472.0
0.102,472.0
0.103,472.0
0.104,472.0
0.105,472.0
0.106,472.0
0.107,472.0
0.108,472.0
0.109,472.0
0.11,473.0
0.111,474.0
0.112,473.0
0.113,474.0
0.114,474.0
0.115,475.0
0.116,475.0
0.117,475.0
0.118,475.0
0.119,475.0
0.12,475.0
0.121,477.0
0.122,476.0
0.123,476.0
0.124,476.0
0.125,476.0
0.126,476.0
0.127,476.0
0.128,476.0
0.129,476.0
0.13,477.0
0.131,477.0
0.132,478.0
0.133,477.0
0.134,479.0
0.135,478.0
0.136,479.0
0.137,479.0
0.138,479.0
0.139,479.0
0.14,480.0
0.141,481.0
0.142,481.0
0.143,480.0
0.144,481.0
0.145,481.0
0.146,481.0
0.147,481.0
0.148,482.0
0.149,482.0
0.15,483.0
0.151,484.0
0.152,484.0
0.153,485.0
0.154,486.0
0.155,490.0
0.156,490.0
0.157,490.0
