Time,ForceReading
0.0,0.0
0.001,0.0
0.002,9.0
0.003,22.0
0.004,24.0
0.005,28.0
0.006,32.0
0.007,36.0
0.008,44.0
0.009,56.0
0.01,59.0
0.011,66.0
0.012,75.0
0.013,90.0
0.014,97.0
0.015,110.0
0.016,117.0
0.017,128.0
0.018,137.0
0.019,145.0
0.02,158.0
0.021,166.0
0.022,177.0
0.023,186.0
0.024,198.0
0.025,219.0
0.026,248.0
0.027,264.0
0.028,280.0
0.029,291.0
0.03,304.0
0.031,315.0
0.032,325.0
0.033,334.0
0.034,345.0
0.035,353.0
0.036,363.0
0.037,373.0
0.038,381.0
0.039,393.0
0.04,404.0
0.041,412.0
0.042,419.0
0.043,431.0
0.044,440.0
0.045,450.0
0.046,459.0
0.047,468.0
0.048,474.0
0.049,480.0
0.05,487.0
0.051,493.0
0.052,500.0
0.053,507.0
0.054,515.0
0.055,520.0
0.056,526.0
0.057,531.0
0.058,536.0
0.059,542.0
0.06,548.0
0.061,553.0
0.062,557.0
0.063,563.0
0.064,567.0
0.065,568.0
0.066,571.0
0.067,575.0
0.068,577.0
0.069,577.0
0.07,579.0
0.071,581.0
0.072,584.0
0.073,586.0
0.074,587.0
0.075,588.0
0.076,591.0
0.077,592.0
0.078,594.0
0.079,596.0
0.08,598.0
0.081,601.0
0.082,604.0
0.083,607.0
0.084,610.0
0.085,613.0
0.086,615.0
0.087,618.0
0.088,621.0
0.089,622.0
0.09,624.0
0.091,626.0
0.092,628.0
0.093,631.0
0.094,634.0
0.095,638.0
0.096,640.0
0.097,642.0
0.098,645.0
0.099,647.0
0.1,649.0
0.101,652.0
0.102,654.0
0.103,656.0
0.104,657.0
0.105,659.0
0.106,661.0
0.107,663.0
0.108,666.0
0.109,667.0
0.11,669.0
0.111,671.0
0.112,673.0
0.113,673.0
0.114,675.0
0.115,677.0
0.116,678.0
0.117,679.0
0.118,680.0
0.119,682.0
0.12,684.0
0.121,685.0
0.122,687.0
0.123,688.0
0.124,691.0
0.125,691.0
0.126,694.0
0.127,695.0
0.128,696.0
0.129,698.0
0.13,699.0
0.131,700.0
0.132,701.0
0.133,702.0
0.134,703.0
0.135,705.0
0.136,705.0
0.137,707.0
0.138,708.0
0.139,709.0
0.14,711.0
0.141,711.0
0.142,712.0
0.143,713.0
0.144,714.0
0.145,714.0
0.146,716.0
0.147,716.0
0.148,717.0
0.149,718.0
0.15,719.0
0.151,720.0
0.152,721.0
0.153,723.0
0.154,724.0
0.155,725.0
0.156,725.0
0.157,727.0
