Time,ForceReading
0.0,0.0
0.001,2.0
0.002,3.0
0.003,1.0
0.004,9.0
0.005,9.0
0.006,13.0
0.007,17.0
0.008,20.0
0.009,21.0
0.01,25.0
0.011,27.0
0.012,29.0
0.013,33.0
0.014,31.0
0.015,29.0
0.016,21.0
0.017,18.0
0.018,16.0
0.019,11.0
0.02,11.0
0.021,11.0
0.022,11.0
0.023,24.0
0.024,31.0
0.025,36.0
0.026,40.0
0.027,48.0
0.028,62.0
0.029,78.0
0.03,87.0
0.031,93.0
0.032,95.0
0.033,96.0
0.034,97.0
0.035,97.0
0.036,103.0
0.037,104.0
0.038,106.0
0.039,115.0
0.04,121.0
0.041,127.0
0.042,129.0
0.043,130.0
0.044,133.0
0.045,133.0
0.046,137.0
0.047,139.0
0.048,142.0
0.049,144.0
0.05,149.0
0.051,150.0
0.052,155.0
0.053,157.0
0.054,165.0
0.055,168.0
0.056,172.0
0.057,174.0
0.058,174.0
0.059,176.0
0.06,177.0
0.061,178.0
0.062,180.0
0.063,182.0
0.064,184.0
0.065,189.0
0.066,202.0
0.067,207.0
0.068,214.0
0.069,221.0
0.07,229.0
0.071,235.0
0.072,245.0
0.073,249.0
0.074,254.0
0.075,260.0
0.076,267.0
0.077,270.0
0.078,272.0
0.079,276.0
0.08,282.0
0.081,285.0
0.082,292.0
0.083,297.0
0.084,299.0
0.085,302.0
0.086,304.0
0.087,305.0
0.088,306.0
0.089,310.0
0.09,311.0
0.091,315.0
0.092,319.0
0.093,320.0
0.094,326.0
0.095,326.0
0.096,327.0
0.097,334.0
0.098,338.0
0.099,342.0
0.1,345.0
0.101,348.0
0.102,351.0
0.103,353.0
0.104,355.0
0.105,361.0
0.106,362.0
0.107,365.0
0.108,369.0
0.109,373.0
0.11,376.0
0.111,377.0
0.112,379.0
0.113,381.0
0.114,385.0
0.115,389.0
0.116,390.0
0.117,391.0
0.118,393.0
0.119,395.0
0.12,394.0
0.121,395.0
0.122,395.0
0.123,396.0
0.124,399.0
0.125,401.0
0.126,404.0
0.127,404.0
0.128,405.0
0.129,406.0
0.13,408.0
0.131,410.0
0.132,411.0
0.133,415.0
0.134,420.0
0.135,423.0
0.136,430.0
0.137,432.0
0.138,440.0
0.139,444.0
0.14,447.0
0.141,452.0
0.142,454.0
0.143,456.0
0.144,458.0
0.145,460.0
0.146,461.0
0.147,464.0
0.148,465.0
0.149,468.0
0.15,472.0
0.151,474.0
0.152,477.0
0.153,479.0
0.154,482.0
0.155,485.0
0.156,489.0
0.157,492.0
0.158,494.0
0.159,496.0
0.16,497.0
0.161,497.0
0.162,498.0
0.163,500.0
0.164,501.0
0.165,502.0
0.166,504.0
0.167,505.0
0.168,505.0
0.169,505.0
0.17,506.0
0.171,507.0
0.172,507.0
0.173,508.0
0.174,508.0
0.175,508.0
0.176,509.0
0.177,509.0
0.178,509.0
0.179,509.0
0.18,509.0
0.181,509.0
0.182,510.0
0.183,510.0
0.184,511.0
0.185,512.0
0.186,512.0
0.187,511.0
0.188,511.0
0.189,511.0
0.19,512.0
0.191,514.0
0.192,514.0
0.193,515.0
0.194,517.0
0.195,519.0
0.196,523.0
0.197,525.0
0.198,529.0
0.199,531.0
0.2,530.0
0.201,528.0
0.202,530.0
0.203,531.0
0.204,531.0
0.205,529.0
0.206,530.0
0.207,532.0
0.208,532.0
0.209,533.0
0.21,534.0
0.211,535.0
0.212,536.0
0.213,536.0
0.214,536.0
0.215,536.0
0.216,538.0
0.217,539.0
0.218,540.0
0.219,541.0
0.22,540.0
0.221,539.0
0.222,538.0
0.223,538.0
0.224,537.0
0.225,538.0
0.226,537.0
0.227,539.0
0.228,537.0
0.229,537.0
0.23,535.0
0.231,537.0
0.232,537.0
0.233,537.0
0.234,539.0
0.235,541.0
0.236,542.0
0.237,542.0
0.238,543.0
0.239,544.0
0.24,545.0
0.241,545.0
0.242,544.0
0.243,542.0
0.244,541.0
0.245,542.0
0.246,544.0
0.247,545.0
0.248,544.0
0.249,544.0
0.25,545.0
0.251,546.0
0.252,547.0
0.253,545.0
0.254,546.0
0.255,545.0
0.256,545.0
0.257,546.0
0.258,546.0
0.259,546.0
0.26,546.0
0.261,546.0
0.262,548.0
0.263,549.0
0.264,548.0
0.265,549.0
0.266,550.0
0.267,550.0
0.268,550.0
0.269,551.0
0.27,551.0
0.271,552.0
0.272,553.0
0.273,552.0
0.274,554.0
0.275,552.0
0.276,553.0
0.277,553.0
0.278,553.0
0.279,554.0
0.28,553.0
0.281,552.0
0.282,551.0
0.283,550.0
0.284,550.0
0.285,551.0
0.286,551.0
0.287,550.0
0.288,549.0
0.289,547.0
0.29,546.0
0.291,544.0
0.292,545.0
0.293,546.0
0.294,548.0
0.295,547.0
0.296,549.0
0.297,547.0
0.298,547.0
0.299,548.0
0.3,549.0
0.301,551.0
0.302,552.0
0.303,553.0
0.304,553.0
0.305,554.0
0.306,554.0
0.307,554.0
0.308,552.0
0.309,552.0
0.31,550.0
0.311,552.0
0.312,553.0
0.313,555.0
0.314,556.0
0.315,557.0
0.316,557.0
0.317,559.0
0.318,559.0
0.319,560.0
0.32,560.0
0.321,558.0
0.322,562.0
0.323,566.0
0.324,565.0
0.325,565.0
0.326,563.0
0.327,563.0
0.328,565.0
0.329,565.0
0.33,565.0
0.331,567.0
0.332,565.0
0.333,563.0
0.334,562.0
0.335,563.0
0.336,564.0
0.337,563.0
0.338,565.0
0.339,564.0
0.34,563.0
0.341,561.0
0.342,560.0
0.343,560.0
0.344,561.0
0.345,563.0
0.346,562.0
0.347,563.0
0.348,562.0
0.349,562.0
0.35,562.0
0.351,563.0
0.352,564.0
0.353,563.0
0.354,564.0
0.355,565.0
0.356,568.0
0.357,567.0
0.358,567.0
0.359,567.0
0.36,568.0
0.361,570.0
0.362,571.0
0.363,571.0
0.364,574.0
0.365,574.0
