Time,ForceReading
0.0,0.0
0.001,0.0
0.002,6.0
0.003,22.0
0.004,31.0
0.005,34.0
0.006,35.0
0.007,36.0
0.008,37.0
0.009,38.0
0.01,39.0
0.011,39.0
0.012,39.0
0.013,39.0
0.014,37.0
0.015,36.0
0.016,37.0
0.017,35.0
0.018,36.0
0.019,38.0
0.02,38.0
0.021,39.0
0.022,39.0
0.023,39.0
0.024,38.0
0.025,40.0
0.026,40.0
0.027,39.0
0.028,39.0
0.029,41.0
0.03,40.0
0.031,40.0
0.032,39.0
0.033,40.0
0.034,40.0
0.035,41.0
0.036,41.0
0.037,41.0
0.038,40.0
0.039,40.0
0.04,41.0
0.041,40.0
0.042,40.0
0.043,41.0
0.044,42.0
0.045,42.0
0.046,41.0
0.047,41.0
0.048,42.0
0.049,41.0
0.05,42.0
0.051,42.0
0.052,42.0
0.053,42.0
0.054,43.0
0.055,43.0
0.056,46.0
0.057,46.0
0.058,45.0
0.059,46.0
0.06,46.0
0.061,45.0
0.062,46.0
0.063,45.0
0.064,45.0
0.065,42.0
0.066,42.0
0.067,42.0
0.068,42.0
0.069,42.0
0.07,45.0
0.071,46.0
0.072,47.0
0.073,47.0
0.074,47.0
0.075,45.0
0.076,44.0
0.077,44.0
0.078,46.0
0.079,46.0
0.08,45.0
0.081,46.0
0.082,47.0
0.083,47.0
0.084,47.0
0.085,47.0
0.086,49.0
0.087,47.0
0.088,49.0
0.089,49.0
0.09,50.0
0.091,50.0
0.092,51.0
0.093,51.0
0.094,52.0
0.095,50.0
0.096,51.0
0.097,51.0
0.098,52.0
0.099,52.0
0.1,53.0
0.101,53.0
0.102,55.0
0.103,56.0
0.104,56.0
0.105,58.0
0.106,58.0
0.107,62.0
0.108,73.0
0.109,78.0
0.11,87.0
0.111,93.0
0.112,99.0
0.113,112.0
0.114,118.0
0.115,121.0
0.116,127.0
0.117,129.0
0.118,130.0
0.119,134.0
0.12,134.0
0.121,138.0
0.122,141.0
0.123,146.0
0.124,150.0
0.125,155.0
0.126,162.0
0.127,170.0
0.128,179.0
0.129,187.0
0.13,194.0
0.131,198.0
0.132,204.0
0.133,214.0
0.134,219.0
0.135,227.0
0.136,234.0
0.137,236.0
0.138,241.0
0.139,246.0
0.14,250.0
0.141,253.0
0.142,258.0
0.143,263.0
0.144,266.0
0.145,268.0
0.146,271.0
0.147,275.0
0.148,279.0
0.149,282.0
0.15,282.0
0.151,284.0
0.152,284.0
0.153,285.0
0.154,289.0
0.155,293.0
0.156,293.0
0.157,297.0
