Time,ForceReading
0.0,0.0
0.001,0.0
0.002,11.0
0.003,18.0
0.004,24.0
0.005,26.0
0.006,29.0
0.007,28.0
0.008,29.0
0.009,28.0
0.01,27.0
0.011,30.0
0.012,30.0
0.013,32.0
0.014,34.0
0.015,43.0
0.016,55.0
0.017,65.0
0.018,68.0
0.019,71.0
0.02,73.0
0.021,78.0
0.022,81.0
0.023,83.0
0.024,90.0
0.025,96.0
0.026,107.0
0.027,120.0
0.028,149.0
0.029,174.0
0.03,191.0
0.031,206.0
0.032,220.0
0.033,231.0
0.034,238.0
0.035,246.0
0.036,250.0
0.037,252.0
0.038,251.0
0.039,247.0
0.04,246.0
0.041,247.0
0.042,249.0
0.043,253.0
0.044,257.0
0.045,264.0
0.046,272.0
0.047,282.0
0.048,292.0
0.049,299.0
0.05,305.0
0.051,309.0
0.052,316.0
0.053,321.0
0.054,326.0
0.055,333.0
0.056,338.0
0.057,346.0
0.058,351.0
0.059,355.0
0.06,362.0
0.061,367.0
0.062,369.0
0.063,377.0
0.064,379.0
0.065,390.0
0.066,395.0
0.067,403.0
0.068,409.0
0.069,413.0
0.07,418.0
0.071,425.0
0.072,428.0
0.073,432.0
0.074,436.0
0.075,439.0
0.076,442.0
0.077,447.0
0.078,448.0
0.079,451.0
0.08,455.0
0.081,458.0
0.082,462.0
0.083,465.0
0.084,468.0
0.085,471.0
0.086,474.0
0.087,476.0
0.088,479.0
0.089,483.0
0.09,488.0
0.091,491.0
0.092,493.0
0.093,496.0
0.094,499.0
0.095,500.0
0.096,505.0
0.097,507.0
0.098,509.0
0.099,512.0
0.1,520.0
0.101,524.0
0.102,528.0
0.103,531.0
0.104,534.0
0.105,536.0
0.106,538.0
0.107,542.0
0.108,542.0
0.109,545.0
0.11,548.0
0.111,551.0
0.112,554.0
0.113,560.0
0.114,566.0
0.115,569.0
0.116,574.0
0.117,574.0
0.118,577.0
0.119,580.0
0.12,581.0
0.121,583.0
0.122,586.0
0.123,589.0
0.124,591.0
0.125,593.0
0.126,598.0
0.127,601.0
0.128,603.0
0.129,607.0
0.13,610.0
0.131,612.0
0.132,614.0
0.133,618.0
0.134,620.0
0.135,623.0
0.136,624.0
0.137,627.0
0.138,628.0
0.139,630.0
0.14,632.0
0.141,634.0
0.142,635.0
0.143,637.0
0.144,639.0
0.145,643.0
0.146,646.0
0.147,648.0
0.148,651.0
0.149,652.0
0.15,655.0
0.151,657.0
0.152,660.0
0.153,663.0
0.154,664.0
0.155,666.0
0.156,669.0
0.157,670.0
