Time,ForceReading
0.0,0.0
0.001,0.0
0.002,9.0
0.003,8.0
0.004,14.0
0.005,22.0
0.006,35.0
0.007,42.0
0.008,46.0
0.009,52.0
0.01,58.0
0.011,61.0
0.012,64.0
0.013,66.0
0.014,67.0
0.015,70.0
0.016,74.0
0.017,78.0
0.018,84.0
0.019,88.0
0.02,91.0
0.021,93.0
0.022,96.0
0.023,96.0
0.024,102.0
0.025,104.0
0.026,107.0
0.027,111.0
0.028,113.0
0.029,115.0
0.03,115.0
0.031,115.0
0.032,114.0
0.033,122.0
0.034,127.0
0.035,135.0
0.036,143.0
0.037,147.0
0.038,151.0
0.039,154.0
0.04,158.0
0.041,163.0
0.042,168.0
0.043,168.0
0.044,172.0
0.045,176.0
0.046,180.0
0.047,186.0
0.048,192.0
0.049,195.0
0.05,199.0
0.051,204.0
0.052,210.0
0.053,215.0
0.054,218.0
0.055,221.0
0.056,223.0
0.057,226.0
0.058,230.0
0.059,234.0
0.06,238.0
0.061,240.0
0.062,251.0
0.063,256.0
0.064,258.0
0.065,266.0
0.066,275.0
0.067,280.0
0.068,286.0
0.069,293.0
0.07,300.0
0.071,307.0
0.072,315.0
0.073,319.0
0.074,323.0
0.075,329.0
0.076,335.0
0.077,337.0
0.078,344.0
0.079,348.0
0.08,353.0
0.081,359.0
0.082,362.0
0.083,369.0
0.084,375.0
0.085,379.0
0.086,384.0
0.087,387.0
0.088,390.0
0.089,390.0
0.09,394.0
0.091,399.0
0.092,401.0
0.093,408.0
0.094,415.0
0.095,420.0
0.096,424.0
0.097,428.0
0.098,433.0
0.099,436.0
0.1,439.0
0.101,441.0
0.102,444.0
0.103,447.0
0.104,448.0
0.105,450.0
0.106,451.0
0.107,455.0
0.108,456.0
0.109,459.0
0.11,462.0
0.111,463.0
0.112,466.0
0.113,469.0
0.114,471.0
0.115,473.0
0.116,476.0
0.117,477.0
0.118,479.0
0.119,482.0
0.12,484.0
0.121,487.0
0.122,489.0
0.123,491.0
0.124,493.0
0.125,495.0
0.126,497.0
0.127,500.0
0.128,502.0
0.129,503.0
0.13,506.0
0.131,509.0
0.132,511.0
0.133,513.0
0.134,514.0
0.135,516.0
0.136,517.0
0.137,520.0
0.138,521.0
0.139,523.0
0.14,525.0
0.141,528.0
0.142,530.0
0.143,531.0
0.144,533.0
0.145,535.0
0.146,537.0
0.147,538.0
0.148,542.0
0.149,545.0
0.15,546.0
0.151,548.0
0.152,549.0
0.153,552.0
0.154,552.0
0.155,553.0
0.156,554.0
0.157,555.0
