Time,ForceReading
0.0,0.0
0.001,0.0
0.002,8.0
0.003,24.0
0.004,30.0
0.005,36.0
0.006,41.0
0.007,42.0
0.008,45.0
0.009,48.0
0.01,54.0
0.011,61.0
0.012,72.0
0.013,79.0
0.014,91.0
0.015,99.0
0.016,105.0
0.017,105.0
0.018,109.0
0.019,113.0
0.02,114.0
0.021,119.0
0.022,121.0
0.023,122.0
0.024,132.0
0.025,153.0
0.026,157.0
0.027,163.0
0.028,162.0
0.029,161.0
0.03,165.0
0.031,169.0
0.032,173.0
0.033,175.0
0.034,176.0
0.035,177.0
0.036,175.0
0.037,171.0
0.038,170.0
0.039,169.0
0.04,170.0
0.041,173.0
0.042,172.0
0.043,172.0
0.044,173.0
0.045,174.0
0.046,173.0
0.047,176.0
0.048,177.0
0.049,176.0
0.05,179.0
0.051,193.0
0.052,201.0
0.053,205.0
0.054,213.0
0.055,223.0
0.056,236.0
0.057,246.0
0.058,250.0
0.059,251.0
0.06,252.0
0.061,252.0
0.062,254.0
0.063,253.0
0.064,250.0
0.065,242.0
0.066,236.0
0.067,232.0
0.068,230.0
0.069,227.0
0.07,228.0
0.071,232.0
0.072,236.0
0.073,247.0
0.074,254.0
0.075,255.0
0.076,259.0
0.077,261.0
0.078,261.0
0.079,261.0
0.08,261.0
0.081,261.0
0.082,264.0
0.083,268.0
0.084,267.0
0.085,268.0
0.086,274.0
0.087,280.0
0.088,283.0
0.089,292.0
0.09,297.0
0.091,299.0
0.092,305.0
0.093,304.0
0.094,308.0
0.095,306.0
0.096,307.0
0.097,311.0
0.098,312.0
0.099,314.0
0.1,319.0
0.101,320.0
0.102,323.0
0.103,327.0
0.104,330.0
0.105,329.0
0.106,329.0
0.107,324.0
0.108,322.0
0.109,320.0
0.11,320.0
0.111,320.0
0.112,320.0
0.113,321.0
0.114,321.0
0.115,321.0
0.116,321.0
0.117,321.0
0.118,322.0
0.119,321.0
0.12,322.0
0.121,322.0
0.122,324.0
0.123,325.0
0.124,326.0
0.125,326.0
0.126,325.0
0.127,323.0
0.128,323.0
0.129,323.0
0.13,323.0
0.131,323.0
0.132,323.0
0.133,323.0
0.134,324.0
0.135,323.0
0.136,324.0
0.137,323.0
0.138,323.0
0.139,323.0
0.14,324.0
0.141,325.0
0.142,325.0
0.143,325.0
0.144,324.0
0.145,325.0
0.146,326.0
0.147,323.0
0.148,324.0
0.149,324.0
0.15,325.0
0.151,324.0
0.152,325.0
0.153,327.0
0.154,328.0
0.155,326.0
0.156,328.0
0.157,328.0
