Time,ForceReading
0.0,0.0
0.001,0.0
0.002,9.0
0.003,11.0
0.004,19.0
0.005,18.0
0.006,25.0
0.007,30.0
0.008,31.0
0.009,32.0
0.01,33.0
0.011,35.0
0.012,35.0
0.013,37.0
0.014,40.0
0.015,41.0
0.016,42.0
0.017,44.0
0.018,45.0
0.019,46.0
0.02,46.0
0.021,49.0
0.022,50.0
0.023,57.0
0.024,65.0
0.025,68.0
0.026,72.0
0.027,76.0
0.028,80.0
0.029,84.0
0.03,89.0
0.031,97.0
0.032,98.0
0.033,102.0
0.034,106.0
0.035,108.0
0.036,111.0
0.037,113.0
0.038,116.0
0.039,118.0
0.04,120.0
0.041,119.0
0.042,122.0
0.043,123.0
0.044,124.0
0.045,125.0
0.046,128.0
0.047,130.0
0.048,129.0
0.049,131.0
0.05,132.0
0.051,131.0
0.052,131.0
0.053,130.0
0.054,131.0
0.055,130.0
0.056,130.0
0.057,130.0
0.058,130.0
0.059,130.0
0.06,130.0
0.061,131.0
0.062,130.0
0.063,132.0
0.064,132.0
0.065,133.0
0.066,134.0
0.067,134.0
0.068,135.0
0.069,134.0
0.07,135.0
0.071,135.0
0.072,135.0
0.073,135.0
0.074,135.0
0.075,135.0
0.076,136.0
0.077,136.0
0.078,136.0
0.079,137.0
0.08,137.0
0.081,137.0
0.082,139.0
0.083,137.0
0.084,141.0
0.085,143.0
0.086,145.0
0.087,145.0
0.088,145.0
0.089,146.0
0.09,147.0
0.091,147.0
0.092,147.0
0.093,146.0
0.094,146.0
0.095,145.0
0.096,145.0
0.097,146.0
0.098,145.0
0.099,146.0
0.1,145.0
0.101,148.0
0.102,145.0
0.103,146.0
0.104,147.0
0.105,147.0
0.106,147.0
0.107,147.0
0.108,147.0
0.109,149.0
0.11,149.0
0.111,149.0
0.112,151.0
0.113,151.0
0.114,154.0
0.115,154.0
0.116,155.0
0.117,155.0
0.118,157.0
0.119,157.0
0.12,158.0
0.121,160.0
0.122,158.0
0.123,159.0
0.124,162.0
0.125,163.0
0.126,166.0
0.127,167.0
0.128,170.0
0.129,172.0
0.13,175.0
0.131,177.0
0.132,180.0
0.133,183.0
0.134,188.0
0.135,191.0
0.136,198.0
0.137,203.0
0.138,207.0
0.139,210.0
0.14,212.0
0.141,214.0
0.142,219.0
0.143,220.0
0.144,224.0
0.145,226.0
0.146,230.0
0.147,231.0
0.148,235.0
0.149,239.0
0.15,242.0
0.151,246.0
0.152,248.0
0.153,253.0
0.154,256.0
0.155,258.0
0.156,261.0
0.157,267.0
