Time,ForceReading
0.0,0.0
0.001,0.0
0.002,28.0
0.003,76.0
0.004,112.0
0.005,134.0
0.006,165.0
0.007,179.0
0.008,193.0
0.009,209.0
0.01,218.0
0.011,224.0
0.012,225.0
0.013,223.0
0.014,224.0
0.015,224.0
0.016,227.0
0.017,232.0
0.018,239.0
0.019,246.0
0.02,257.0
0.021,266.0
0.022,279.0
0.023,284.0
0.024,291.0
0.025,295.0
0.026,297.0
0.027,299.0
0.028,301.0
0.029,303.0
0.03,306.0
0.031,306.0
0.032,310.0
0.033,314.0
0.034,317.0
0.035,319.0
0.036,320.0
0.037,315.0
0.038,309.0
0.039,296.0
0.04,283.0
0.041,276.0
0.042,276.0
0.043,280.0
0.044,288.0
0.045,296.0
0.046,302.0
0.047,310.0
0.048,311.0
0.049,315.0
0.05,316.0
0.051,317.0
0.052,320.0
0.053,320.0
0.054,320.0
0.055,319.0
0.056,318.0
0.057,316.0
0.058,313.0
0.059,311.0
0.06,309.0
0.061,310.0
0.062,309.0
0.063,309.0
0.064,310.0
0.065,311.0
0.066,312.0
0.067,312.0
0.068,313.0
0.069,312.0
0.07,313.0
0.071,313.0
0.072,312.0
0.073,311.0
0.074,310.0
0.075,310.0
0.076,310.0
0.077,311.0
0.078,311.0
0.079,312.0
0.08,311.0
0.081,313.0
0.082,313.0
0.083,314.0
0.084,315.0
0.085,315.0
0.086,316.0
0.087,315.0
0.088,315.0
0.089,317.0
0.09,317.0
0.091,316.0
0.092,316.0
0.093,316.0
0.094,317.0
0.095,315.0
0.096,315.0
0.097,313.0
0.098,314.0
0.099,314.0
0.1,312.0
0.101,313.0
0.102,313.0
0.103,314.0
0.104,314.0
0.105,316.0
0.106,316.0
0.107,316.0
0.108,317.0
0.109,317.0
0.11,319.0
0.111,317.0
0.112,318.0
0.113,319.0
0.114,319.0
0.115,319.0
0.116,319.0
0.117,319.0
0.118,320.0
0.119,320.0
0.12,322.0
0.121,324.0
0.122,324.0
0.123,324.0
0.124,324.0
0.125,323.0
0.126,322.0
0.127,324.0
0.128,325.0
0.129,331.0
0.13,341.0
0.131,356.0
0.132,378.0
0.133,393.0
0.134,401.0
0.135,407.0
0.136,410.0
0.137,412.0
0.138,415.0
0.139,416.0
0.14,416.0
0.141,418.0
0.142,421.0
0.143,423.0
0.144,428.0
0.145,431.0
0.146,436.0
0.147,440.0
0.148,443.0
0.149,444.0
0.15,445.0
0.151,447.0
0.152,450.0
0.153,456.0
0.154,462.0
0.155,470.0
0.156,484.0
0.157,499.0
