Time,ForceReading
0.0,0.0
0.001,0.0
0.002,13.0
0.003,28.0
0.004,41.0
0.005,46.0
0.006,56.0
0.007,61.0
0.008,65.0
0.009,69.0
0.01,75.0
0.011,79.0
0.012,82.0
0.013,85.0
0.014,88.0
0.015,93.0
0.016,94.0
0.017,95.0
0.018,96.0
0.019,98.0
0.02,98.0
0.021,100.0
0.022,100.0
0.023,101.0
0.024,103.0
0.025,106.0
0.026,119.0
0.027,123.0
0.028,127.0
0.029,126.0
0.03,127.0
0.031,128.0
0.032,129.0
0.033,129.0
0.034,129.0
0.035,130.0
0.036,133.0
0.037,132.0
0.038,138.0
0.039,137.0
0.04,138.0
0.041,138.0
0.042,139.0
0.043,144.0
0.044,146.0
0.045,147.0
0.046,148.0
0.047,150.0
0.048,152.0
0.049,154.0
0.05,156.0
0.051,157.0
0.052,159.0
0.053,159.0
0.054,160.0
0.055,165.0
0.056,169.0
0.057,168.0
0.058,173.0
0.059,176.0
0.06,180.0
0.061,184.0
0.062,186.0
0.063,188.0
0.064,190.0
0.065,192.0
0.066,195.0
0.067,198.0
0.068,200.0
0.069,203.0
0.07,204.0
0.071,210.0
0.072,213.0
0.073,218.0
0.074,222.0
0.075,228.0
0.076,230.0
0.077,240.0
0.078,242.0
0.079,245.0
0.08,246.0
0.081,247.0
0.082,248.0
0.083,250.0
0.084,251.0
0.085,252.0
0.086,253.0
0.087,253.0
0.088,253.0
0.089,253.0
0.09,254.0
0.091,254.0
0.092,253.0
0.093,254.0
0.094,253.0
0.095,252.0
0.096,254.0
0.097,253.0
0.098,253.0
0.099,253.0
0.1,253.0
0.101,253.0
0.102,253.0
0.103,252.0
0.104,253.0
0.105,253.0
0.106,253.0
0.107,252.0
0.108,252.0
0.109,252.0
0.11,252.0
0.111,253.0
0.112,254.0
0.113,254.0
0.114,255.0
0.115,253.0
0.116,256.0
0.117,255.0
0.118,255.0
0.119,255.0
0.12,254.0
0.121,254.0
0.122,254.0
0.123,255.0
0.124,254.0
0.125,254.0
0.126,254.0
0.127,254.0
0.128,254.0
0.129,254.0
0.13,254.0
0.131,255.0
0.132,255.0
0.133,256.0
0.134,257.0
0.135,255.0
0.136,257.0
0.137,257.0
0.138,257.0
0.139,256.0
0.14,256.0
0.141,256.0
0.142,256.0
0.143,256.0
0.144,256.0
0.145,257.0
0.146,256.0
0.147,257.0
0.148,256.0
0.149,256.0
0.15,256.0
0.151,257.0
0.152,257.0
0.153,256.0
0.154,258.0
0.155,258.0
0.156,257.0
0.157,260.0
