Time,ForceReading
0.0,0.0
0.001,0.0
0.002,6.0
0.003,11.0
0.004,15.0
0.005,24.0
0.006,30.0
0.007,31.0
0.008,32.0
0.009,33.0
0.01,34.0
0.011,35.0
0.012,36.0
0.013,36.0
0.014,37.0
0.015,39.0
0.016,42.0
0.017,42.0
0.018,43.0
0.019,43.0
0.02,44.0
0.021,48.0
0.022,49.0
0.023,50.0
0.024,53.0
0.025,55.0
0.026,55.0
0.027,59.0
0.028,61.0
0.029,61.0
0.03,63.0
0.031,62.0
0.032,63.0
0.033,62.0
0.034,64.0
0.035,64.0
0.036,65.0
0.037,67.0
0.038,66.0
0.039,68.0
0.04,69.0
0.041,70.0
0.042,70.0
0.043,72.0
0.044,70.0
0.045,72.0
0.046,73.0
0.047,72.0
0.048,73.0
0.049,72.0
0.05,72.0
0.051,73.0
0.052,74.0
0.053,75.0
0.054,74.0
0.055,73.0
0.056,73.0
0.057,74.0
0.058,74.0
0.059,74.0
0.06,74.0
0.061,75.0
0.062,75.0
0.063,76.0
0.064,75.0
0.065,75.0
0.066,77.0
0.067,76.0
0.068,76.0
0.069,76.0
0.07,75.0
0.071,75.0
0.072,76.0
0.073,76.0
0.074,75.0
0.075,76.0
0.076,75.0
0.077,75.0
0.078,74.0
0.079,76.0
0.08,76.0
0.081,77.0
0.082,77.0
0.083,76.0
0.084,78.0
0.085,79.0
0.086,77.0
0.087,79.0
0.088,79.0
0.089,79.0
0.09,79.0
0.091,79.0
0.092,80.0
0.093,81.0
0.094,80.0
0.095,81.0
0.096,80.0
0.097,81.0
0.098,81.0
0.099,82.0
0.1,84.0
0.101,84.0
0.102,86.0
0.103,86.0
0.104,89.0
0.105,92.0
0.106,91.0
0.107,92.0
0.108,95.0
0.109,98.0
0.11,100.0
0.111,100.0
0.112,104.0
0.113,109.0
0.114,112.0
0.115,112.0
0.116,113.0
0.117,114.0
0.118,113.0
0.119,116.0
0.12,120.0
0.121,126.0
0.122,134.0
0.123,141.0
0.124,147.0
0.125,157.0
0.126,159.0
0.127,166.0
0.128,176.0
0.129,180.0
0.13,182.0
0.131,188.0
0.132,196.0
0.133,206.0
0.134,214.0
0.135,222.0
0.136,230.0
0.137,237.0
0.138,247.0
0.139,255.0
0.14,262.0
0.141,270.0
0.142,273.0
0.143,281.0
0.144,296.0
0.145,305.0
0.146,314.0
0.147,321.0
0.148,330.0
0.149,341.0
0.15,349.0
0.151,354.0
0.152,360.0
0.153,364.0
0.154,368.0
0.155,374.0
0.156,376.0
0.157,381.0
