Time,ForceReading
0.0,0.0
0.001,0.0
0.002,34.0
0.003,59.0
0.004,78.0
0.005,88.0
0.006,95.0
0.007,97.0
0.008,101.0
0.009,104.0
0.01,104.0
0.011,106.0
0.012,104.0
0.013,103.0
0.014,103.0
0.015,102.0
0.016,104.0
0.017,105.0
0.018,106.0
0.019,107.0
0.02,109.0
0.021,111.0
0.022,111.0
0.023,112.0
0.024,112.0
0.025,111.0
0.026,111.0
0.027,111.0
0.028,113.0
0.029,117.0
0.03,118.0
0.031,126.0
0.032,132.0
0.033,134.0
0.034,138.0
0.035,138.0
0.036,140.0
0.037,148.0
0.038,148.0
0.039,149.0
0.04,150.0
0.041,151.0
0.042,155.0
0.043,158.0
0.044,160.0
0.045,164.0
0.046,167.0
0.047,168.0
0.048,169.0
0.049,173.0
0.05,174.0
0.051,177.0
0.052,178.0
0.053,180.0
0.054,182.0
0.055,185.0
0.056,195.0
0.057,201.0
0.058,203.0
0.059,209.0
0.06,222.0
0.061,226.0
0.062,231.0
0.063,237.0
0.064,241.0
0.065,242.0
0.066,247.0
0.067,255.0
0.068,265.0
0.069,276.0
0.07,288.0
0.071,299.0
0.072,306.0
0.073,313.0
0.074,318.0
0.075,323.0
0.076,325.0
0.077,325.0
0.078,326.0
0.079,326.0
0.08,325.0
0.081,324.0
0.082,323.0
0.083,323.0
0.084,323.0
0.085,322.0
0.086,323.0
0.087,324.0
0.088,323.0
0.089,325.0
0.09,326.0
0.091,325.0
0.092,326.0
0.093,325.0
0.094,325.0
0.095,324.0
0.096,325.0
0.097,324.0
0.098,324.0
0.099,324.0
0.1,324.0
0.101,324.0
0.102,324.0
0.103,325.0
0.104,325.0
0.105,325.0
0.106,325.0
0.107,326.0
0.108,327.0
0.109,327.0
0.11,327.0
0.111,329.0
0.112,331.0
0.113,331.0
0.114,331.0
0.115,332.0
0.116,332.0
0.117,331.0
0.118,332.0
0.119,333.0
0.12,332.0
0.121,332.0
0.122,332.0
0.123,331.0
0.124,333.0
0.125,332.0
0.126,331.0
0.127,332.0
0.128,333.0
0.129,332.0
0.13,332.0
0.131,333.0
0.132,332.0
0.133,333.0
0.134,332.0
0.135,331.0
0.136,332.0
0.137,331.0
0.138,332.0
0.139,332.0
0.14,333.0
0.141,333.0
0.142,333.0
0.143,333.0
0.144,334.0
0.145,334.0
0.146,334.0
0.147,334.0
0.148,335.0
0.149,334.0
0.15,336.0
0.151,337.0
0.152,339.0
0.153,341.0
0.154,341.0
0.155,342.0
0.156,344.0
0.157,346.0
