Time,ForceReading
0.0,0.0
0.001,0.0
0.002,7.0
0.003,7.0
0.004,7.0
0.005,10.0
0.006,7.0
0.007,8.0
0.008,12.0
0.009,13.0
0.01,12.0
0.011,13.0
0.012,13.0
0.013,13.0
0.014,14.0
0.015,15.0
0.016,16.0
0.017,16.0
0.018,18.0
0.019,15.0
0.02,19.0
0.021,21.0
0.022,24.0
0.023,34.0
0.024,47.0
0.025,51.0
0.026,54.0
0.027,62.0
0.028,63.0
0.029,68.0
0.03,76.0
0.031,81.0
0.032,91.0
0.033,96.0
0.034,102.0
0.035,110.0
0.036,115.0
0.037,118.0
0.038,120.0
0.039,121.0
0.04,120.0
0.041,121.0
0.042,120.0
0.043,120.0
0.044,119.0
0.045,118.0
0.046,114.0
0.047,114.0
0.048,119.0
0.049,119.0
0.05,119.0
0.051,120.0
0.052,121.0
0.053,122.0
0.054,125.0
0.055,126.0
0.056,126.0
0.057,125.0
0.058,127.0
0.059,127.0
0.06,126.0
0.061,127.0
0.062,127.0
0.063,127.0
0.064,128.0
0.065,127.0
0.066,128.0
0.067,129.0
0.068,128.0
0.069,128.0
0.07,128.0
0.071,130.0
0.072,130.0
0.073,130.0
0.074,130.0
0.075,129.0
0.076,132.0
0.077,132.0
0.078,133.0
0.079,132.0
0.08,134.0
0.081,133.0
0.082,134.0
0.083,133.0
0.084,133.0
0.085,132.0
0.086,132.0
0.087,133.0
0.088,133.0
0.089,132.0
0.09,133.0
0.091,132.0
0.092,133.0
0.093,133.0
0.094,134.0
0.095,134.0
0.096,134.0
0.097,134.0
0.098,135.0
0.099,135.0
0.1,135.0
0.101,134.0
0.102,136.0
0.103,137.0
0.104,136.0
0.105,138.0
0.106,137.0
0.107,139.0
0.108,139.0
0.109,138.0
0.11,138.0
0.111,139.0
0.112,139.0
0.113,140.0
0.114,140.0
0.115,140.0
0.116,142.0
0.117,141.0
0.118,142.0
0.119,143.0
0.12,145.0
0.121,146.0
0.122,146.0
0.123,150.0
0.124,154.0
0.125,158.0
0.126,160.0
0.127,163.0
0.128,164.0
0.129,168.0
0.13,169.0
0.131,173.0
0.132,174.0
0.133,183.0
0.134,192.0
0.135,200.0
0.136,204.0
0.137,211.0
0.138,215.0
0.139,218.0
0.14,220.0
0.141,225.0
0.142,231.0
0.143,236.0
0.144,239.0
0.145,242.0
0.146,242.0
0.147,241.0
0.148,237.0
0.149,227.0
0.15,216.0
0.151,212.0
0.152,216.0
0.153,224.0
0.154,228.0
0.155,237.0
0.156,244.0
0.157,251.0
