Time,ForceReading
0.0,0.0
0.001,0.0
0.002,3.0
0.003,11.0
0.004,13.0
0.005,14.0
0.006,13.0
0.007,15.0
0.008,15.0
0.009,16.0
0.01,16.0
0.011,18.0
0.012,17.0
0.013,16.0
0.014,16.0
0.015,16.0
0.016,17.0
0.017,17.0
0.018,17.0
0.019,18.0
0.02,16.0
0.021,17.0
0.022,17.0
0.023,17.0
0.024,18.0
0.025,16.0
0.026,16.0
0.027,18.0
0.028,17.0
0.029,19.0
0.03,20.0
0.031,19.0
0.032,19.0
0.033,19.0
0.034,20.0
0.035,20.0
0.036,20.0
0.037,19.0
0.038,19.0
0.039,20.0
0.04,21.0
0.041,21.0
0.042,20.0
0.043,21.0
0.044,19.0
0.045,21.0
0.046,21.0
0.047,21.0
0.048,20.0
0.049,22.0
0.05,21.0
0.051,22.0
0.052,20.0
0.053,22.0
0.054,27.0
0.055,30.0
0.056,43.0
0.057,54.0
0.058,60.0
0.059,66.0
0.06,84.0
0.061,94.0
0.062,100.0
0.063,103.0
0.064,106.0
0.065,111.0
0.066,113.0
0.067,112.0
0.068,118.0
0.069,120.0
0.07,120.0
0.071,119.0
0.072,118.0
0.073,121.0
0.074,121.0
0.075,120.0
0.076,116.0
0.077,116.0
0.078,116.0
0.079,117.0
0.08,115.0
0.081,115.0
0.082,115.0
0.083,117.0
0.084,115.0
0.085,115.0
0.086,115.0
0.087,114.0
0.088,113.0
0.089,113.0
0.09,107.0
0.091,107.0
0.092,105.0
0.093,107.0
0.094,107.0
0.095,107.0
0.096,108.0
0.097,107.0
0.098,107.0
0.099,109.0
0.1,109.0
0.101,111.0
0.102,111.0
0.103,112.0
0.104,114.0
0.105,114.0
0.106,113.0
0.107,115.0
0.108,115.0
0.109,115.0
0.11,114.0
0.111,112.0
0.112,112.0
0.113,113.0
0.114,112.0
0.115,112.0
0.116,114.0
0.117,114.0
0.118,115.0
0.119,116.0
0.12,113.0
0.121,116.0
0.122,114.0
0.123,115.0
0.124,114.0
0.125,115.0
0.126,115.0
0.127,115.0
0.128,115.0
0.129,116.0
0.13,115.0
0.131,116.0
0.132,117.0
0.133,116.0
0.134,116.0
0.135,116.0
0.136,116.0
0.137,117.0
0.138,117.0
0.139,117.0
0.14,117.0
0.141,116.0
0.142,117.0
0.143,115.0
0.144,117.0
0.145,116.0
0.146,117.0
0.147,119.0
0.148,117.0
0.149,117.0
0.15,120.0
0.151,119.0
0.152,119.0
0.153,119.0
0.154,120.0
0.155,119.0
0.156,120.0
0.157,121.0
