Time,ForceReading
0.0,0.0
0.001,0.0
0.002,7.0
0.003,7.0
0.004,23.0
0.005,28.0
0.006,35.0
0.007,39.0
0.008,42.0
0.009,44.0
0.01,46.0
0.011,46.0
0.012,47.0
0.013,48.0
0.014,47.0
0.015,47.0
0.016,48.0
0.017,49.0
0.018,52.0
0.019,52.0
0.02,53.0
0.021,53.0
0.022,55.0
0.023,52.0
0.024,53.0
0.025,52.0
0.026,55.0
0.027,54.0
0.028,54.0
0.029,57.0
0.03,57.0
0.031,58.0
0.032,55.0
0.033,60.0
0.034,62.0
0.035,63.0
0.036,67.0
0.037,71.0
0.038,79.0
0.039,86.0
0.04,89.0
0.041,103.0
0.042,116.0
0.043,137.0
0.044,147.0
0.045,155.0
0.046,165.0
0.047,172.0
0.048,176.0
0.049,185.0
0.05,196.0
0.051,206.0
0.052,212.0
0.053,215.0
0.054,220.0
0.055,221.0
0.056,224.0
0.057,234.0
0.058,242.0
0.059,249.0
0.06,256.0
0.061,263.0
0.062,277.0
0.063,287.0
0.064,297.0
0.065,308.0
0.066,315.0
0.067,327.0
0.068,335.0
0.069,339.0
0.07,344.0
0.071,350.0
0.072,356.0
0.073,361.0
0.074,369.0
0.075,375.0
0.076,379.0
0.077,385.0
0.078,387.0
0.079,395.0
0.08,400.0
0.081,404.0
0.082,412.0
0.083,416.0
0.084,420.0
0.085,425.0
0.086,426.0
0.087,429.0
0.088,432.0
0.089,435.0
0.09,438.0
0.091,439.0
0.092,444.0
0.093,445.0
0.094,446.0
0.095,447.0
0.096,450.0
0.097,450.0
0.098,453.0
0.099,455.0
0.1,456.0
0.101,458.0
0.102,459.0
0.103,460.0
0.104,463.0
0.105,463.0
0.106,464.0
0.107,466.0
0.108,470.0
0.109,471.0
0.11,472.0
0.111,474.0
0.112,474.0
0.113,475.0
0.114,479.0
0.115,481.0
0.116,484.0
0.117,484.0
0.118,486.0
0.119,488.0
0.12,489.0
0.121,489.0
0.122,491.0
0.123,491.0
0.124,494.0
0.125,495.0
0.126,497.0
0.127,498.0
0.128,503.0
0.129,507.0
0.13,511.0
0.131,516.0
0.132,519.0
0.133,524.0
0.134,524.0
0.135,527.0
0.136,528.0
0.137,532.0
0.138,533.0
0.139,536.0
0.14,538.0
0.141,537.0
0.142,536.0
0.143,539.0
0.144,542.0
0.145,543.0
0.146,545.0
0.147,546.0
0.148,547.0
0.149,549.0
0.15,550.0
0.151,551.0
0.152,554.0
0.153,553.0
0.154,554.0
0.155,554.0
0.156,554.0
0.157,552.0
