Time,ForceReading
0.0,0.0
0.001,0.0
0.002,3.0
0.003,1.0
0.004,4.0
0.005,6.0
0.006,10.0
0.007,11.0
0.008,16.0
0.009,23.0
0.01,24.0
0.011,27.0
0.012,32.0
0.013,36.0
0.014,42.0
0.015,45.0
0.016,47.0
0.017,50.0
0.018,51.0
0.019,59.0
0.02,64.0
0.021,69.0
0.022,83.0
0.023,87.0
0.024,90.0
0.025,95.0
0.026,102.0
0.027,124.0
0.028,144.0
0.029,155.0
0.03,163.0
0.031,170.0
0.032,178.0
0.033,186.0
0.034,194.0
0.035,199.0
0.036,209.0
0.037,220.0
0.038,229.0
0.039,236.0
0.04,241.0
0.041,249.0
0.042,259.0
0.043,264.0
0.044,274.0
0.045,286.0
0.046,294.0
0.047,301.0
0.048,308.0
0.049,315.0
0.05,319.0
0.051,325.0
0.052,329.0
0.053,334.0
0.054,337.0
0.055,342.0
0.056,342.0
0.057,347.0
0.058,349.0
0.059,352.0
0.06,353.0
0.061,356.0
0.062,362.0
0.063,365.0
0.064,369.0
0.065,373.0
0.066,375.0
0.067,380.0
0.068,385.0
0.069,390.0
0.07,396.0
0.071,398.0
0.072,403.0
0.073,405.0
0.074,409.0
0.075,412.0
0.076,416.0
0.077,419.0
0.078,424.0
0.079,429.0
0.08,432.0
0.081,439.0
0.082,441.0
0.083,447.0
0.084,451.0
0.085,453.0
0.086,461.0
0.087,468.0
0.088,475.0
0.089,480.0
0.09,488.0
0.091,495.0
0.092,501.0
0.093,507.0
0.094,513.0
0.095,517.0
0.096,523.0
0.097,526.0
0.098,531.0
0.099,535.0
0.1,539.0
0.101,542.0
0.102,546.0
0.103,548.0
0.104,550.0
0.105,552.0
0.106,555.0
0.107,556.0
0.108,560.0
0.109,562.0
0.11,565.0
0.111,568.0
0.112,571.0
0.113,574.0
0.114,577.0
0.115,581.0
0.116,586.0
0.117,587.0
0.118,589.0
0.119,592.0
0.12,599.0
0.121,601.0
0.122,604.0
0.123,607.0
0.124,611.0
0.125,613.0
0.126,618.0
0.127,618.0
0.128,621.0
0.129,624.0
0.13,626.0
0.131,629.0
0.132,631.0
0.133,634.0
0.134,636.0
0.135,641.0
0.136,641.0
0.137,643.0
0.138,645.0
0.139,646.0
0.14,648.0
0.141,649.0
0.142,650.0
0.143,652.0
0.144,653.0
0.145,654.0
0.146,656.0
0.147,658.0
0.148,659.0
0.149,661.0
0.15,662.0
0.151,664.0
0.152,665.0
0.153,668.0
0.154,670.0
0.155,672.0
0.156,674.0
0.157,676.0
