Time,ForceReading
0.0,0.0
0.001,0.0
0.002,7.0
0.003,20.0
0.004,35.0
0.005,41.0
0.006,46.0
0.007,51.0
0.008,53.0
0.009,54.0
0.01,54.0
0.011,54.0
0.012,55.0
0.013,53.0
0.014,52.0
0.015,52.0
0.016,52.0
0.017,49.0
0.018,48.0
0.019,46.0
0.02,45.0
0.021,46.0
0.022,46.0
0.023,46.0
0.024,46.0
0.025,47.0
0.026,48.0
0.027,52.0
0.028,53.0
0.029,56.0
0.03,58.0
0.031,58.0
0.032,59.0
0.033,59.0
0.034,60.0
0.035,60.0
0.036,60.0
0.037,61.0
0.038,61.0
0.039,60.0
0.04,60.0
0.041,63.0
0.042,61.0
0.043,61.0
0.044,61.0
0.045,60.0
0.046,60.0
0.047,60.0
0.048,61.0
0.049,61.0
0.05,61.0
0.051,60.0
0.052,62.0
0.053,61.0
0.054,63.0
0.055,63.0
0.056,62.0
0.057,63.0
0.058,64.0
0.059,70.0
0.06,71.0
0.061,72.0
0.062,70.0
0.063,78.0
0.064,85.0
0.065,89.0
0.066,91.0
0.067,95.0
0.068,98.0
0.069,101.0
0.07,104.0
0.071,103.0
0.072,106.0
0.073,107.0
0.074,107.0
0.075,108.0
0.076,109.0
0.077,109.0
0.078,110.0
0.079,106.0
0.08,110.0
0.081,110.0
0.082,111.0
0.083,111.0
0.084,111.0
0.085,113.0
0.086,112.0
0.087,112.0
0.088,113.0
0.089,115.0
0.09,116.0
0.091,116.0
0.092,120.0
0.093,120.0
0.094,125.0
0.095,129.0
0.096,135.0
0.097,141.0
0.098,146.0
0.099,149.0
0.1,160.0
0.101,167.0
0.102,179.0
0.103,188.0
0.104,204.0
0.105,215.0
0.106,225.0
0.107,242.0
0.108,247.0
0.109,262.0
0.11,275.0
0.111,284.0
0.112,292.0
0.113,305.0
0.114,320.0
0.115,332.0
0.116,346.0
0.117,356.0
0.118,362.0
0.119,372.0
0.12,383.0
0.121,395.0
0.122,412.0
0.123,424.0
0.124,436.0
0.125,443.0
0.126,450.0
0.127,459.0
0.128,466.0
0.129,472.0
0.13,477.0
0.131,483.0
0.132,494.0
0.133,500.0
0.134,506.0
0.135,514.0
0.136,520.0
0.137,525.0
0.138,527.0
0.139,534.0
0.14,541.0
0.141,546.0
0.142,554.0
0.143,559.0
0.144,563.0
0.145,568.0
0.146,572.0
0.147,581.0
0.148,586.0
0.149,590.0
0.15,595.0
0.151,602.0
0.152,608.0
0.153,611.0
0.154,619.0
0.155,624.0
0.156,630.0
0.157,635.0
