Time,ForceReading
0.0,0.0
0.001,0.0
0.002,68.0
0.003,87.0
0.004,95.0
0.005,99.0
0.006,117.0
0.007,125.0
0.008,137.0
0.009,139.0
0.01,141.0
0.011,142.0
0.012,140.0
0.013,137.0
0.014,138.0
0.015,140.0
0.016,142.0
0.017,146.0
0.018,150.0
0.019,152.0
0.02,158.0
0.021,160.0
0.022,163.0
0.023,164.0
0.024,165.0
0.025,168.0
0.026,168.0
0.027,170.0
0.028,169.0
0.029,170.0
0.03,171.0
0.031,170.0
0.032,171.0
0.033,172.0
0.034,171.0
0.035,172.0
0.036,172.0
0.037,172.0
0.038,172.0
0.039,173.0
0.04,174.0
0.041,175.0
0.042,175.0
0.043,177.0
0.044,178.0
0.045,177.0
0.046,176.0
0.047,177.0
0.048,177.0
0.049,178.0
0.05,178.0
0.051,179.0
0.052,182.0
0.053,184.0
0.054,187.0
0.055,187.0
0.056,190.0
0.057,190.0
0.058,191.0
0.059,197.0
0.06,200.0
0.061,205.0
0.062,207.0
0.063,209.0
0.064,213.0
0.065,215.0
0.066,217.0
0.067,221.0
0.068,224.0
0.069,228.0
0.07,231.0
0.071,236.0
0.072,239.0
0.073,241.0
0.074,243.0
0.075,243.0
0.076,242.0
0.077,243.0
0.078,243.0
0.079,242.0
0.08,243.0
0.081,243.0
0.082,243.0
0.083,243.0
0.084,244.0
0.085,242.0
0.086,243.0
0.087,244.0
0.088,244.0
0.089,244.0
0.09,245.0
0.091,245.0
0.092,246.0
0.093,246.0
0.094,247.0
0.095,245.0
0.096,245.0
0.097,246.0
0.098,246.0
0.099,246.0
0.1,247.0
0.101,247.0
0.102,248.0
0.103,247.0
0.104,249.0
0.105,248.0
0.106,248.0
0.107,248.0
0.108,249.0
0.109,249.0
0.11,249.0
0.111,250.0
0.112,249.0
0.113,250.0
0.114,249.0
0.115,250.0
0.116,249.0
0.117,250.0
0.118,250.0
0.119,250.0
0.12,250.0
0.121,250.0
0.122,249.0
0.123,250.0
0.124,251.0
0.125,250.0
0.126,251.0
0.127,251.0
0.128,251.0
0.129,251.0
0.13,251.0
0.131,251.0
0.132,250.0
0.133,251.0
0.134,251.0
0.135,251.0
0.136,251.0
0.137,251.0
0.138,252.0
0.139,251.0
0.14,253.0
0.141,253.0
0.142,254.0
0.143,254.0
0.144,260.0
0.145,263.0
0.146,269.0
0.147,276.0
0.148,278.0
0.149,280.0
0.15,282.0
0.151,284.0
0.152,285.0
0.153,286.0
0.154,287.0
0.155,288.0
0.156,288.0
0.157,290.0
