Time,ForceReading
0.0,0.0
0.001,0.0
0.002,31.0
0.003,34.0
0.004,52.0
0.005,87.0
0.006,105.0
0.007,116.0
0.008,123.0
0.009,132.0
0.01,140.0
0.011,149.0
0.012,159.0
0.013,166.0
0.014,174.0
0.015,181.0
0.016,189.0
0.017,193.0
0.018,193.0
0.019,193.0
0.02,195.0
0.021,196.0
0.022,200.0
0.023,222.0
0.024,232.0
0.025,248.0
0.026,260.0
0.027,273.0
0.028,281.0
0.029,288.0
0.03,294.0
0.031,298.0
0.032,301.0
0.033,304.0
0.034,304.0
0.035,303.0
0.036,303.0
0.037,302.0
0.038,301.0
0.039,301.0
0.04,300.0
0.041,300.0
0.042,302.0
0.043,302.0
0.044,305.0
0.045,307.0
0.046,313.0
0.047,316.0
0.048,321.0
0.049,323.0
0.05,327.0
0.051,328.0
0.052,330.0
0.053,331.0
0.054,332.0
0.055,333.0
0.056,333.0
0.057,334.0
0.058,334.0
0.059,335.0
0.06,336.0
0.061,338.0
0.062,341.0
0.063,345.0
0.064,349.0
0.065,361.0
0.066,368.0
0.067,381.0
0.068,388.0
0.069,402.0
0.07,416.0
0.071,430.0
0.072,442.0
0.073,453.0
0.074,462.0
0.075,471.0
0.076,475.0
0.077,478.0
0.078,479.0
0.079,478.0
0.08,476.0
0.081,472.0
0.082,466.0
0.083,463.0
0.084,462.0
0.085,462.0
0.086,464.0
0.087,468.0
0.088,472.0
0.089,476.0
0.09,476.0
0.091,477.0
0.092,478.0
0.093,477.0
0.094,477.0
0.095,476.0
0.096,474.0
0.097,475.0
0.098,475.0
0.099,475.0
0.1,477.0
0.101,476.0
0.102,477.0
0.103,477.0
0.104,477.0
0.105,475.0
0.106,475.0
0.107,475.0
0.108,475.0
0.109,476.0
0.11,476.0
0.111,476.0
0.112,477.0
0.113,477.0
0.114,478.0
0.115,477.0
0.116,477.0
0.117,477.0
0.118,477.0
0.119,478.0
0.12,478.0
0.121,478.0
0.122,478.0
0.123,479.0
0.124,479.0
0.125,479.0
0.126,480.0
0.127,479.0
0.128,479.0
0.129,479.0
0.13,479.0
0.131,479.0
0.132,479.0
0.133,480.0
0.134,479.0
0.135,480.0
0.136,480.0
0.137,481.0
0.138,481.0
0.139,481.0
0.14,482.0
0.141,483.0
0.142,482.0
0.143,483.0
0.144,482.0
0.145,482.0
0.146,483.0
0.147,482.0
0.148,483.0
0.149,484.0
0.15,486.0
0.151,487.0
0.152,488.0
0.153,490.0
0.154,491.0
0.155,493.0
0.156,492.0
0.157,493.0
