Time,ForceReading
0.0,0.0
0.001,0.0
0.002,7.0
0.003,19.0
0.004,23.0
0.005,38.0
0.006,40.0
0.007,41.0
0.008,44.0
0.009,47.0
0.01,58.0
0.011,62.0
0.012,64.0
0.013,66.0
0.014,68.0
0.015,71.0
0.016,74.0
0.017,73.0
0.018,89.0
0.019,92.0
0.02,100.0
0.021,103.0
0.022,105.0
0.023,105.0
0.024,108.0
0.025,110.0
0.026,110.0
0.027,109.0
0.028,111.0
0.029,107.0
0.03,111.0
0.031,110.0
0.032,110.0
0.033,110.0
0.034,110.0
0.035,110.0
0.036,110.0
0.037,110.0
0.038,111.0
0.039,110.0
0.04,110.0
0.041,110.0
0.042,111.0
0.043,111.0
0.044,111.0
0.045,111.0
0.046,109.0
0.047,112.0
0.048,112.0
0.049,111.0
0.05,111.0
0.051,110.0
0.052,111.0
0.053,111.0
0.054,110.0
0.055,112.0
0.056,111.0
0.057,113.0
0.058,113.0
0.059,112.0
0.06,112.0
0.061,113.0
0.062,114.0
0.063,115.0
0.064,113.0
0.065,113.0
0.066,113.0
0.067,111.0
0.068,114.0
0.069,111.0
0.07,112.0
0.071,113.0
0.072,113.0
0.073,114.0
0.074,114.0
0.075,113.0
0.076,113.0
0.077,114.0
0.078,114.0
0.079,116.0
0.08,117.0
0.081,116.0
0.082,116.0
0.083,117.0
0.084,117.0
0.085,118.0
0.086,119.0
0.087,117.0
0.088,118.0
0.089,118.0
0.09,117.0
0.091,119.0
0.092,119.0
0.093,120.0
0.094,122.0
0.095,123.0
0.096,124.0
0.097,126.0
0.098,128.0
0.099,135.0
0.1,140.0
0.101,146.0
0.102,147.0
0.103,150.0
0.104,152.0
0.105,156.0
0.106,159.0
0.107,162.0
0.108,165.0
0.109,166.0
0.11,170.0
0.111,173.0
0.112,176.0
0.113,179.0
0.114,183.0
0.115,187.0
0.116,192.0
0.117,196.0
0.118,212.0
0.119,227.0
0.12,236.0
0.121,240.0
0.122,255.0
0.123,266.0
0.124,275.0
0.125,283.0
0.126,293.0
0.127,299.0
0.128,304.0
0.129,309.0
0.13,311.0
0.131,315.0
0.132,318.0
0.133,320.0
0.134,321.0
0.135,321.0
0.136,321.0
0.137,326.0
0.138,329.0
0.139,333.0
0.14,335.0
0.141,337.0
0.142,341.0
0.143,344.0
0.144,345.0
0.145,348.0
0.146,350.0
0.147,356.0
0.148,363.0
0.149,376.0
0.15,381.0
0.151,391.0
0.152,399.0
0.153,405.0
0.154,411.0
0.155,415.0
0.156,420.0
0.157,422.0
