Time,ForceReading
0.0,0.0
0.001,2.0
0.002,7.0
0.003,12.0
0.004,17.0
0.005,19.0
0.006,23.0
0.007,31.0
0.008,35.0
0.009,37.0
0.01,37.0
0.011,41.0
0.012,42.0
0.013,42.0
0.014,45.0
0.015,45.0
0.016,44.0
0.017,44.0
0.018,45.0
0.019,45.0
0.02,46.0
0.021,46.0
0.022,50.0
0.023,54.0
0.024,58.0
0.025,64.0
0.026,70.0
0.027,75.0
0.028,94.0
0.029,106.0
0.03,113.0
0.031,120.0
0.032,123.0
0.033,125.0
0.034,126.0
0.035,126.0
0.036,122.0
0.037,120.0
0.038,120.0
0.039,122.0
0.04,121.0
0.041,124.0
0.042,123.0
0.043,123.0
0.044,124.0
0.045,125.0
0.046,126.0
0.047,125.0
0.048,125.0
0.049,126.0
0.05,128.0
0.051,128.0
0.052,129.0
0.053,129.0
0.054,130.0
0.055,130.0
0.056,130.0
0.057,128.0
0.058,128.0
0.059,127.0
0.06,124.0
0.061,123.0
0.062,124.0
0.063,125.0
0.064,125.0
0.065,127.0
0.066,128.0
0.067,129.0
0.068,129.0
0.069,131.0
0.07,130.0
0.071,132.0
0.072,132.0
0.073,132.0
0.074,133.0
0.075,132.0
0.076,132.0
0.077,133.0
0.078,133.0
0.079,133.0
0.08,133.0
0.081,135.0
0.082,135.0
0.083,135.0
0.084,135.0
0.085,136.0
0.086,134.0
0.087,135.0
0.088,136.0
0.089,137.0
0.09,136.0
0.091,137.0
0.092,137.0
0.093,139.0
0.094,139.0
0.095,138.0
0.096,139.0
0.097,138.0
0.098,140.0
0.099,140.0
0.1,142.0
0.101,140.0
0.102,143.0
0.103,144.0
0.104,147.0
0.105,149.0
0.106,150.0
0.107,152.0
0.108,153.0
0.109,153.0
0.11,153.0
0.111,154.0
0.112,155.0
0.113,157.0
0.114,158.0
0.115,159.0
0.116,163.0
0.117,165.0
0.118,168.0
0.119,171.0
0.12,175.0
0.121,178.0
0.122,180.0
0.123,185.0
0.124,186.0
0.125,189.0
0.126,190.0
0.127,192.0
0.128,192.0
0.129,192.0
0.13,192.0
0.131,195.0
0.132,195.0
0.133,195.0
0.134,198.0
0.135,199.0
0.136,202.0
0.137,205.0
0.138,206.0
0.139,208.0
0.14,208.0
0.141,210.0
0.142,212.0
0.143,216.0
0.144,217.0
0.145,220.0
0.146,222.0
0.147,222.0
0.148,226.0
0.149,228.0
0.15,231.0
0.151,236.0
0.152,239.0
0.153,241.0
0.154,248.0
0.155,253.0
0.156,259.0
0.157,265.0
0.158,273.0
0.159,279.0
0.16,282.0
0.161,288.0
0.162,295.0
0.163,299.0
0.164,304.0
0.165,309.0
0.166,313.0
0.167,316.0
0.168,318.0
0.169,321.0
0.17,329.0
0.171,336.0
0.172,340.0
0.173,344.0
0.174,344.0
0.175,347.0
0.176,348.0
0.177,349.0
0.178,351.0
0.179,353.0
0.18,355.0
0.181,357.0
0.182,357.0
0.183,361.0
0.184,361.0
0.185,363.0
0.186,364.0
0.187,368.0
0.188,369.0
0.189,371.0
0.19,372.0
0.191,373.0
0.192,374.0
0.193,376.0
0.194,378.0
0.195,379.0
0.196,381.0
0.197,382.0
0.198,383.0
0.199,387.0
0.2,389.0
0.201,391.0
0.202,391.0
0.203,396.0
0.204,396.0
0.205,399.0
0.206,402.0
0.207,404.0
0.208,406.0
0.209,407.0
0.21,411.0
0.211,413.0
0.212,413.0
0.213,415.0
0.214,416.0
0.215,418.0
0.216,420.0
0.217,422.0
0.218,424.0
0.219,427.0
0.22,428.0
0.221,428.0
0.222,431.0
0.223,433.0
0.224,434.0
0.225,435.0
0.226,439.0
0.227,438.0
0.228,440.0
0.229,441.0
0.23,442.0
0.231,444.0
0.232,445.0
0.233,447.0
0.234,448.0
0.235,448.0
0.236,450.0
0.237,454.0
0.238,455.0
0.239,457.0
0.24,461.0
0.241,463.0
0.242,463.0
0.243,466.0
0.244,469.0
0.245,471.0
0.246,475.0
0.247,476.0
0.248,478.0
0.249,479.0
0.25,481.0
0.251,483.0
0.252,484.0
0.253,486.0
0.254,487.0
0.255,488.0
0.256,488.0
0.257,491.0
0.258,494.0
0.259,491.0
0.26,494.0
0.261,494.0
0.262,495.0
0.263,495.0
0.264,496.0
0.265,498.0
0.266,498.0
0.267,498.0
0.268,498.0
0.269,499.0
0.27,502.0
0.271,502.0
0.272,503.0
0.273,503.0
0.274,504.0
0.275,505.0
0.276,505.0
0.277,507.0
0.278,508.0
0.279,508.0
0.28,510.0
0.281,510.0
0.282,510.0
0.283,510.0
0.284,512.0
0.285,514.0
0.286,517.0
0.287,518.0
0.288,520.0
0.289,523.0
0.29,527.0
0.291,527.0
0.292,527.0
0.293,529.0
0.294,531.0
0.295,531.0
0.296,532.0
0.297,534.0
0.298,535.0
0.299,538.0
0.3,539.0
0.301,539.0
0.302,540.0
0.303,542.0
0.304,541.0
0.305,540.0
0.306,541.0
0.307,545.0
0.308,543.0
0.309,545.0
0.31,545.0
0.311,544.0
0.312,546.0
0.313,547.0
0.314,548.0
0.315,548.0
0.316,550.0
0.317,550.0
0.318,552.0
0.319,551.0
0.32,551.0
0.321,553.0
0.322,554.0
0.323,554.0
0.324,555.0
0.325,556.0
0.326,556.0
0.327,558.0
0.328,558.0
0.329,559.0
0.33,558.0
0.331,559.0
0.332,560.0
0.333,560.0
0.334,562.0
0.335,562.0
0.336,562.0
0.337,562.0
0.338,562.0
0.339,562.0
0.34,562.0
0.341,565.0
0.342,563.0
0.343,564.0
0.344,565.0
0.345,564.0
0.346,566.0
0.347,566.0
0.348,567.0
0.349,566.0
0.35,568.0
0.351,567.0
0.352,567.0
0.353,567.0
0.354,567.0
0.355,568.0
0.356,569.0
0.357,569.0
0.358,568.0
0.359,569.0
0.36,570.0
0.361,570.0
0.362,572.0
0.363,573.0
0.364,573.0
0.365,572.0
