Time,ForceReading
0.0,0.0
0.001,0.0
0.002,9.0
0.003,14.0
0.004,21.0
0.005,29.0
0.006,36.0
0.007,37.0
0.008,39.0
0.009,39.0
0.01,39.0
0.011,41.0
0.012,41.0
0.013,48.0
0.014,50.0
0.015,51.0
0.016,51.0
0.017,51.0
0.018,52.0
0.019,55.0
0.02,56.0
0.021,58.0
0.022,60.0
0.023,61.0
0.024,61.0
0.025,60.0
0.026,61.0
0.027,61.0
0.028,61.0
0.029,61.0
0.03,61.0
0.031,60.0
0.032,59.0
0.033,60.0
0.034,60.0
0.035,59.0
0.036,59.0
0.037,59.0
0.038,60.0
0.039,61.0
0.04,61.0
0.041,61.0
0.042,62.0
0.043,63.0
0.044,62.0
0.045,63.0
0.046,64.0
0.047,63.0
0.048,63.0
0.049,63.0
0.05,63.0
0.051,63.0
0.052,62.0
0.053,62.0
0.054,62.0
0.055,59.0
0.056,60.0
0.057,61.0
0.058,60.0
0.059,61.0
0.06,61.0
0.061,62.0
0.062,62.0
0.063,63.0
0.064,62.0
0.065,62.0
0.066,62.0
0.067,63.0
0.068,62.0
0.069,63.0
0.07,62.0
0.071,62.0
0.072,63.0
0.073,62.0
0.074,62.0
0.075,62.0
0.076,63.0
0.077,61.0
0.078,62.0
0.079,63.0
0.08,63.0
0.081,65.0
0.082,63.0
0.083,64.0
0.084,64.0
0.085,65.0
0.086,64.0
0.087,65.0
0.088,64.0
0.089,64.0
0.09,64.0
0.091,64.0
0.092,64.0
0.093,64.0
0.094,66.0
0.095,65.0
0.096,64.0
0.097,66.0
0.098,66.0
0.099,68.0
0.1,69.0
0.101,69.0
0.102,71.0
0.103,73.0
0.104,73.0
0.105,71.0
0.106,73.0
0.107,73.0
0.108,73.0
0.109,70.0
0.11,71.0
0.111,71.0
0.112,70.0
0.113,72.0
0.114,71.0
0.115,69.0
0.116,69.0
0.117,70.0
0.118,69.0
0.119,69.0
0.12,70.0
0.121,70.0
0.122,70.0
0.123,70.0
0.124,72.0
0.125,70.0
0.126,71.0
0.127,72.0
0.128,72.0
0.129,71.0
0.13,72.0
0.131,72.0
0.132,72.0
0.133,71.0
0.134,69.0
0.135,69.0
0.136,68.0
0.137,70.0
0.138,68.0
0.139,70.0
0.14,72.0
0.141,70.0
0.142,73.0
0.143,74.0
0.144,75.0
0.145,73.0
0.146,73.0
0.147,72.0
0.148,69.0
0.149,70.0
0.15,72.0
0.151,71.0
0.152,71.0
0.153,72.0
0.154,71.0
0.155,72.0
0.156,74.0
0.157,76.0
