Time,ForceReading
0.0,3.0
0.001,2.0
0.002,1.0
0.003,1.0
0.004,1.0
0.005,1.0
0.006,2.0
0.007,0.0
0.008,1.0
0.009,3.0
0.01,3.0
0.011,4.0
0.012,4.0
0.013,3.0
0.014,3.0
0.015,4.0
0.016,3.0
0.017,4.0
0.018,4.0
0.019,3.0
0.02,2.0
0.021,3.0
0.022,7.0
0.023,11.0
0.024,11.0
0.025,16.0
0.026,20.0
0.027,23.0
0.028,26.0
0.029,23.0
0.03,25.0
0.031,26.0
0.032,27.0
0.033,29.0
0.034,32.0
0.035,32.0
0.036,33.0
0.037,33.0
0.038,36.0
0.039,39.0
0.04,42.0
0.041,42.0
0.042,42.0
0.043,44.0
0.044,42.0
0.045,43.0
0.046,43.0
0.047,43.0
0.048,44.0
0.049,45.0
0.05,45.0
0.051,45.0
0.052,47.0
0.053,48.0
0.054,49.0
0.055,52.0
0.056,52.0
0.057,52.0
0.058,52.0
0.059,54.0
0.06,52.0
0.061,53.0
0.062,54.0
0.063,54.0
0.064,54.0
0.065,54.0
0.066,56.0
0.067,57.0
0.068,56.0
0.069,57.0
0.07,57.0
0.071,58.0
0.072,65.0
0.073,65.0
0.074,64.0
0.075,65.0
0.076,65.0
0.077,67.0
0.078,68.0
0.079,69.0
0.08,68.0
0.081,69.0
0.082,69.0
0.083,69.0
0.084,69.0
0.085,69.0
0.086,69.0
0.087,69.0
0.088,69.0
0.089,69.0
0.09,70.0
0.091,69.0
0.092,69.0
0.093,69.0
0.094,70.0
0.095,70.0
0.096,71.0
0.097,71.0
0.098,71.0
0.099,70.0
0.1,70.0
0.101,69.0
0.102,67.0
0.103,65.0
0.104,64.0
0.105,65.0
0.106,65.0
0.107,65.0
0.108,64.0
0.109,65.0
0.11,64.0
0.111,65.0
0.112,66.0
0.113,65.0
0.114,66.0
0.115,66.0
0.116,66.0
0.117,68.0
0.118,67.0
0.119,66.0
0.12,68.0
0.121,69.0
0.122,68.0
0.123,69.0
0.124,69.0
0.125,68.0
0.126,69.0
0.127,69.0
0.128,71.0
0.129,68.0
0.13,70.0
0.131,69.0
0.132,69.0
0.133,69.0
0.134,70.0
0.135,70.0
0.136,71.0
0.137,70.0
0.138,70.0
0.139,70.0
0.14,70.0
0.141,71.0
0.142,72.0
0.143,71.0
0.144,71.0
0.145,71.0
0.146,72.0
0.147,72.0
0.148,72.0
0.149,71.0
0.15,72.0
0.151,70.0
0.152,70.0
0.153,71.0
0.154,72.0
0.155,70.0
0.156,72.0
0.157,72.0
0.158,71.0
0.159,73.0
0.16,71.0
0.161,72.0
0.162,73.0
0.163,74.0
0.164,74.0
0.165,73.0
0.166,74.0
0.167,72.0
0.168,72.0
0.169,73.0
0.17,73.0
0.171,72.0
0.172,72.0
0.173,73.0
0.174,73.0
0.175,73.0
0.176,73.0
0.177,74.0
0.178,74.0
0.179,74.0
0.18,76.0
0.181,75.0
0.182,76.0
0.183,74.0
0.184,77.0
0.185,76.0
0.186,75.0
0.187,75.0
0.188,75.0
0.189,75.0
0.19,75.0
0.191,75.0
0.192,75.0
0.193,75.0
0.194,75.0
0.195,77.0
0.196,77.0
0.197,76.0
0.198,76.0
0.199,77.0
0.2,76.0
0.201,76.0
0.202,77.0
0.203,77.0
0.204,77.0
0.205,77.0
0.206,77.0
0.207,77.0
0.208,76.0
0.209,78.0
0.21,76.0
0.211,77.0
0.212,77.0
0.213,77.0
0.214,77.0
0.215,78.0
0.216,78.0
0.217,79.0
0.218,78.0
0.219,80.0
0.22,80.0
0.221,79.0
0.222,79.0
0.223,79.0
0.224,79.0
0.225,80.0
0.226,79.0
0.227,80.0
0.228,81.0
0.229,79.0
0.23,81.0
0.231,80.0
0.232,81.0
0.233,81.0
0.234,82.0
0.235,82.0
0.236,82.0
0.237,82.0
0.238,83.0
0.239,82.0
0.24,82.0
0.241,82.0
0.242,82.0
0.243,82.0
0.244,83.0
0.245,83.0
0.246,83.0
0.247,83.0
0.248,84.0
0.249,83.0
0.25,82.0
0.251,82.0
0.252,82.0
0.253,83.0
0.254,83.0
0.255,83.0
0.256,82.0
0.257,83.0
0.258,82.0
0.259,82.0
0.26,83.0
0.261,83.0
0.262,82.0
0.263,83.0
0.264,84.0
0.265,83.0
0.266,84.0
0.267,83.0
0.268,83.0
0.269,84.0
0.27,83.0
0.271,82.0
0.272,83.0
0.273,84.0
0.274,85.0
0.275,84.0
0.276,85.0
0.277,85.0
0.278,84.0
0.279,84.0
0.28,85.0
0.281,86.0
0.282,84.0
0.283,86.0
0.284,84.0
0.285,84.0
0.286,86.0
0.287,86.0
0.288,86.0
0.289,84.0
0.29,86.0
0.291,86.0
0.292,86.0
0.293,87.0
0.294,87.0
0.295,87.0
0.296,88.0
0.297,88.0
0.298,90.0
0.299,89.0
0.3,90.0
0.301,89.0
0.302,89.0
0.303,90.0
0.304,90.0
0.305,89.0
0.306,89.0
0.307,88.0
0.308,89.0
0.309,88.0
0.31,90.0
0.311,88.0
0.312,88.0
0.313,89.0
0.314,89.0
