Time,ForceReading
0.0,6.0
0.001,11.0
0.002,15.0
0.003,17.0
0.004,19.0
0.005,20.0
0.006,21.0
0.007,29.0
0.008,34.0
0.009,38.0
0.01,39.0
0.011,40.0
0.012,45.0
0.013,52.0
0.014,66.0
0.015,75.0
0.016,78.0
0.017,81.0
0.018,87.0
0.019,91.0
0.02,99.0
0.021,137.0
0.022,169.0
0.023,194.0
0.024,208.0
0.025,225.0
0.026,245.0
0.027,258.0
0.028,276.0
0.029,292.0
0.03,304.0
0.031,314.0
0.032,324.0
0.033,335.0
0.034,342.0
0.035,350.0
0.036,358.0
0.037,369.0
0.038,377.0
0.039,385.0
0.04,393.0
0.041,403.0
0.042,413.0
0.043,424.0
0.044,435.0
0.045,447.0
0.046,456.0
0.047,465.0
0.048,474.0
0.049,484.0
0.05,491.0
0.051,502.0
0.052,506.0
0.053,512.0
0.054,519.0
0.055,523.0
0.056,528.0
0.057,534.0
0.058,542.0
0.059,549.0
0.06,553.0
0.061,558.0
0.062,563.0
0.063,568.0
0.064,574.0
0.065,578.0
0.066,584.0
0.067,587.0
0.068,592.0
0.069,596.0
0.07,600.0
0.071,604.0
0.072,607.0
0.073,611.0
0.074,614.0
0.075,617.0
0.076,622.0
0.077,624.0
0.078,628.0
0.079,632.0
0.08,634.0
0.081,636.0
0.082,639.0
0.083,641.0
0.084,645.0
0.085,647.0
0.086,650.0
0.087,654.0
0.088,657.0
0.089,661.0
0.09,664.0
0.091,668.0
0.092,670.0
0.093,674.0
0.094,676.0
0.095,678.0
0.096,682.0
0.097,684.0
0.098,686.0
0.099,689.0
0.1,691.0
0.101,694.0
0.102,696.0
0.103,699.0
0.104,702.0
0.105,705.0
0.106,708.0
0.107,709.0
0.108,712.0
0.109,714.0
0.11,716.0
0.111,719.0
0.112,721.0
0.113,725.0
0.114,729.0
0.115,729.0
0.116,733.0
0.117,734.0
0.118,736.0
0.119,737.0
0.12,739.0
0.121,741.0
0.122,743.0
0.123,745.0
0.124,746.0
0.125,747.0
0.126,748.0
0.127,750.0
0.128,753.0
0.129,755.0
0.13,757.0
0.131,758.0
0.132,760.0
0.133,761.0
0.134,763.0
0.135,763.0
0.136,765.0
0.137,766.0
0.138,768.0
0.139,769.0
0.14,770.0
0.141,772.0
0.142,773.0
0.143,775.0
0.144,775.0
0.145,777.0
0.146,779.0
0.147,780.0
0.148,782.0
0.149,784.0
0.15,784.0
0.151,784.0
0.152,787.0
0.153,787.0
0.154,788.0
0.155,790.0
0.156,789.0
0.157,790.0
0.158,792.0
0.159,793.0
0.16,794.0
0.161,795.0
0.162,796.0
0.163,797.0
0.164,798.0
0.165,799.0
0.166,800.0
0.167,801.0
0.168,802.0
0.169,803.0
0.17,805.0
0.171,806.0
0.172,806.0
0.173,807.0
0.174,809.0
0.175,809.0
0.176,809.0
0.177,810.0
0.178,811.0
0.179,811.0
0.18,813.0
0.181,813.0
0.182,815.0
0.183,816.0
0.184,816.0
0.185,818.0
0.186,820.0
0.187,820.0
0.188,821.0
0.189,822.0
0.19,823.0
0.191,824.0
0.192,826.0
0.193,825.0
0.194,826.0
0.195,826.0
0.196,828.0
0.197,829.0
0.198,829.0
0.199,830.0
0.2,830.0
0.201,831.0
0.202,832.0
0.203,832.0
0.204,833.0
0.205,834.0
0.206,835.0
0.207,835.0
0.208,835.0
0.209,837.0
0.21,836.0
0.211,838.0
0.212,838.0
0.213,837.0
0.214,838.0
0.215,838.0
0.216,839.0
0.217,839.0
0.218,840.0
0.219,841.0
0.22,841.0
0.221,841.0
0.222,842.0
0.223,843.0
0.224,844.0
0.225,845.0
0.226,844.0
0.227,845.0
0.228,846.0
0.229,846.0
0.23,847.0
0.231,848.0
0.232,849.0
0.233,849.0
0.234,848.0
0.235,848.0
0.236,849.0
0.237,850.0
0.238,849.0
0.239,850.0
0.24,850.0
0.241,851.0
0.242,852.0
0.243,852.0
0.244,853.0
0.245,853.0
0.246,853.0
0.247,854.0
0.248,855.0
0.249,853.0
0.25,854.0
0.251,854.0
0.252,856.0
0.253,856.0
0.254,856.0
0.255,857.0
0.256,857.0
0.257,857.0
0.258,858.0
0.259,858.0
0.26,858.0
0.261,860.0
0.262,860.0
0.263,861.0
0.264,861.0
0.265,862.0
0.266,861.0
0.267,862.0
0.268,863.0
0.269,864.0
0.27,864.0
0.271,865.0
0.272,864.0
0.273,865.0
0.274,866.0
0.275,865.0
0.276,866.0
0.277,866.0
0.278,867.0
0.279,868.0
0.28,867.0
0.281,868.0
0.282,870.0
0.283,869.0
0.284,870.0
0.285,872.0
0.286,871.0
0.287,871.0
0.288,872.0
0.289,873.0
0.29,873.0
0.291,874.0
0.292,874.0
0.293,875.0
0.294,876.0
0.295,875.0
0.296,876.0
0.297,876.0
0.298,877.0
0.299,877.0
0.3,878.0
0.301,880.0
0.302,878.0
0.303,878.0
0.304,880.0
0.305,880.0
0.306,881.0
0.307,880.0
0.308,881.0
0.309,881.0
0.31,881.0
0.311,882.0
0.312,883.0
0.313,882.0
0.314,883.0
0.315,882.0
0.316,883.0
0.317,883.0
0.318,884.0
0.319,885.0
