Time,ForceReading
0.0,5.0
0.001,15.0
0.002,21.0
0.003,25.0
0.004,29.0
0.005,30.0
0.006,30.0
0.007,29.0
0.008,30.0
0.009,31.0
0.01,31.0
0.011,31.0
0.012,31.0
0.013,31.0
0.014,33.0
0.015,35.0
0.016,39.0
0.017,42.0
0.018,46.0
0.019,53.0
0.02,62.0
0.021,65.0
0.022,65.0
0.023,65.0
0.024,62.0
0.025,62.0
0.026,61.0
0.027,56.0
0.028,54.0
0.029,51.0
0.03,54.0
0.031,53.0
0.032,54.0
0.033,56.0
0.034,56.0
0.035,57.0
0.036,59.0
0.037,57.0
0.038,56.0
0.039,58.0
0.04,62.0
0.041,61.0
0.042,62.0
0.043,62.0
0.044,61.0
0.045,60.0
0.046,59.0
0.047,59.0
0.048,58.0
0.049,64.0
0.05,68.0
0.051,69.0
0.052,71.0
0.053,70.0
0.054,68.0
0.055,67.0
0.056,70.0
0.057,76.0
0.058,82.0
0.059,89.0
0.06,92.0
0.061,104.0
0.062,110.0
0.063,105.0
0.064,97.0
0.065,88.0
0.066,83.0
0.067,79.0
0.068,82.0
0.069,81.0
0.07,82.0
0.071,87.0
0.072,91.0
0.073,100.0
0.074,104.0
0.075,106.0
0.076,105.0
0.077,104.0
0.078,98.0
0.079,91.0
0.08,88.0
0.081,84.0
0.082,85.0
0.083,83.0
0.084,86.0
0.085,89.0
0.086,90.0
0.087,99.0
0.088,100.0
0.089,100.0
0.09,102.0
0.091,100.0
0.092,100.0
0.093,97.0
0.094,99.0
0.095,99.0
0.096,100.0
0.097,99.0
0.098,100.0
0.099,101.0
0.1,103.0
0.101,102.0
0.102,103.0
0.103,103.0
0.104,101.0
0.105,101.0
0.106,107.0
0.107,104.0
0.108,105.0
0.109,108.0
0.11,110.0
0.111,110.0
0.112,108.0
0.113,110.0
0.114,109.0
0.115,108.0
0.116,110.0
0.117,107.0
0.118,108.0
0.119,109.0
0.12,111.0
0.121,112.0
0.122,113.0
0.123,115.0
0.124,115.0
0.125,115.0
0.126,115.0
0.127,115.0
0.128,117.0
0.129,116.0
0.13,119.0
0.131,123.0
0.132,127.0
0.133,129.0
0.134,131.0
0.135,134.0
0.136,135.0
0.137,137.0
0.138,138.0
0.139,141.0
0.14,141.0
0.141,143.0
0.142,147.0
0.143,149.0
0.144,155.0
0.145,162.0
0.146,171.0
0.147,181.0
0.148,193.0
0.149,204.0
0.15,214.0
0.151,219.0
0.152,225.0
