Time,ForceReading
0.0,3.0
0.001,1.0
0.002,4.0
0.003,6.0
0.004,10.0
0.005,11.0
0.006,16.0
0.007,23.0
0.008,24.0
0.009,27.0
0.01,32.0
0.011,36.0
0.012,42.0
0.013,45.0
0.014,47.0
0.015,50.0
0.016,51.0
0.017,59.0
0.018,64.0
0.019,69.0
0.02,83.0
0.021,87.0
0.022,90.0
0.023,95.0
0.024,102.0
0.025,124.0
0.026,144.0
0.027,155.0
0.028,163.0
0.029,170.0
0.03,178.0
0.031,186.0
0.032,194.0
0.033,199.0
0.034,209.0
0.035,220.0
0.036,229.0
0.037,236.0
0.038,241.0
0.039,249.0
0.04,259.0
0.041,264.0
0.042,274.0
0.043,286.0
0.044,294.0
0.045,301.0
0.046,308.0
0.047,315.0
0.048,319.0
0.049,325.0
0.05,329.0
0.051,334.0
0.052,337.0
0.053,342.0
0.054,342.0
0.055,347.0
0.056,349.0
0.057,352.0
0.058,353.0
0.059,356.0
0.06,362.0
0.061,365.0
0.062,369.0
0.063,373.0
0.064,375.0
0.065,380.0
0.066,385.0
0.067,390.0
0.068,396.0
0.069,398.0
0.07,403.0
0.071,405.0
0.072,409.0
0.073,412.0
0.074,416.0
0.075,419.0
0.076,424.0
0.077,429.0
0.078,432.0
0.079,439.0
0.08,441.0
0.081,447.0
0.082,451.0
0.083,453.0
0.084,461.0
0.085,468.0
0.086,475.0
0.087,480.0
0.088,488.0
0.089,495.0
0.09,501.0
0.091,507.0
0.092,513.0
0.093,517.0
0.094,523.0
0.095,526.0
0.096,531.0
0.097,535.0
0.098,539.0
0.099,542.0
0.1,546.0
0.101,548.0
0.102,550.0
0.103,552.0
0.104,555.0
0.105,556.0
0.106,560.0
0.107,562.0
0.108,565.0
0.109,568.0
0.11,571.0
0.111,574.0
0.112,577.0
0.113,581.0
0.114,586.0
0.115,587.0
0.116,589.0
0.117,592.0
0.118,599.0
0.119,601.0
0.12,604.0
0.121,607.0
0.122,611.0
0.123,613.0
0.124,618.0
0.125,618.0
0.126,621.0
0.127,624.0
0.128,626.0
0.129,629.0
0.13,631.0
0.131,634.0
0.132,636.0
0.133,641.0
0.134,641.0
0.135,643.0
0.136,645.0
0.137,646.0
0.138,648.0
0.139,649.0
0.14,650.0
0.141,652.0
0.142,653.0
0.143,654.0
0.144,656.0
0.145,658.0
0.146,659.0
0.147,661.0
0.148,662.0
0.149,664.0
0.15,665.0
0.151,668.0
0.152,670.0
0.153,672.0
0.154,674.0
0.155,676.0
0.156,679.0
0.157,680.0
0.158,681.0
0.159,683.0
0.16,686.0
0.161,687.0
0.162,691.0
0.163,691.0
0.164,693.0
0.165,694.0
0.166,698.0
0.167,698.0
0.168,699.0
0.169,701.0
0.17,703.0
0.171,706.0
0.172,708.0
0.173,709.0
0.174,711.0
0.175,712.0
0.176,712.0
0.177,714.0
0.178,716.0
0.179,718.0
0.18,719.0
0.181,719.0
0.182,719.0
0.183,720.0
0.184,723.0
0.185,724.0
0.186,725.0
0.187,725.0
0.188,727.0
0.189,728.0
0.19,729.0
0.191,731.0
0.192,730.0
0.193,733.0
0.194,733.0
0.195,734.0
0.196,734.0
0.197,736.0
0.198,736.0
0.199,737.0
0.2,739.0
0.201,739.0
0.202,738.0
0.203,740.0
0.204,743.0
0.205,742.0
0.206,743.0
0.207,744.0
0.208,744.0
0.209,746.0
0.21,748.0
0.211,747.0
0.212,748.0
0.213,751.0
0.214,751.0
0.215,751.0
0.216,752.0
0.217,752.0
0.218,754.0
0.219,754.0
0.22,757.0
0.221,757.0
0.222,757.0
0.223,757.0
0.224,758.0
0.225,759.0
0.226,760.0
0.227,759.0
0.228,761.0
0.229,762.0
0.23,764.0
0.231,764.0
0.232,765.0
0.233,766.0
0.234,768.0
0.235,768.0
0.236,768.0
0.237,769.0
0.238,770.0
0.239,770.0
0.24,772.0
0.241,771.0
0.242,775.0
0.243,776.0
0.244,776.0
0.245,776.0
0.246,779.0
0.247,779.0
0.248,778.0
0.249,779.0
0.25,780.0
0.251,780.0
0.252,781.0
0.253,784.0
0.254,782.0
0.255,783.0
0.256,784.0
0.257,785.0
0.258,785.0
0.259,786.0
0.26,786.0
0.261,787.0
0.262,788.0
0.263,789.0
0.264,789.0
0.265,789.0
0.266,789.0
0.267,790.0
0.268,791.0
0.269,791.0
0.27,792.0
0.271,794.0
0.272,793.0
0.273,794.0
0.274,795.0
0.275,797.0
0.276,795.0
0.277,797.0
0.278,798.0
0.279,799.0
0.28,798.0
0.281,798.0
0.282,799.0
0.283,799.0
0.284,799.0
0.285,800.0
0.286,802.0
0.287,803.0
0.288,803.0
0.289,803.0
0.29,802.0
0.291,803.0
0.292,805.0
0.293,805.0
0.294,806.0
0.295,806.0
0.296,807.0
0.297,808.0
0.298,807.0
0.299,807.0
0.3,807.0
0.301,808.0
0.302,809.0
0.303,809.0
0.304,809.0
0.305,810.0
0.306,812.0
0.307,811.0
0.308,813.0
0.309,812.0
0.31,813.0
0.311,813.0
0.312,814.0
0.313,815.0
0.314,816.0
0.315,815.0
0.316,818.0
0.317,818.0
0.318,818.0
0.319,818.0
0.32,818.0
0.321,819.0
0.322,820.0
0.323,822.0
0.324,821.0
0.325,822.0
0.326,823.0
0.327,822.0
0.328,822.0
0.329,825.0
0.33,825.0
0.331,825.0
0.332,825.0
0.333,825.0
0.334,827.0
0.335,826.0
0.336,826.0
0.337,827.0
0.338,828.0
0.339,829.0
0.34,829.0
0.341,830.0
0.342,830.0
0.343,830.0
0.344,830.0
0.345,831.0
0.346,832.0
0.347,832.0
0.348,832.0
0.349,833.0
0.35,833.0
0.351,834.0
0.352,835.0
0.353,835.0
0.354,835.0
0.355,837.0
0.356,837.0
0.357,835.0
0.358,836.0
0.359,837.0
0.36,837.0
0.361,837.0
0.362,839.0
0.363,839.0
0.364,838.0
0.365,839.0
0.366,839.0
0.367,840.0
0.368,840.0
0.369,840.0
0.37,841.0
0.371,842.0
0.372,841.0
0.373,843.0
0.374,842.0
0.375,842.0
0.376,844.0
0.377,844.0
0.378,843.0
0.379,845.0
0.38,844.0
0.381,844.0
0.382,844.0
0.383,845.0
0.384,846.0
0.385,847.0
0.386,846.0
0.387,848.0
0.388,848.0
0.389,849.0
0.39,848.0
0.391,848.0
0.392,849.0
0.393,850.0
0.394,850.0
0.395,850.0
0.396,850.0
0.397,851.0
0.398,851.0
0.399,851.0
0.4,851.0
0.401,853.0
0.402,851.0
0.403,854.0
0.404,852.0
0.405,852.0
0.406,853.0
0.407,854.0
0.408,854.0
0.409,852.0
0.41,854.0
0.411,853.0
0.412,854.0
0.413,854.0
0.414,854.0
0.415,854.0
0.416,855.0
0.417,856.0
0.418,856.0
0.419,855.0
0.42,855.0
0.421,857.0
0.422,855.0
0.423,856.0
0.424,856.0
0.425,857.0
0.426,857.0
0.427,857.0
0.428,857.0
0.429,856.0
0.43,856.0
0.431,858.0
0.432,858.0
0.433,856.0
0.434,857.0
0.435,859.0
0.436,857.0
0.437,857.0
0.438,859.0
0.439,858.0
0.44,857.0
0.441,857.0
0.442,857.0
0.443,860.0
0.444,858.0
0.445,858.0
0.446,859.0
0.447,857.0
0.448,858.0
0.449,858.0
0.45,860.0
0.451,859.0
0.452,860.0
0.453,860.0
0.454,858.0
0.455,859.0
0.456,860.0
0.457,859.0
0.458,859.0
0.459,860.0
0.46,860.0
0.461,860.0
0.462,860.0
0.463,859.0
0.464,860.0
0.465,862.0
0.466,860.0
0.467,860.0
0.468,861.0
0.469,860.0
0.47,860.0
0.471,861.0
0.472,860.0
0.473,860.0
0.474,861.0
0.475,860.0
0.476,861.0
0.477,862.0
0.478,861.0
0.479,860.0
0.48,861.0
0.481,860.0
0.482,861.0
0.483,861.0
0.484,861.0
0.485,860.0
0.486,861.0
0.487,862.0
0.488,862.0
0.489,861.0
0.49,862.0
0.491,861.0
0.492,863.0
0.493,863.0
0.494,862.0
0.495,862.0
0.496,863.0
0.497,862.0
0.498,862.0
0.499,862.0
0.5,862.0
0.501,863.0
0.502,862.0
0.503,862.0
0.504,863.0
0.505,862.0
0.506,862.0
0.507,863.0
0.508,862.0
0.509,862.0
0.51,863.0
0.511,864.0
0.512,863.0
0.513,863.0
0.514,862.0
0.515,865.0
0.516,865.0
0.517,865.0
0.518,863.0
0.519,863.0
0.52,864.0
0.521,865.0
0.522,863.0
0.523,864.0
0.524,864.0
0.525,864.0
0.526,864.0
0.527,863.0
0.528,865.0
0.529,864.0
0.53,864.0
