Time,ForceReading
0.0,15.0
0.001,22.0
0.002,31.0
0.003,42.0
0.004,47.0
0.005,58.0
0.006,65.0
0.007,69.0
0.008,71.0
0.009,80.0
0.01,89.0
0.011,100.0
0.012,101.0
0.013,106.0
0.014,112.0
0.015,117.0
0.016,124.0
0.017,129.0
0.018,139.0
0.019,152.0
0.02,164.0
0.021,168.0
0.022,174.0
0.023,177.0
0.024,179.0
0.025,186.0
0.026,185.0
0.027,190.0
0.028,193.0
0.029,202.0
0.03,206.0
0.031,214.0
0.032,221.0
0.033,229.0
0.034,237.0
0.035,242.0
0.036,248.0
0.037,253.0
0.038,258.0
0.039,262.0
0.04,269.0
0.041,273.0
0.042,283.0
0.043,291.0
0.044,296.0
0.045,302.0
0.046,309.0
0.047,312.0
0.048,319.0
0.049,325.0
0.05,336.0
0.051,344.0
0.052,351.0
0.053,355.0
0.054,362.0
0.055,364.0
0.056,370.0
0.057,376.0
0.058,382.0
0.059,388.0
0.06,394.0
0.061,402.0
0.062,406.0
0.063,409.0
0.064,413.0
0.065,415.0
0.066,418.0
0.067,420.0
0.068,423.0
0.069,428.0
0.07,431.0
0.071,433.0
0.072,437.0
0.073,439.0
0.074,442.0
0.075,443.0
0.076,445.0
0.077,449.0
0.078,449.0
0.079,453.0
0.08,455.0
0.081,459.0
0.082,461.0
0.083,463.0
0.084,466.0
0.085,470.0
0.086,475.0
0.087,478.0
0.088,480.0
0.089,481.0
0.09,484.0
0.091,488.0
0.092,491.0
0.093,494.0
0.094,496.0
0.095,498.0
0.096,501.0
0.097,505.0
0.098,509.0
0.099,512.0
0.1,516.0
0.101,517.0
0.102,519.0
0.103,521.0
0.104,523.0
0.105,526.0
0.106,528.0
0.107,529.0
0.108,531.0
0.109,533.0
0.11,535.0
0.111,535.0
0.112,536.0
0.113,538.0
0.114,539.0
0.115,542.0
0.116,542.0
0.117,546.0
0.118,548.0
0.119,551.0
0.12,555.0
0.121,558.0
0.122,560.0
0.123,562.0
0.124,565.0
0.125,568.0
0.126,571.0
0.127,571.0
0.128,574.0
0.129,575.0
0.13,577.0
0.131,578.0
0.132,581.0
0.133,581.0
0.134,583.0
0.135,583.0
0.136,585.0
0.137,586.0
0.138,588.0
0.139,590.0
0.14,591.0
0.141,592.0
0.142,594.0
0.143,595.0
0.144,596.0
0.145,599.0
0.146,600.0
0.147,601.0
0.148,602.0
0.149,604.0
0.15,606.0
0.151,607.0
0.152,607.0
0.153,610.0
0.154,611.0
0.155,612.0
0.156,613.0
0.157,615.0
0.158,618.0
0.159,620.0
0.16,620.0
0.161,621.0
0.162,623.0
0.163,624.0
0.164,626.0
0.165,628.0
0.166,628.0
0.167,630.0
0.168,632.0
0.169,632.0
0.17,634.0
0.171,636.0
0.172,637.0
0.173,639.0
0.174,640.0
0.175,641.0
0.176,643.0
0.177,645.0
0.178,646.0
0.179,647.0
0.18,648.0
0.181,649.0
0.182,650.0
0.183,651.0
0.184,652.0
0.185,654.0
0.186,654.0
0.187,654.0
0.188,656.0
0.189,658.0
0.19,658.0
0.191,659.0
0.192,661.0
0.193,661.0
0.194,663.0
0.195,664.0
0.196,665.0
0.197,665.0
0.198,666.0
0.199,667.0
0.2,668.0
0.201,670.0
0.202,669.0
0.203,670.0
0.204,672.0
0.205,674.0
0.206,673.0
0.207,675.0
0.208,676.0
0.209,678.0
0.21,680.0
0.211,681.0
0.212,683.0
0.213,684.0
0.214,686.0
0.215,687.0
0.216,688.0
0.217,689.0
0.218,691.0
0.219,693.0
0.22,693.0
0.221,695.0
0.222,696.0
0.223,697.0
0.224,698.0
0.225,701.0
0.226,703.0
0.227,705.0
0.228,707.0
0.229,709.0
0.23,710.0
0.231,712.0
0.232,713.0
0.233,714.0
0.234,716.0
0.235,717.0
0.236,718.0
0.237,718.0
0.238,718.0
0.239,721.0
0.24,722.0
0.241,722.0
0.242,723.0
0.243,724.0
0.244,724.0
0.245,725.0
0.246,726.0
0.247,727.0
0.248,728.0
0.249,729.0
0.25,730.0
0.251,732.0
0.252,733.0
0.253,734.0
0.254,734.0
0.255,736.0
0.256,737.0
0.257,737.0
0.258,738.0
0.259,739.0
0.26,740.0
0.261,740.0
0.262,741.0
0.263,741.0
0.264,741.0
0.265,742.0
0.266,742.0
0.267,742.0
0.268,743.0
0.269,745.0
0.27,744.0
0.271,745.0
0.272,746.0
0.273,747.0
0.274,747.0
0.275,748.0
0.276,748.0
0.277,749.0
0.278,751.0
0.279,751.0
0.28,751.0
0.281,753.0
0.282,753.0
0.283,754.0
0.284,756.0
0.285,756.0
0.286,756.0
0.287,757.0
0.288,758.0
0.289,759.0
0.29,759.0
0.291,759.0
0.292,760.0
0.293,761.0
0.294,760.0
0.295,761.0
0.296,763.0
0.297,762.0
0.298,763.0
0.299,764.0
0.3,764.0
0.301,764.0
0.302,766.0
0.303,766.0
0.304,766.0
0.305,766.0
0.306,766.0
0.307,768.0
0.308,768.0
0.309,770.0
0.31,769.0
0.311,771.0
0.312,772.0
0.313,771.0
0.314,772.0
0.315,773.0
0.316,773.0
0.317,773.0
0.318,774.0
0.319,774.0
0.32,775.0
0.321,775.0
0.322,775.0
0.323,776.0
0.324,776.0
0.325,777.0
0.326,777.0
0.327,778.0
0.328,778.0
0.329,779.0
0.33,778.0
0.331,780.0
0.332,781.0
0.333,780.0
0.334,781.0
0.335,782.0
0.336,781.0
0.337,783.0
0.338,783.0
0.339,784.0
0.34,784.0
0.341,784.0
0.342,786.0
0.343,786.0
0.344,786.0
0.345,787.0
0.346,788.0
0.347,787.0
0.348,788.0
0.349,788.0
0.35,790.0
0.351,788.0
0.352,790.0
0.353,790.0
0.354,790.0
0.355,791.0
0.356,792.0
0.357,792.0
0.358,791.0
0.359,793.0
0.36,793.0
0.361,794.0
0.362,794.0
0.363,793.0
0.364,794.0
0.365,796.0
0.366,795.0
0.367,795.0
0.368,796.0
0.369,797.0
0.37,797.0
0.371,797.0
0.372,797.0
0.373,798.0
0.374,799.0
0.375,798.0
0.376,798.0
0.377,800.0
0.378,799.0
0.379,800.0
0.38,800.0
0.381,800.0
0.382,801.0
0.383,802.0
0.384,802.0
0.385,801.0
0.386,802.0
0.387,803.0
0.388,803.0
0.389,803.0
0.39,803.0
0.391,804.0
0.392,803.0
0.393,804.0
0.394,805.0
0.395,804.0
0.396,805.0
0.397,805.0
0.398,805.0
0.399,806.0
0.4,805.0
0.401,807.0
0.402,806.0
0.403,807.0
0.404,806.0
0.405,807.0
0.406,807.0
0.407,808.0
0.408,808.0
0.409,809.0
0.41,808.0
0.411,808.0
0.412,809.0
0.413,809.0
0.414,809.0
0.415,809.0
0.416,810.0
0.417,810.0
0.418,810.0
0.419,811.0
0.42,811.0
0.421,810.0
0.422,810.0
0.423,811.0
0.424,811.0
0.425,811.0
0.426,811.0
0.427,812.0
0.428,812.0
0.429,812.0
0.43,812.0
0.431,812.0
0.432,812.0
0.433,812.0
0.434,812.0
0.435,812.0
0.436,812.0
0.437,812.0
0.438,813.0
0.439,812.0
