Time,ForceReading
0.0,3.0
0.001,4.0
0.002,5.0
0.003,5.0
0.004,16.0
0.005,17.0
0.006,18.0
0.007,17.0
0.008,15.0
0.009,16.0
0.01,15.0
0.011,18.0
0.012,32.0
0.013,45.0
0.014,52.0
0.015,59.0
0.016,68.0
0.017,72.0
0.018,77.0
0.019,84.0
0.02,89.0
0.021,88.0
0.022,95.0
0.023,100.0
0.024,104.0
0.025,108.0
0.026,113.0
0.027,118.0
0.028,124.0
0.029,132.0
0.03,136.0
0.031,140.0
0.032,143.0
0.033,146.0
0.034,149.0
0.035,149.0
0.036,148.0
0.037,149.0
0.038,148.0
0.039,150.0
0.04,150.0
0.041,150.0
0.042,150.0
0.043,150.0
0.044,150.0
0.045,151.0
0.046,151.0
0.047,152.0
0.048,153.0
0.049,153.0
0.05,154.0
0.051,154.0
0.052,154.0
0.053,155.0
0.054,155.0
0.055,155.0
0.056,153.0
0.057,154.0
0.058,153.0
0.059,155.0
0.06,155.0
0.061,155.0
0.062,153.0
0.063,155.0
0.064,155.0
0.065,157.0
0.066,156.0
0.067,162.0
0.068,162.0
0.069,162.0
0.07,164.0
0.071,163.0
0.072,164.0
0.073,164.0
0.074,164.0
0.075,164.0
0.076,165.0
0.077,164.0
0.078,165.0
0.079,166.0
0.08,167.0
0.081,165.0
0.082,165.0
0.083,167.0
0.084,168.0
0.085,178.0
0.086,179.0
0.087,180.0
0.088,181.0
0.089,180.0
0.09,182.0
0.091,180.0
0.092,182.0
0.093,182.0
0.094,182.0
0.095,180.0
0.096,182.0
0.097,182.0
0.098,180.0
0.099,182.0
0.1,184.0
0.101,182.0
0.102,184.0
0.103,183.0
0.104,186.0
0.105,186.0
0.106,188.0
0.107,190.0
0.108,191.0
0.109,193.0
0.11,201.0
0.111,209.0
0.112,214.0
0.113,217.0
0.114,221.0
0.115,225.0
0.116,226.0
0.117,231.0
0.118,234.0
0.119,238.0
0.12,239.0
0.121,239.0
0.122,241.0
0.123,243.0
0.124,244.0
0.125,245.0
0.126,246.0
0.127,247.0
0.128,248.0
0.129,251.0
0.13,254.0
0.131,256.0
0.132,260.0
0.133,265.0
0.134,269.0
0.135,270.0
0.136,272.0
0.137,275.0
0.138,276.0
0.139,275.0
0.14,277.0
0.141,278.0
0.142,278.0
0.143,277.0
0.144,277.0
0.145,278.0
0.146,282.0
0.147,284.0
0.148,289.0
0.149,296.0
0.15,301.0
0.151,307.0
0.152,311.0
0.153,314.0
0.154,318.0
0.155,323.0
0.156,327.0
0.157,335.0
0.158,342.0
0.159,345.0
0.16,349.0
0.161,351.0
0.162,354.0
0.163,358.0
0.164,362.0
0.165,365.0
0.166,372.0
0.167,379.0
0.168,392.0
0.169,398.0
0.17,402.0
0.171,407.0
0.172,411.0
0.173,416.0
0.174,423.0
0.175,430.0
0.176,433.0
0.177,436.0
0.178,439.0
0.179,444.0
0.18,448.0
0.181,452.0
0.182,457.0
0.183,462.0
0.184,466.0
0.185,472.0
0.186,479.0
0.187,486.0
0.188,491.0
0.189,497.0
0.19,499.0
0.191,503.0
0.192,507.0
0.193,514.0
0.194,518.0
0.195,524.0
0.196,527.0
0.197,530.0
0.198,535.0
0.199,538.0
0.2,541.0
0.201,544.0
0.202,546.0
0.203,549.0
0.204,552.0
0.205,555.0
0.206,558.0
0.207,562.0
0.208,566.0
0.209,568.0
0.21,570.0
0.211,573.0
0.212,577.0
0.213,581.0
0.214,584.0
0.215,587.0
0.216,589.0
0.217,593.0
0.218,595.0
0.219,597.0
0.22,599.0
0.221,602.0
0.222,604.0
0.223,607.0
0.224,609.0
0.225,612.0
0.226,616.0
0.227,619.0
0.228,624.0
0.229,626.0
0.23,628.0
0.231,631.0
0.232,634.0
0.233,636.0
0.234,638.0
0.235,642.0
0.236,644.0
0.237,646.0
0.238,647.0
0.239,648.0
0.24,651.0
0.241,652.0
0.242,654.0
0.243,657.0
0.244,659.0
0.245,661.0
0.246,662.0
0.247,665.0
0.248,665.0
0.249,669.0
0.25,671.0
0.251,672.0
0.252,675.0
0.253,677.0
0.254,678.0
0.255,678.0
0.256,681.0
0.257,683.0
0.258,684.0
0.259,686.0
0.26,688.0
0.261,689.0
0.262,690.0
0.263,692.0
0.264,694.0
0.265,694.0
0.266,695.0
0.267,697.0
0.268,698.0
0.269,700.0
0.27,701.0
0.271,702.0
