Time,ForceReading
0.0,14.0
0.001,17.0
0.002,28.0
0.003,32.0
0.004,36.0
0.005,42.0
0.006,46.0
0.007,49.0
0.008,56.0
0.009,66.0
0.01,71.0
0.011,74.0
0.012,76.0
0.013,79.0
0.014,84.0
0.015,89.0
0.016,92.0
0.017,94.0
0.018,98.0
0.019,101.0
0.02,105.0
0.021,110.0
0.022,112.0
0.023,121.0
0.024,124.0
0.025,127.0
0.026,131.0
0.027,134.0
0.028,139.0
0.029,163.0
0.03,175.0
0.031,185.0
0.032,192.0
0.033,202.0
0.034,208.0
0.035,216.0
0.036,221.0
0.037,226.0
0.038,229.0
0.039,235.0
0.04,241.0
0.041,248.0
0.042,252.0
0.043,258.0
0.044,263.0
0.045,272.0
0.046,276.0
0.047,280.0
0.048,285.0
0.049,289.0
0.05,293.0
0.051,297.0
0.052,303.0
0.053,310.0
0.054,315.0
0.055,318.0
0.056,321.0
0.057,324.0
0.058,327.0
0.059,330.0
0.06,335.0
0.061,339.0
0.062,343.0
0.063,347.0
0.064,348.0
0.065,353.0
0.066,357.0
0.067,361.0
0.068,363.0
0.069,366.0
0.07,369.0
0.071,372.0
0.072,374.0
0.073,376.0
0.074,378.0
0.075,381.0
0.076,385.0
0.077,388.0
0.078,392.0
0.079,395.0
0.08,400.0
0.081,403.0
0.082,406.0
0.083,410.0
0.084,412.0
0.085,416.0
0.086,418.0
0.087,420.0
0.088,423.0
0.089,425.0
0.09,428.0
0.091,428.0
0.092,430.0
0.093,433.0
0.094,434.0
0.095,436.0
0.096,439.0
0.097,446.0
0.098,450.0
0.099,455.0
0.1,460.0
0.101,466.0
0.102,472.0
0.103,477.0
0.104,482.0
0.105,485.0
0.106,488.0
0.107,491.0
0.108,494.0
0.109,497.0
0.11,499.0
0.111,502.0
0.112,505.0
0.113,506.0
0.114,510.0
0.115,512.0
0.116,515.0
0.117,517.0
0.118,518.0
0.119,519.0
0.12,521.0
0.121,524.0
0.122,524.0
0.123,526.0
0.124,528.0
0.125,528.0
0.126,530.0
0.127,533.0
0.128,534.0
0.129,536.0
0.13,537.0
0.131,537.0
0.132,539.0
0.133,541.0
0.134,542.0
0.135,544.0
0.136,544.0
0.137,546.0
0.138,548.0
0.139,550.0
0.14,549.0
0.141,552.0
0.142,556.0
0.143,558.0
0.144,559.0
0.145,563.0
0.146,564.0
0.147,565.0
0.148,568.0
0.149,572.0
0.15,573.0
0.151,574.0
0.152,575.0
0.153,577.0
0.154,579.0
0.155,580.0
0.156,582.0
0.157,583.0
0.158,584.0
0.159,587.0
0.16,588.0
0.161,592.0
0.162,595.0
0.163,597.0
0.164,598.0
0.165,600.0
0.166,601.0
0.167,602.0
0.168,603.0
0.169,603.0
0.17,605.0
0.171,606.0
0.172,607.0
0.173,609.0
0.174,610.0
0.175,612.0
0.176,615.0
0.177,618.0
0.178,617.0
0.179,618.0
0.18,620.0
0.181,622.0
0.182,623.0
0.183,625.0
0.184,625.0
0.185,627.0
0.186,629.0
0.187,631.0
0.188,633.0
0.189,634.0
0.19,636.0
0.191,637.0
0.192,638.0
0.193,639.0
0.194,640.0
0.195,641.0
0.196,644.0
0.197,644.0
0.198,646.0
0.199,648.0
0.2,649.0
0.201,651.0
0.202,653.0
0.203,654.0
0.204,655.0
0.205,656.0
0.206,658.0
0.207,659.0
0.208,659.0
0.209,661.0
0.21,661.0
0.211,662.0
0.212,663.0
0.213,664.0
0.214,666.0
0.215,668.0
0.216,669.0
0.217,670.0
0.218,672.0
0.219,672.0
0.22,674.0
0.221,676.0
0.222,677.0
0.223,678.0
0.224,679.0
