Time,ForceReading
0.0,9.0
0.001,10.0
0.002,12.0
0.003,18.0
0.004,20.0
0.005,22.0
0.006,26.0
0.007,28.0
0.008,33.0
0.009,33.0
0.01,39.0
0.011,44.0
0.012,49.0
0.013,51.0
0.014,53.0
0.015,53.0
0.016,60.0
0.017,66.0
0.018,66.0
0.019,68.0
0.02,72.0
0.021,74.0
0.022,76.0
0.023,78.0
0.024,81.0
0.025,82.0
0.026,84.0
0.027,85.0
0.028,89.0
0.029,101.0
0.03,109.0
0.031,117.0
0.032,123.0
0.033,130.0
0.034,136.0
0.035,145.0
0.036,158.0
0.037,167.0
0.038,177.0
0.039,182.0
0.04,188.0
0.041,202.0
0.042,212.0
0.043,220.0
0.044,226.0
0.045,234.0
0.046,242.0
0.047,242.0
0.048,249.0
0.049,255.0
0.05,258.0
0.051,262.0
0.052,267.0
0.053,270.0
0.054,274.0
0.055,282.0
0.056,288.0
0.057,296.0
0.058,305.0
0.059,310.0
0.06,319.0
0.061,325.0
0.062,328.0
0.063,336.0
0.064,341.0
0.065,347.0
0.066,351.0
0.067,356.0
0.068,367.0
0.069,374.0
0.07,383.0
0.071,390.0
0.072,396.0
0.073,402.0
0.074,406.0
0.075,412.0
0.076,417.0
0.077,420.0
0.078,427.0
0.079,432.0
0.08,437.0
0.081,439.0
0.082,444.0
0.083,447.0
0.084,451.0
0.085,454.0
0.086,458.0
0.087,463.0
0.088,466.0
0.089,471.0
0.09,474.0
0.091,479.0
0.092,481.0
0.093,488.0
0.094,496.0
0.095,503.0
0.096,508.0
0.097,512.0
0.098,515.0
0.099,520.0
0.1,525.0
0.101,530.0
0.102,534.0
0.103,539.0
0.104,542.0
0.105,544.0
0.106,549.0
0.107,550.0
0.108,552.0
0.109,555.0
0.11,557.0
0.111,561.0
0.112,565.0
0.113,569.0
0.114,573.0
0.115,575.0
0.116,579.0
0.117,583.0
0.118,585.0
0.119,589.0
0.12,593.0
0.121,596.0
0.122,599.0
0.123,602.0
0.124,606.0
0.125,610.0
0.126,613.0
0.127,616.0
0.128,620.0
