Time,ForceReading
0.0,4.0
0.001,17.0
0.002,28.0
0.003,38.0
0.004,45.0
0.005,50.0
0.006,54.0
0.007,56.0
0.008,59.0
0.009,61.0
0.01,64.0
0.011,66.0
0.012,68.0
0.013,66.0
0.014,71.0
0.015,73.0
0.016,76.0
0.017,78.0
0.018,81.0
0.019,83.0
0.02,85.0
0.021,91.0
0.022,96.0
0.023,100.0
0.024,110.0
0.025,114.0
0.026,119.0
0.027,120.0
0.028,125.0
0.029,127.0
0.03,127.0
0.031,130.0
0.032,136.0
0.033,140.0
0.034,141.0
0.035,146.0
0.036,149.0
0.037,152.0
0.038,156.0
0.039,161.0
0.04,165.0
0.041,174.0
0.042,178.0
0.043,182.0
0.044,190.0
0.045,196.0
0.046,204.0
0.047,208.0
0.048,212.0
0.049,214.0
0.05,219.0
0.051,226.0
0.052,230.0
0.053,233.0
0.054,237.0
0.055,243.0
0.056,248.0
0.057,252.0
0.058,256.0
0.059,259.0
0.06,261.0
0.061,266.0
0.062,268.0
0.063,271.0
0.064,275.0
0.065,280.0
0.066,286.0
0.067,287.0
0.068,293.0
0.069,297.0
0.07,301.0
0.071,304.0
0.072,307.0
0.073,311.0
0.074,315.0
0.075,318.0
0.076,322.0
0.077,325.0
0.078,328.0
0.079,331.0
0.08,333.0
0.081,336.0
0.082,337.0
0.083,339.0
0.084,347.0
0.085,349.0
0.086,352.0
0.087,355.0
0.088,357.0
0.089,361.0
0.09,364.0
0.091,368.0
0.092,368.0
0.093,370.0
0.094,374.0
0.095,378.0
0.096,381.0
0.097,385.0
0.098,388.0
0.099,393.0
0.1,395.0
0.101,397.0
0.102,402.0
0.103,405.0
0.104,406.0
0.105,409.0
0.106,410.0
0.107,412.0
0.108,415.0
0.109,417.0
0.11,418.0
0.111,420.0
0.112,423.0
0.113,424.0
0.114,427.0
0.115,428.0
0.116,430.0
0.117,434.0
0.118,436.0
0.119,438.0
0.12,440.0
0.121,441.0
0.122,444.0
0.123,445.0
0.124,447.0
0.125,449.0
0.126,451.0
0.127,453.0
0.128,455.0
0.129,457.0
0.13,458.0
0.131,459.0
0.132,462.0
0.133,464.0
0.134,466.0
0.135,469.0
0.136,470.0
0.137,471.0
0.138,473.0
0.139,475.0
0.14,478.0
0.141,478.0
0.142,479.0
0.143,482.0
0.144,484.0
0.145,486.0
0.146,488.0
0.147,489.0
0.148,491.0
0.149,493.0
0.15,496.0
0.151,497.0
0.152,500.0
0.153,501.0
0.154,503.0
0.155,504.0
0.156,506.0
0.157,509.0
0.158,509.0
0.159,512.0
0.16,513.0
0.161,515.0
0.162,517.0
0.163,518.0
0.164,522.0
0.165,523.0
0.166,524.0
