Time,ForceReading
0.0,12.0
0.001,18.0
0.002,20.0
0.003,22.0
0.004,25.0
0.005,27.0
0.006,28.0
0.007,28.0
0.008,31.0
0.009,32.0
0.01,31.0
0.011,33.0
0.012,34.0
0.013,48.0
0.014,63.0
0.015,69.0
0.016,75.0
0.017,78.0
0.018,80.0
0.019,88.0
0.02,89.0
0.021,92.0
0.022,93.0
0.023,96.0
0.024,97.0
0.025,105.0
0.026,109.0
0.027,116.0
0.028,123.0
0.029,125.0
0.03,127.0
0.031,130.0
0.032,133.0
0.033,138.0
0.034,141.0
0.035,142.0
0.036,144.0
0.037,146.0
0.038,146.0
0.039,147.0
0.04,149.0
0.041,149.0
0.042,148.0
0.043,151.0
0.044,151.0
0.045,151.0
0.046,152.0
0.047,153.0
0.048,157.0
0.049,160.0
0.05,161.0
0.051,165.0
0.052,172.0
0.053,172.0
0.054,174.0
0.055,178.0
0.056,179.0
0.057,182.0
0.058,186.0
0.059,189.0
0.06,193.0
0.061,197.0
0.062,202.0
0.063,205.0
0.064,209.0
0.065,211.0
0.066,216.0
0.067,219.0
0.068,222.0
0.069,223.0
0.07,222.0
0.071,224.0
0.072,225.0
0.073,227.0
0.074,227.0
0.075,228.0
0.076,227.0
0.077,227.0
0.078,228.0
0.079,227.0
0.08,228.0
0.081,229.0
0.082,227.0
0.083,228.0
0.084,228.0
0.085,228.0
0.086,228.0
0.087,230.0
0.088,229.0
0.089,230.0
0.09,229.0
0.091,230.0
0.092,229.0
0.093,230.0
0.094,231.0
0.095,232.0
0.096,231.0
0.097,233.0
0.098,233.0
0.099,234.0
0.1,233.0
0.101,233.0
0.102,234.0
0.103,235.0
0.104,234.0
0.105,234.0
0.106,234.0
0.107,235.0
0.108,237.0
0.109,238.0
0.11,239.0
0.111,238.0
0.112,240.0
0.113,240.0
0.114,240.0
0.115,242.0
0.116,244.0
0.117,245.0
0.118,245.0
0.119,244.0
0.12,245.0
0.121,244.0
0.122,246.0
0.123,245.0
0.124,246.0
0.125,246.0
