Time,ForceReading
0.0,7.0
0.001,16.0
0.002,24.0
0.003,26.0
0.004,29.0
0.005,34.0
0.006,44.0
0.007,52.0
0.008,56.0
0.009,62.0
0.01,64.0
0.011,66.0
0.012,68.0
0.013,70.0
0.014,68.0
0.015,78.0
0.016,85.0
0.017,108.0
0.018,119.0
0.019,123.0
0.02,126.0
0.021,131.0
0.022,134.0
0.023,136.0
0.024,138.0
0.025,139.0
0.026,143.0
0.027,146.0
0.028,149.0
0.029,152.0
0.03,155.0
0.031,158.0
0.032,168.0
0.033,171.0
0.034,178.0
0.035,186.0
0.036,191.0
0.037,203.0
0.038,212.0
0.039,224.0
0.04,230.0
0.041,236.0
0.042,240.0
0.043,244.0
0.044,247.0
0.045,250.0
0.046,255.0
0.047,258.0
0.048,264.0
0.049,268.0
0.05,272.0
0.051,277.0
0.052,281.0
0.053,284.0
0.054,290.0
0.055,295.0
0.056,302.0
0.057,307.0
0.058,308.0
0.059,314.0
0.06,319.0
0.061,321.0
0.062,326.0
0.063,332.0
0.064,337.0
0.065,343.0
0.066,351.0
0.067,357.0
0.068,361.0
0.069,368.0
0.07,373.0
0.071,377.0
0.072,381.0
0.073,386.0
0.074,392.0
0.075,396.0
0.076,401.0
0.077,405.0
0.078,409.0
0.079,413.0
0.08,420.0
0.081,421.0
0.082,424.0
0.083,433.0
0.084,436.0
0.085,440.0
0.086,446.0
0.087,452.0
0.088,455.0
0.089,459.0
0.09,464.0
0.091,470.0
0.092,474.0
0.093,481.0
0.094,486.0
0.095,491.0
0.096,498.0
0.097,501.0
0.098,505.0
0.099,509.0
0.1,513.0
0.101,516.0
0.102,520.0
0.103,523.0
0.104,528.0
0.105,533.0
0.106,535.0
0.107,540.0
0.108,543.0
0.109,546.0
0.11,549.0
0.111,552.0
0.112,555.0
0.113,558.0
0.114,561.0
0.115,566.0
0.116,568.0
0.117,573.0
0.118,578.0
0.119,581.0
0.12,584.0
0.121,587.0
0.122,590.0
0.123,593.0
0.124,597.0
0.125,602.0
0.126,606.0
0.127,610.0
0.128,614.0
0.129,617.0
0.13,620.0
0.131,623.0
0.132,626.0
0.133,628.0
0.134,631.0
0.135,632.0
0.136,635.0
0.137,638.0
0.138,641.0
0.139,642.0
0.14,645.0
0.141,648.0
0.142,650.0
0.143,652.0
0.144,655.0
0.145,657.0
0.146,658.0
0.147,660.0
0.148,662.0
0.149,664.0
0.15,667.0
0.151,669.0
0.152,674.0
0.153,675.0
0.154,680.0
0.155,683.0
0.156,686.0
0.157,687.0
0.158,689.0
0.159,690.0
0.16,694.0
0.161,694.0
0.162,696.0
0.163,698.0
0.164,699.0
0.165,701.0
0.166,702.0
0.167,702.0
0.168,704.0
0.169,705.0
0.17,706.0
0.171,708.0
0.172,710.0
0.173,711.0
0.174,713.0
0.175,715.0
0.176,716.0
0.177,717.0
0.178,719.0
0.179,720.0
0.18,722.0
0.181,724.0
0.182,725.0
0.183,728.0
0.184,729.0
0.185,731.0
0.186,733.0
0.187,735.0
0.188,736.0
0.189,737.0
0.19,738.0
0.191,740.0
0.192,741.0
0.193,742.0
0.194,743.0
0.195,744.0
0.196,744.0
0.197,746.0
0.198,747.0
0.199,749.0
0.2,750.0
0.201,750.0
0.202,752.0
0.203,754.0
0.204,756.0
0.205,756.0
0.206,758.0
0.207,759.0
0.208,760.0
0.209,762.0
0.21,762.0
0.211,765.0
0.212,766.0
0.213,769.0
0.214,769.0
0.215,770.0
0.216,771.0
0.217,771.0
0.218,774.0
0.219,773.0
0.22,775.0
0.221,775.0
0.222,776.0
0.223,777.0
0.224,778.0
0.225,780.0
0.226,779.0
0.227,780.0
0.228,782.0
0.229,782.0
0.23,784.0
0.231,786.0
0.232,786.0
0.233,787.0
0.234,788.0
0.235,788.0
0.236,789.0
0.237,790.0
0.238,791.0
0.239,792.0
0.24,792.0
0.241,793.0
0.242,795.0
0.243,796.0
0.244,796.0
0.245,797.0
0.246,797.0
0.247,800.0
0.248,800.0
0.249,800.0
0.25,801.0
0.251,801.0
0.252,803.0
0.253,804.0
0.254,804.0
0.255,806.0
0.256,806.0
0.257,806.0
0.258,808.0
0.259,808.0
0.26,810.0
0.261,810.0
0.262,811.0
0.263,812.0
0.264,812.0
0.265,812.0
0.266,813.0
0.267,813.0
0.268,814.0
0.269,816.0
0.27,815.0
0.271,817.0
0.272,817.0
0.273,819.0
0.274,818.0
0.275,821.0
0.276,820.0
0.277,821.0
0.278,822.0
0.279,823.0
0.28,823.0
0.281,824.0
0.282,826.0
0.283,825.0
0.284,826.0
0.285,826.0
0.286,827.0
0.287,826.0
0.288,827.0
0.289,828.0
0.29,829.0
0.291,829.0
0.292,831.0
0.293,831.0
0.294,832.0
0.295,833.0
0.296,833.0
0.297,835.0
0.298,835.0
0.299,837.0
0.3,836.0
0.301,838.0
0.302,839.0
0.303,840.0
0.304,840.0
0.305,840.0
0.306,840.0
0.307,842.0
0.308,842.0
0.309,843.0
0.31,844.0
0.311,844.0
0.312,846.0
0.313,845.0
0.314,846.0
0.315,847.0
0.316,847.0
0.317,848.0
0.318,848.0
0.319,849.0
0.32,849.0
0.321,851.0
0.322,850.0
0.323,850.0
0.324,851.0
0.325,851.0
0.326,852.0
0.327,853.0
0.328,853.0
0.329,853.0
0.33,853.0
0.331,855.0
0.332,855.0
0.333,855.0
0.334,855.0
0.335,856.0
0.336,857.0
0.337,857.0
0.338,858.0
0.339,858.0
0.34,858.0
0.341,858.0
0.342,859.0
0.343,858.0
0.344,858.0
0.345,859.0
0.346,860.0
0.347,859.0
0.348,859.0
0.349,859.0
0.35,859.0
0.351,860.0
0.352,860.0
0.353,861.0
0.354,861.0
0.355,861.0
0.356,861.0
0.357,862.0
0.358,863.0
0.359,863.0
0.36,863.0
0.361,863.0
0.362,865.0
0.363,865.0
0.364,866.0
0.365,865.0
0.366,866.0
0.367,866.0
0.368,867.0
0.369,868.0
0.37,867.0
0.371,867.0
0.372,868.0
0.373,869.0
0.374,868.0
0.375,868.0
0.376,869.0
0.377,869.0
0.378,870.0
0.379,869.0
0.38,869.0
0.381,871.0
0.382,871.0
0.383,871.0
0.384,870.0
0.385,871.0
0.386,871.0
0.387,873.0
0.388,872.0
0.389,873.0
0.39,872.0
0.391,873.0
0.392,872.0
0.393,872.0
0.394,874.0
0.395,874.0
0.396,873.0
0.397,874.0
0.398,873.0
0.399,874.0
0.4,874.0
0.401,874.0
0.402,874.0
0.403,875.0
0.404,874.0
0.405,875.0
0.406,876.0
0.407,876.0
0.408,877.0
0.409,876.0
0.41,876.0
0.411,876.0
0.412,877.0
0.413,876.0
0.414,877.0
0.415,877.0
0.416,877.0
0.417,878.0
0.418,878.0
0.419,878.0
0.42,879.0
0.421,879.0
0.422,879.0
0.423,879.0
0.424,880.0
0.425,880.0
0.426,880.0
0.427,880.0
0.428,881.0
0.429,882.0
0.43,882.0
0.431,881.0
0.432,881.0
0.433,882.0
0.434,882.0
0.435,882.0
0.436,882.0
0.437,884.0
0.438,884.0
0.439,884.0
0.44,884.0
0.441,884.0
0.442,885.0
