Time,ForceReading
0.0,5.0
0.001,5.0
0.002,7.0
0.003,8.0
0.004,9.0
0.005,10.0
0.006,10.0
0.007,12.0
0.008,12.0
0.009,18.0
0.01,20.0
0.011,21.0
0.012,24.0
0.013,26.0
0.014,28.0
0.015,26.0
0.016,25.0
0.017,21.0
0.018,12.0
0.019,10.0
0.02,24.0
0.021,27.0
0.022,29.0
0.023,31.0
0.024,32.0
0.025,23.0
0.026,19.0
0.027,5.0
0.028,6.0
0.029,4.0
0.03,3.0
0.031,4.0
0.032,15.0
0.033,24.0
0.034,32.0
0.035,38.0
0.036,38.0
0.037,41.0
0.038,42.0
0.039,41.0
0.04,41.0
0.041,38.0
0.042,36.0
0.043,38.0
0.044,36.0
0.045,36.0
0.046,38.0
0.047,37.0
0.048,37.0
0.049,38.0
0.05,40.0
0.051,41.0
0.052,41.0
0.053,42.0
0.054,43.0
0.055,43.0
0.056,45.0
0.057,45.0
0.058,45.0
0.059,46.0
0.06,46.0
0.061,45.0
0.062,46.0
0.063,46.0
0.064,45.0
0.065,47.0
0.066,46.0
0.067,46.0
0.068,48.0
0.069,48.0
0.07,48.0
0.071,50.0
0.072,50.0
0.073,50.0
0.074,49.0
0.075,50.0
0.076,50.0
0.077,50.0
0.078,51.0
0.079,51.0
0.08,50.0
0.081,50.0
0.082,50.0
0.083,50.0
0.084,49.0
0.085,51.0
0.086,51.0
0.087,51.0
0.088,55.0
0.089,53.0
0.09,55.0
0.091,53.0
0.092,58.0
0.093,62.0
0.094,66.0
0.095,75.0
0.096,78.0
0.097,85.0
0.098,88.0
0.099,91.0
0.1,92.0
0.101,93.0
0.102,95.0
0.103,95.0
0.104,99.0
0.105,97.0
0.106,98.0
0.107,98.0
0.108,99.0
0.109,100.0
0.11,100.0
0.111,101.0
0.112,100.0
0.113,101.0
0.114,103.0
0.115,105.0
0.116,104.0
0.117,106.0
0.118,106.0
0.119,106.0
0.12,106.0
0.121,107.0
0.122,105.0
0.123,106.0
0.124,107.0
0.125,109.0
0.126,109.0
0.127,110.0
0.128,109.0
0.129,113.0
0.13,119.0
0.131,122.0
0.132,125.0
0.133,137.0
0.134,142.0
0.135,146.0
0.136,155.0
0.137,158.0
0.138,161.0
0.139,166.0
0.14,168.0
0.141,169.0
0.142,176.0
0.143,177.0
0.144,180.0
0.145,182.0
0.146,185.0
0.147,188.0
0.148,191.0
0.149,194.0
0.15,196.0
0.151,197.0
0.152,200.0
0.153,204.0
0.154,209.0
0.155,211.0
0.156,212.0
0.157,213.0
0.158,214.0
0.159,214.0
0.16,218.0
0.161,222.0
0.162,227.0
0.163,228.0
0.164,233.0
0.165,235.0
0.166,236.0
0.167,239.0
0.168,241.0
0.169,245.0
0.17,248.0
0.171,250.0
0.172,253.0
0.173,255.0
0.174,258.0
0.175,259.0
0.176,262.0
0.177,265.0
0.178,266.0
0.179,269.0
0.18,271.0
0.181,272.0
0.182,272.0
0.183,275.0
0.184,275.0
0.185,279.0
0.186,281.0
0.187,280.0
0.188,283.0
0.189,283.0
0.19,284.0
0.191,287.0
0.192,287.0
0.193,288.0
0.194,288.0
0.195,291.0
0.196,291.0
0.197,293.0
0.198,293.0
0.199,296.0
0.2,297.0
0.201,299.0
0.202,301.0
0.203,302.0
0.204,306.0
0.205,307.0
0.206,308.0
0.207,307.0
0.208,309.0
0.209,309.0
0.21,310.0
0.211,310.0
0.212,311.0
0.213,312.0
0.214,313.0
0.215,313.0
0.216,313.0
0.217,313.0
0.218,314.0
0.219,314.0
0.22,315.0
0.221,315.0
0.222,316.0
0.223,318.0
0.224,317.0
0.225,318.0
0.226,318.0
0.227,317.0
0.228,318.0
0.229,318.0
0.23,318.0
0.231,320.0
0.232,321.0
0.233,322.0
0.234,324.0
0.235,324.0
0.236,326.0
0.237,327.0
0.238,327.0
0.239,327.0
0.24,329.0
0.241,329.0
0.242,328.0
0.243,328.0
0.244,329.0
0.245,328.0
0.246,328.0
0.247,329.0
0.248,328.0
0.249,331.0
0.25,333.0
0.251,331.0
0.252,330.0
0.253,330.0
0.254,328.0
0.255,328.0
0.256,327.0
0.257,326.0
0.258,326.0
0.259,326.0
0.26,328.0
0.261,327.0
0.262,327.0
0.263,329.0
0.264,330.0
0.265,332.0
0.266,333.0
0.267,334.0
0.268,336.0
0.269,335.0
0.27,336.0
0.271,335.0
0.272,336.0
0.273,336.0
0.274,337.0
0.275,335.0
0.276,335.0
0.277,333.0
0.278,332.0
0.279,333.0
0.28,334.0
0.281,333.0
0.282,337.0
0.283,341.0
0.284,323.0
0.285,304.0
0.286,318.0
0.287,326.0
0.288,324.0
0.289,319.0
0.29,313.0
0.291,320.0
0.292,324.0
0.293,326.0
0.294,325.0
0.295,329.0
0.296,327.0
0.297,325.0
0.298,327.0
0.299,326.0
0.3,327.0
0.301,326.0
0.302,326.0
0.303,324.0
0.304,324.0
0.305,323.0
0.306,318.0
0.307,316.0
0.308,321.0
0.309,322.0
0.31,323.0
0.311,325.0
0.312,325.0
0.313,326.0
0.314,323.0
0.315,321.0
0.316,321.0
0.317,324.0
0.318,326.0
0.319,326.0
0.32,325.0
0.321,324.0
0.322,320.0
0.323,316.0
0.324,314.0
0.325,313.0
0.326,314.0
0.327,310.0
0.328,309.0
0.329,306.0
0.33,303.0
0.331,297.0
0.332,295.0
0.333,291.0
0.334,289.0
0.335,285.0
0.336,285.0
0.337,278.0
0.338,278.0
0.339,279.0
0.34,283.0
0.341,283.0
0.342,284.0
0.343,286.0
0.344,286.0
0.345,288.0
0.346,288.0
0.347,287.0
0.348,289.0
0.349,289.0
0.35,288.0
0.351,287.0
0.352,288.0
0.353,284.0
0.354,281.0
0.355,278.0
0.356,275.0
0.357,271.0
0.358,269.0
0.359,269.0
0.36,264.0
0.361,260.0
0.362,252.0
0.363,245.0
0.364,242.0
0.365,238.0
0.366,250.0
0.367,292.0
0.368,259.0
0.369,220.0
0.37,191.0
0.371,173.0
0.372,163.0
0.373,155.0
0.374,151.0
0.375,155.0
0.376,161.0
0.377,166.0
0.378,172.0
0.379,169.0
0.38,158.0
0.381,144.0
0.382,126.0
0.383,106.0
0.384,151.0
0.385,105.0
0.386,62.0
0.387,32.0
0.388,32.0
0.389,53.0
0.39,53.0
0.391,33.0
0.392,19.0
0.393,14.0
0.394,15.0
0.395,20.0
0.396,13.0
0.397,0.0
0.398,0.0
0.399,0.0
0.4,0.0
0.401,0.0
0.402,0.0
0.403,0.0
0.404,0.0
0.405,0.0
0.406,0.0
0.407,0.0
0.408,0.0
0.409,0.0
0.41,0.0
0.411,0.0
0.412,0.0
0.413,0.0
0.414,0.0
0.415,0.0
0.416,0.0
0.417,0.0
0.418,0.0
0.419,0.0
0.42,0.0
0.421,0.0
0.422,0.0
0.423,0.0
0.424,0.0
0.425,0.0
0.426,0.0
0.427,0.0
0.428,0.0
0.429,0.0
0.43,0.0
0.431,0.0
0.432,0.0
0.433,0.0
0.434,0.0
0.435,0.0
0.436,0.0
0.437,0.0
0.438,0.0
0.439,0.0
0.44,0.0
0.441,0.0
0.442,0.0
0.443,0.0
0.444,0.0
0.445,0.0
0.446,0.0
0.447,0.0
0.448,0.0
0.449,0.0
0.45,0.0
0.451,0.0
0.452,0.0
0.453,0.0
0.454,0.0
0.455,0.0
0.456,0.0
0.457,0.0
0.458,0.0
0.459,0.0
0.46,0.0
0.461,0.0
0.462,0.0
0.463,0.0
0.464,0.0
0.465,0.0
0.466,0.0
0.467,0.0
0.468,0.0
0.469,0.0
0.47,0.0
0.471,0.0
0.472,0.0
0.473,0.0
0.474,0.0
0.475,0.0
0.476,0.0
0.477,0.0
0.478,0.0
0.479,0.0
0.48,9.0
0.481,19.0
0.482,23.0
0.483,25.0
0.484,26.0
0.485,23.0
0.486,23.0
0.487,22.0
0.488,23.0
0.489,24.0
0.49,20.0
0.491,20.0
0.492,16.0
0.493,15.0
0.494,12.0
0.495,11.0
0.496,4.0
0.497,0.0
0.498,0.0
0.499,0.0
0.5,4.0
0.501,4.0
0.502,4.0
0.503,4.0
0.504,5.0
0.505,7.0
0.506,13.0
0.507,19.0
0.508,25.0
0.509,31.0
0.51,34.0
0.511,37.0
0.512,39.0
0.513,49.0
0.514,57.0
0.515,63.0
