Time,ForceReading
0.0,9.0
0.001,35.0
0.002,44.0
0.003,50.0
0.004,52.0
0.005,53.0
0.006,53.0
0.007,54.0
0.008,57.0
0.009,59.0
0.01,59.0
0.011,59.0
0.012,60.0
0.013,81.0
0.014,90.0
0.015,99.0
0.016,103.0
0.017,110.0
0.018,114.0
0.019,118.0
0.02,120.0
0.021,122.0
0.022,127.0
0.023,129.0
0.024,133.0
0.025,136.0
0.026,137.0
0.027,139.0
0.028,142.0
0.029,143.0
0.03,145.0
0.031,153.0
0.032,156.0
0.033,159.0
0.034,164.0
0.035,168.0
0.036,169.0
0.037,171.0
0.038,174.0
0.039,176.0
0.04,177.0
0.041,179.0
0.042,180.0
0.043,180.0
0.044,182.0
0.045,183.0
0.046,184.0
0.047,185.0
0.048,187.0
0.049,188.0
0.05,187.0
0.051,189.0
0.052,190.0
0.053,191.0
0.054,193.0
0.055,196.0
0.056,198.0
0.057,200.0
0.058,204.0
0.059,205.0
0.06,207.0
0.061,208.0
0.062,208.0
0.063,212.0
0.064,213.0
0.065,217.0
0.066,220.0
0.067,223.0
0.068,227.0
0.069,228.0
0.07,229.0
0.071,231.0
0.072,233.0
0.073,239.0
0.074,243.0
0.075,245.0
0.076,253.0
0.077,261.0
0.078,269.0
0.079,272.0
0.08,276.0
0.081,278.0
0.082,279.0
0.083,282.0
0.084,283.0
0.085,284.0
0.086,287.0
0.087,289.0
0.088,289.0
0.089,290.0
0.09,291.0
0.091,293.0
0.092,293.0
0.093,295.0
0.094,293.0
0.095,295.0
0.096,294.0
0.097,295.0
0.098,295.0
0.099,295.0
0.1,295.0
0.101,294.0
0.102,295.0
0.103,296.0
0.104,296.0
0.105,296.0
0.106,296.0
0.107,296.0
0.108,296.0
0.109,296.0
0.11,296.0
0.111,296.0
0.112,297.0
0.113,297.0
0.114,297.0
0.115,297.0
0.116,296.0
0.117,298.0
0.118,298.0
0.119,297.0
0.12,297.0
0.121,298.0
0.122,298.0
0.123,297.0
0.124,298.0
0.125,299.0
0.126,298.0
0.127,299.0
0.128,298.0
0.129,299.0
0.13,299.0
0.131,299.0
0.132,300.0
0.133,300.0
0.134,299.0
0.135,300.0
0.136,299.0
0.137,300.0
0.138,300.0
0.139,300.0
0.14,300.0
0.141,300.0
0.142,299.0
0.143,301.0
0.144,300.0
0.145,301.0
