Time,ForceReading
0.0,12.0
0.001,14.0
0.002,15.0
0.003,17.0
0.004,24.0
0.005,30.0
0.006,37.0
0.007,49.0
0.008,53.0
0.009,58.0
0.01,62.0
0.011,71.0
0.012,90.0
0.013,96.0
0.014,103.0
0.015,112.0
0.016,111.0
0.017,115.0
0.018,118.0
0.019,115.0
0.02,115.0
0.021,116.0
0.022,111.0
0.023,110.0
0.024,111.0
0.025,112.0
0.026,119.0
0.027,134.0
0.028,139.0
0.029,146.0
0.03,154.0
0.031,165.0
0.032,172.0
0.033,178.0
0.034,182.0
0.035,192.0
0.036,201.0
0.037,209.0
0.038,218.0
0.039,225.0
0.04,233.0
0.041,243.0
0.042,250.0
0.043,258.0
0.044,270.0
0.045,278.0
0.046,286.0
0.047,298.0
0.048,315.0
0.049,324.0
0.05,333.0
0.051,341.0
0.052,349.0
0.053,358.0
0.054,365.0
0.055,373.0
0.056,378.0
0.057,383.0
0.058,393.0
0.059,400.0
0.06,405.0
0.061,415.0
0.062,423.0
0.063,431.0
0.064,435.0
0.065,445.0
0.066,448.0
0.067,454.0
0.068,460.0
0.069,465.0
0.07,470.0
0.071,474.0
0.072,478.0
0.073,484.0
0.074,488.0
0.075,492.0
0.076,498.0
0.077,501.0
0.078,505.0
0.079,510.0
0.08,515.0
0.081,519.0
0.082,525.0
0.083,530.0
0.084,535.0
0.085,537.0
0.086,542.0
0.087,544.0
0.088,548.0
0.089,550.0
0.09,553.0
0.091,556.0
0.092,559.0
0.093,562.0
0.094,565.0
0.095,568.0
0.096,570.0
0.097,575.0
0.098,578.0
0.099,580.0
0.1,584.0
0.101,587.0
0.102,589.0
0.103,592.0
0.104,594.0
0.105,597.0
0.106,599.0
0.107,603.0
0.108,606.0
0.109,608.0
0.11,611.0
0.111,613.0
0.112,616.0
0.113,620.0
0.114,622.0
0.115,625.0
0.116,628.0
0.117,631.0
0.118,633.0
0.119,636.0
0.12,638.0
0.121,639.0
0.122,642.0
0.123,643.0
0.124,645.0
0.125,647.0
0.126,649.0
0.127,651.0
0.128,653.0
0.129,654.0
0.13,656.0
0.131,659.0
0.132,660.0
0.133,662.0
0.134,663.0
0.135,665.0
0.136,668.0
0.137,668.0
0.138,671.0
0.139,672.0
0.14,675.0
0.141,676.0
0.142,678.0
0.143,680.0
0.144,681.0
0.145,683.0
0.146,685.0
0.147,688.0
0.148,690.0
0.149,691.0
0.15,692.0
0.151,693.0
0.152,695.0
0.153,696.0
0.154,698.0
0.155,700.0
0.156,700.0
0.157,701.0
0.158,702.0
0.159,704.0
0.16,705.0
0.161,707.0
0.162,709.0
0.163,710.0
0.164,713.0
0.165,715.0
0.166,716.0
0.167,718.0
0.168,719.0
0.169,720.0
0.17,721.0
0.171,725.0
0.172,726.0
0.173,727.0
