Time,ForceReading
0.0,4.0
0.001,8.0
0.002,12.0
0.003,32.0
0.004,63.0
0.005,79.0
0.006,89.0
0.007,111.0
0.008,118.0
0.009,125.0
0.01,134.0
0.011,140.0
0.012,144.0
0.013,150.0
0.014,153.0
0.015,156.0
0.016,163.0
0.017,169.0
0.018,180.0
0.019,189.0
0.02,198.0
0.021,204.0
0.022,209.0
0.023,214.0
0.024,234.0
0.025,250.0
0.026,262.0
0.027,275.0
0.028,282.0
0.029,290.0
0.03,295.0
0.031,303.0
0.032,311.0
0.033,324.0
0.034,337.0
0.035,343.0
0.036,352.0
0.037,358.0
0.038,368.0
0.039,374.0
0.04,381.0
0.041,386.0
0.042,390.0
0.043,395.0
0.044,399.0
0.045,403.0
0.046,408.0
0.047,418.0
0.048,423.0
0.049,429.0
0.05,433.0
0.051,439.0
0.052,443.0
0.053,448.0
0.054,451.0
0.055,456.0
0.056,460.0
0.057,463.0
0.058,469.0
0.059,473.0
0.06,480.0
0.061,484.0
0.062,489.0
0.063,493.0
0.064,499.0
0.065,503.0
0.066,507.0
0.067,512.0
0.068,516.0
0.069,520.0
0.07,525.0
0.071,528.0
0.072,533.0
0.073,539.0
0.074,543.0
0.075,547.0
0.076,550.0
0.077,555.0
0.078,557.0
0.079,560.0
0.08,564.0
0.081,569.0
0.082,573.0
0.083,577.0
0.084,582.0
0.085,585.0
0.086,590.0
0.087,593.0
0.088,595.0
0.089,598.0
0.09,603.0
0.091,608.0
0.092,611.0
0.093,615.0
0.094,618.0
0.095,621.0
0.096,623.0
0.097,626.0
0.098,628.0
0.099,635.0
0.1,638.0
0.101,641.0
0.102,643.0
0.103,645.0
0.104,648.0
0.105,650.0
0.106,652.0
0.107,654.0
0.108,656.0
0.109,658.0
0.11,661.0
0.111,662.0
0.112,665.0
0.113,666.0
0.114,667.0
0.115,671.0
0.116,673.0
0.117,675.0
0.118,676.0
0.119,678.0
0.12,681.0
0.121,682.0
0.122,684.0
0.123,686.0
0.124,687.0
0.125,689.0
0.126,691.0
0.127,693.0
0.128,694.0
0.129,696.0
0.13,698.0
0.131,701.0
0.132,702.0
0.133,704.0
0.134,705.0
0.135,706.0
0.136,708.0
0.137,710.0
0.138,712.0
0.139,712.0
0.14,715.0
0.141,717.0
0.142,719.0
0.143,721.0
0.144,723.0
0.145,726.0
0.146,727.0
0.147,728.0
0.148,730.0
0.149,732.0
0.15,734.0
0.151,736.0
0.152,739.0
0.153,740.0
0.154,742.0
0.155,743.0
0.156,745.0
0.157,745.0
0.158,748.0
0.159,748.0
0.16,750.0
0.161,751.0
0.162,751.0
0.163,753.0
0.164,754.0
0.165,756.0
0.166,757.0
0.167,758.0
0.168,760.0
0.169,761.0
0.17,761.0
0.171,762.0
0.172,763.0
0.173,765.0
0.174,765.0
0.175,765.0
0.176,767.0
0.177,768.0
0.178,769.0
0.179,769.0
0.18,771.0
0.181,770.0
0.182,772.0
0.183,771.0
0.184,772.0
0.185,771.0
0.186,773.0
0.187,774.0
0.188,775.0
0.189,776.0
0.19,776.0
0.191,777.0
0.192,778.0
0.193,780.0
0.194,781.0
0.195,781.0
0.196,781.0
0.197,782.0
0.198,783.0
0.199,784.0
0.2,785.0
0.201,785.0
0.202,786.0
0.203,787.0
0.204,788.0
0.205,788.0
0.206,788.0
0.207,790.0
0.208,791.0
0.209,792.0
0.21,791.0
0.211,793.0
0.212,793.0
0.213,794.0
0.214,794.0
0.215,795.0
0.216,796.0
0.217,796.0
0.218,798.0
0.219,797.0
0.22,797.0
0.221,799.0
0.222,799.0
0.223,800.0
0.224,801.0
0.225,801.0
0.226,801.0
0.227,802.0
0.228,803.0
0.229,804.0
0.23,803.0
0.231,805.0
0.232,806.0
0.233,806.0
0.234,808.0
0.235,808.0
0.236,809.0
0.237,810.0
0.238,812.0
0.239,812.0
0.24,814.0
0.241,815.0
0.242,816.0
0.243,817.0
0.244,817.0
0.245,817.0
0.246,819.0
0.247,819.0
0.248,819.0
0.249,820.0
0.25,821.0
0.251,821.0
0.252,823.0
0.253,823.0
0.254,824.0
0.255,824.0
0.256,826.0
0.257,825.0
0.258,826.0
0.259,827.0
0.26,829.0
0.261,828.0
0.262,829.0
0.263,830.0
0.264,830.0
0.265,830.0
0.266,832.0
0.267,832.0
0.268,833.0
0.269,833.0
0.27,833.0
0.271,835.0
0.272,836.0
0.273,835.0
0.274,836.0
0.275,837.0
0.276,837.0
0.277,837.0
0.278,838.0
0.279,840.0
0.28,840.0
0.281,840.0
0.282,841.0
0.283,841.0
0.284,842.0
0.285,842.0
0.286,843.0
0.287,843.0
0.288,844.0
0.289,844.0
0.29,844.0
0.291,845.0
0.292,846.0
0.293,846.0
0.294,846.0
0.295,847.0
0.296,848.0
0.297,849.0
0.298,848.0
0.299,849.0
0.3,849.0
0.301,849.0
0.302,850.0
0.303,851.0
0.304,852.0
0.305,851.0
0.306,852.0
0.307,852.0
0.308,852.0
0.309,852.0
0.31,853.0
0.311,854.0
0.312,853.0
0.313,854.0
0.314,854.0
0.315,854.0
0.316,855.0
0.317,855.0
0.318,856.0
0.319,855.0
0.32,857.0
0.321,856.0
0.322,856.0
0.323,857.0
0.324,857.0
0.325,857.0
0.326,858.0
0.327,858.0
0.328,858.0
0.329,859.0
0.33,859.0
0.331,858.0
0.332,860.0
0.333,861.0
0.334,860.0
0.335,860.0
0.336,861.0
0.337,861.0
0.338,861.0
0.339,861.0
0.34,862.0
0.341,863.0
0.342,864.0
0.343,863.0
0.344,863.0
0.345,865.0
0.346,864.0
0.347,864.0
0.348,864.0
0.349,864.0
0.35,865.0
0.351,865.0
0.352,865.0
0.353,866.0
0.354,866.0
0.355,866.0
0.356,867.0
0.357,867.0
0.358,866.0
0.359,867.0
0.36,867.0
0.361,867.0
0.362,867.0
0.363,868.0
0.364,867.0
0.365,867.0
0.366,868.0
0.367,868.0
0.368,869.0
0.369,869.0
0.37,869.0
0.371,868.0
0.372,869.0
0.373,869.0
0.374,869.0
0.375,869.0
0.376,869.0
0.377,871.0
0.378,870.0
0.379,870.0
0.38,870.0
0.381,870.0
0.382,871.0
0.383,871.0
0.384,871.0
0.385,872.0
0.386,871.0
0.387,872.0
0.388,871.0
0.389,871.0
0.39,872.0
0.391,871.0
0.392,872.0
0.393,872.0
0.394,874.0
0.395,872.0
0.396,873.0
0.397,873.0
0.398,873.0
0.399,873.0
0.4,873.0
0.401,873.0
0.402,873.0
0.403,873.0
0.404,873.0
0.405,874.0
0.406,874.0
0.407,873.0
0.408,874.0
0.409,874.0
0.41,874.0
0.411,874.0
0.412,874.0
0.413,873.0
0.414,873.0
0.415,875.0
0.416,875.0
0.417,874.0
0.418,874.0
0.419,874.0
0.42,874.0
0.421,874.0
0.422,874.0
0.423,873.0
0.424,875.0
0.425,874.0
0.426,874.0
0.427,874.0
0.428,875.0
0.429,874.0
0.43,875.0
0.431,875.0
0.432,874.0
0.433,875.0
0.434,874.0
0.435,875.0
0.436,875.0
0.437,875.0
0.438,874.0
0.439,876.0
0.44,875.0
0.441,875.0
0.442,876.0
0.443,875.0
0.444,874.0
0.445,875.0
0.446,874.0
0.447,875.0
0.448,875.0
0.449,875.0
0.45,875.0
0.451,875.0
0.452,874.0
0.453,876.0
0.454,875.0
0.455,876.0
0.456,876.0
0.457,875.0
0.458,875.0
0.459,875.0
0.46,876.0
0.461,876.0
0.462,876.0
0.463,876.0
0.464,875.0
0.465,876.0
0.466,875.0
0.467,875.0
0.468,875.0
0.469,875.0
0.47,876.0
0.471,876.0
0.472,876.0
0.473,875.0
0.474,875.0
0.475,875.0
0.476,876.0
0.477,876.0
0.478,876.0
0.479,876.0
0.48,876.0
0.481,876.0
0.482,877.0
0.483,877.0
0.484,875.0
0.485,875.0
0.486,876.0
0.487,875.0
0.488,876.0
0.489,876.0
0.49,875.0
0.491,876.0
0.492,876.0
0.493,875.0
0.494,876.0
0.495,877.0
0.496,876.0
0.497,876.0
0.498,877.0
0.499,877.0
0.5,877.0
0.501,877.0
0.502,876.0
0.503,877.0
0.504,876.0
0.505,876.0
0.506,875.0
0.507,876.0
0.508,876.0
0.509,876.0
0.51,876.0
0.511,876.0
0.512,876.0
0.513,876.0
0.514,878.0
0.515,877.0
0.516,878.0
0.517,878.0
0.518,877.0
0.519,876.0
0.52,877.0
0.521,877.0
0.522,876.0
0.523,877.0
0.524,877.0
0.525,876.0
0.526,876.0
0.527,877.0
0.528,876.0
0.529,878.0
0.53,876.0
0.531,877.0
0.532,877.0
0.533,876.0
0.534,876.0
0.535,876.0
0.536,876.0
0.537,877.0
0.538,878.0
0.539,877.0
0.54,878.0
0.541,878.0
0.542,877.0
0.543,877.0
0.544,877.0
0.545,878.0
0.546,877.0
0.547,877.0
0.548,877.0
0.549,877.0
0.55,876.0
0.551,877.0
0.552,877.0
0.553,877.0
0.554,878.0
0.555,877.0
0.556,878.0
0.557,878.0
0.558,877.0
0.559,877.0
0.56,878.0
0.561,878.0
0.562,879.0
0.563,878.0
0.564,878.0
0.565,877.0
0.566,878.0
0.567,878.0
0.568,877.0
0.569,877.0
0.57,877.0
0.571,877.0
0.572,877.0
0.573,877.0
0.574,877.0
0.575,877.0
0.576,877.0
0.577,877.0
0.578,878.0
0.579,878.0
0.58,877.0
0.581,879.0
0.582,877.0
0.583,877.0
0.584,878.0
0.585,878.0
0.586,877.0
0.587,877.0
0.588,878.0
0.589,878.0
0.59,878.0
0.591,877.0
0.592,877.0
0.593,878.0
0.594,878.0
0.595,877.0
0.596,878.0
0.597,879.0
0.598,879.0
0.599,878.0
0.6,879.0
0.601,878.0
0.602,879.0
0.603,878.0
0.604,878.0
0.605,878.0
0.606,877.0
0.607,878.0
0.608,878.0
0.609,877.0
0.61,878.0
0.611,877.0
0.612,877.0
0.613,877.0
0.614,877.0
0.615,878.0
0.616,877.0
0.617,878.0
0.618,879.0
0.619,878.0
0.62,878.0
0.621,878.0
0.622,878.0
0.623,878.0
0.624,880.0
0.625,878.0
0.626,879.0
0.627,878.0
0.628,879.0
0.629,878.0
0.63,877.0
0.631,879.0
0.632,878.0
0.633,878.0
0.634,878.0
0.635,879.0
0.636,878.0
0.637,878.0
0.638,878.0
0.639,878.0
0.64,879.0
0.641,879.0
0.642,879.0
0.643,879.0
0.644,879.0
0.645,879.0
0.646,878.0
0.647,878.0
0.648,879.0
0.649,879.0
0.65,878.0
0.651,879.0
0.652,878.0
0.653,877.0
0.654,878.0
0.655,879.0
0.656,878.0
0.657,879.0
0.658,879.0
0.659,879.0
0.66,879.0
0.661,879.0
0.662,878.0
0.663,879.0
0.664,878.0
0.665,879.0
0.666,880.0
0.667,879.0
0.668,879.0
0.669,878.0
0.67,879.0
0.671,878.0
0.672,878.0
0.673,878.0
0.674,879.0
0.675,879.0
0.676,879.0
0.677,879.0
0.678,879.0
0.679,878.0
0.68,879.0
0.681,879.0
0.682,879.0
0.683,879.0
0.684,879.0
0.685,879.0
0.686,878.0
0.687,879.0
0.688,879.0
0.689,879.0
0.69,878.0
0.691,879.0
0.692,879.0
0.693,879.0
0.694,879.0
0.695,878.0
0.696,879.0
0.697,878.0
0.698,878.0
0.699,879.0
0.7,878.0
0.701,879.0
0.702,880.0
0.703,879.0
0.704,879.0
0.705,879.0
0.706,879.0
0.707,879.0
0.708,879.0
0.709,879.0
0.71,880.0
0.711,879.0
0.712,879.0
0.713,878.0
0.714,879.0
0.715,879.0
0.716,878.0
0.717,879.0
0.718,879.0
0.719,879.0
0.72,879.0
0.721,879.0
0.722,879.0
0.723,879.0
0.724,879.0
0.725,879.0
0.726,879.0
0.727,879.0
0.728,879.0
0.729,879.0
0.73,879.0
0.731,879.0
0.732,879.0
0.733,879.0
0.734,878.0
0.735,879.0
0.736,879.0
0.737,879.0
0.738,878.0
0.739,878.0
0.74,879.0
0.741,879.0
0.742,879.0
0.743,880.0
0.744,879.0
0.745,879.0
0.746,879.0
0.747,879.0
0.748,880.0
0.749,880.0
0.75,879.0
0.751,879.0
0.752,880.0
0.753,879.0
0.754,880.0
0.755,880.0
0.756,880.0
0.757,879.0
0.758,879.0
0.759,880.0
0.76,879.0
0.761,879.0
0.762,879.0
0.763,880.0
0.764,880.0
0.765,879.0
0.766,879.0
0.767,879.0
0.768,879.0
0.769,879.0
0.77,879.0
0.771,879.0
0.772,879.0
0.773,879.0
0.774,880.0
0.775,880.0
0.776,880.0
0.777,880.0
0.778,880.0
0.779,880.0
0.78,880.0
0.781,880.0
0.782,880.0
0.783,879.0
0.784,880.0
0.785,880.0
0.786,880.0
0.787,879.0
0.788,879.0
0.789,879.0
0.79,879.0
0.791,880.0
0.792,879.0
0.793,879.0
0.794,879.0
0.795,880.0
0.796,879.0
0.797,880.0
0.798,880.0
0.799,880.0
0.8,879.0
0.801,879.0
0.802,879.0
0.803,879.0
0.804,879.0
0.805,880.0
0.806,880.0
0.807,879.0
0.808,880.0
0.809,879.0
0.81,880.0
0.811,880.0
0.812,879.0
0.813,880.0
0.814,880.0
0.815,879.0
0.816,880.0
0.817,880.0
0.818,880.0
0.819,879.0
0.82,879.0
0.821,880.0
0.822,879.0
0.823,880.0
0.824,879.0
0.825,879.0
0.826,879.0
0.827,880.0
0.828,880.0
0.829,880.0
0.83,880.0
0.831,880.0
0.832,880.0
0.833,880.0
0.834,880.0
0.835,881.0
0.836,879.0
0.837,880.0
0.838,880.0
0.839,879.0
0.84,880.0
0.841,880.0
0.842,881.0
0.843,880.0
0.844,881.0
0.845,880.0
0.846,881.0
0.847,880.0
0.848,881.0
0.849,880.0
0.85,880.0
0.851,880.0
0.852,880.0
0.853,879.0
0.854,879.0
0.855,880.0
0.856,880.0
0.857,880.0
0.858,880.0
0.859,879.0
0.86,879.0
0.861,879.0
0.862,880.0
0.863,880.0
0.864,880.0
0.865,880.0
0.866,880.0
0.867,880.0
0.868,880.0
0.869,880.0
0.87,880.0
0.871,880.0
0.872,881.0
0.873,880.0
0.874,881.0
0.875,880.0
0.876,880.0
0.877,879.0
0.878,881.0
0.879,880.0
0.88,880.0
0.881,880.0
0.882,880.0
0.883,880.0
0.884,880.0
0.885,880.0
0.886,880.0
0.887,881.0
0.888,879.0
0.889,879.0
0.89,880.0
0.891,880.0
0.892,881.0
0.893,880.0
0.894,881.0
0.895,880.0
0.896,881.0
0.897,880.0
0.898,880.0
0.899,880.0
0.9,880.0
0.901,880.0
0.902,881.0
0.903,880.0
0.904,880.0
0.905,879.0
0.906,879.0
0.907,880.0
0.908,880.0
0.909,879.0
0.91,880.0
0.911,879.0
0.912,880.0
0.913,880.0
0.914,879.0
0.915,882.0
0.916,880.0
0.917,880.0
0.918,881.0
0.919,880.0
0.92,880.0
0.921,880.0
0.922,880.0
0.923,881.0
0.924,880.0
0.925,881.0
0.926,880.0
0.927,880.0
0.928,880.0
0.929,880.0
0.93,880.0
0.931,879.0
0.932,880.0
0.933,880.0
0.934,880.0
0.935,880.0
0.936,880.0
0.937,880.0
0.938,880.0
0.939,881.0
0.94,881.0
0.941,880.0
0.942,881.0
0.943,882.0
0.944,881.0
0.945,880.0
0.946,880.0
0.947,881.0
0.948,880.0
0.949,881.0
0.95,880.0
0.951,881.0
0.952,881.0
0.953,881.0
0.954,880.0
0.955,880.0
0.956,881.0
0.957,881.0
0.958,880.0
0.959,881.0
0.96,880.0
0.961,880.0
0.962,881.0
0.963,881.0
0.964,880.0
0.965,882.0
0.966,880.0
0.967,881.0
0.968,880.0
0.969,881.0
0.97,880.0
0.971,880.0
0.972,881.0
0.973,880.0
0.974,881.0
0.975,880.0
0.976,881.0
0.977,881.0
0.978,880.0
0.979,880.0
0.98,881.0
0.981,881.0
0.982,882.0
0.983,881.0
0.984,881.0
0.985,881.0
0.986,881.0
0.987,880.0
0.988,881.0
0.989,881.0
0.99,881.0
0.991,881.0
0.992,881.0
0.993,881.0
0.994,880.0
0.995,881.0
0.996,881.0
0.997,880.0
0.998,881.0
0.999,880.0
1.0,881.0
1.001,880.0
1.002,881.0
1.003,880.0
1.004,880.0
1.005,881.0
1.006,881.0
1.007,881.0
1.008,880.0
1.009,880.0
1.01,881.0
1.011,881.0
1.012,881.0
1.013,881.0
1.014,880.0
1.015,881.0
1.016,881.0
1.017,881.0
1.018,882.0
1.019,882.0
1.02,881.0
1.021,881.0
1.022,881.0
1.023,881.0
1.024,881.0
1.025,882.0
1.026,882.0
1.027,881.0
1.028,882.0
1.029,881.0
1.03,881.0
1.031,880.0
1.032,880.0
1.033,881.0
1.034,881.0
1.035,881.0
1.036,882.0
1.037,880.0
1.038,882.0
1.039,881.0
1.04,881.0
1.041,881.0
1.042,881.0
1.043,882.0
1.044,881.0
1.045,880.0
1.046,882.0
1.047,882.0
1.048,881.0
1.049,880.0
1.05,881.0
1.051,881.0
1.052,880.0
1.053,881.0
1.054,881.0
1.055,881.0
1.056,880.0
1.057,881.0
1.058,881.0
1.059,881.0
1.06,881.0
1.061,881.0
1.062,881.0
1.063,881.0
1.064,880.0
1.065,881.0
1.066,882.0
1.067,881.0
1.068,881.0
1.069,881.0
1.07,882.0
1.071,881.0
1.072,881.0
1.073,881.0
1.074,882.0
1.075,881.0
1.076,882.0
1.077,881.0
1.078,881.0
1.079,882.0
1.08,881.0
1.081,881.0
1.082,881.0
1.083,881.0
1.084,881.0
1.085,881.0
1.086,881.0
1.087,882.0
1.088,881.0
1.089,881.0
1.09,881.0
1.091,880.0
1.092,881.0
1.093,881.0
1.094,881.0
1.095,880.0
1.096,881.0
1.097,881.0
1.098,881.0
1.099,880.0
1.1,881.0
1.101,881.0
1.102,882.0
1.103,882.0
1.104,881.0
1.105,881.0
1.106,881.0
1.107,881.0
1.108,881.0
1.109,881.0
1.11,881.0
1.111,882.0
1.112,881.0
1.113,881.0
1.114,882.0
1.115,881.0
1.116,881.0
1.117,881.0
1.118,882.0
1.119,880.0
1.12,882.0
1.121,881.0
1.122,881.0
1.123,882.0
1.124,881.0
1.125,882.0
1.126,882.0
1.127,882.0
1.128,882.0
1.129,881.0
1.13,881.0
1.131,881.0
1.132,881.0
1.133,881.0
1.134,881.0
1.135,881.0
1.136,881.0
1.137,881.0
1.138,881.0
1.139,881.0
1.14,881.0
1.141,882.0
1.142,882.0
1.143,882.0
1.144,882.0
1.145,881.0
1.146,880.0
1.147,881.0
1.148,881.0
1.149,881.0
1.15,881.0
