Time,ForceReading
0.0,13.0
0.001,22.0
0.002,31.0
0.003,49.0
0.004,56.0
0.005,63.0
0.006,66.0
0.007,69.0
0.008,71.0
0.009,74.0
0.01,79.0
0.011,82.0
0.012,84.0
0.013,87.0
0.014,88.0
0.015,90.0
0.016,90.0
0.017,91.0
0.018,92.0
0.019,93.0
0.02,94.0
0.021,92.0
0.022,96.0
0.023,97.0
0.024,98.0
0.025,99.0
0.026,100.0
0.027,100.0
0.028,100.0
0.029,100.0
0.03,100.0
0.031,102.0
0.032,101.0
0.033,101.0
0.034,101.0
0.035,102.0
0.036,101.0
0.037,102.0
0.038,102.0
0.039,102.0
0.04,103.0
0.041,103.0
0.042,102.0
0.043,102.0
0.044,103.0
0.045,104.0
0.046,105.0
0.047,105.0
0.048,107.0
0.049,108.0
0.05,116.0
0.051,121.0
0.052,122.0
0.053,126.0
0.054,127.0
0.055,129.0
0.056,130.0
0.057,133.0
0.058,135.0
0.059,136.0
0.06,147.0
0.061,148.0
0.062,151.0
0.063,155.0
0.064,165.0
0.065,177.0
0.066,187.0
0.067,200.0
0.068,212.0
0.069,218.0
0.07,224.0
0.071,234.0
0.072,238.0
0.073,241.0
0.074,243.0
0.075,243.0
0.076,244.0
0.077,244.0
0.078,244.0
0.079,243.0
0.08,243.0
0.081,245.0
0.082,245.0
0.083,245.0
0.084,247.0
0.085,246.0
0.086,248.0
0.087,248.0
0.088,248.0
0.089,249.0
0.09,248.0
0.091,249.0
0.092,247.0
0.093,248.0
0.094,248.0
0.095,247.0
0.096,248.0
0.097,248.0
0.098,247.0
0.099,248.0
0.1,248.0
0.101,247.0
0.102,246.0
0.103,247.0
0.104,247.0
0.105,247.0
0.106,247.0
0.107,247.0
0.108,247.0
0.109,248.0
0.11,250.0
0.111,249.0
0.112,250.0
0.113,250.0
0.114,250.0
0.115,250.0
0.116,250.0
0.117,252.0
0.118,252.0
0.119,251.0
0.12,251.0
0.121,252.0
0.122,251.0
0.123,251.0
0.124,252.0
0.125,253.0
0.126,252.0
0.127,253.0
0.128,252.0
0.129,252.0
0.13,253.0
0.131,252.0
0.132,254.0
0.133,254.0
0.134,254.0
0.135,254.0
0.136,253.0
0.137,254.0
0.138,255.0
0.139,257.0
0.14,257.0
0.141,259.0
0.142,261.0
0.143,263.0
0.144,265.0
0.145,267.0
0.146,268.0
0.147,269.0
0.148,269.0
0.149,271.0
0.15,270.0
0.151,272.0
0.152,275.0
0.153,279.0
0.154,282.0
0.155,287.0
0.156,291.0
0.157,295.0
0.158,299.0
0.159,302.0
0.16,305.0
0.161,308.0
0.162,313.0
0.163,319.0
0.164,320.0
0.165,321.0
0.166,324.0
0.167,325.0
0.168,324.0
0.169,326.0
0.17,328.0
0.171,326.0
0.172,329.0
0.173,329.0
0.174,333.0
0.175,336.0
0.176,338.0
0.177,343.0
0.178,344.0
0.179,347.0
0.18,349.0
0.181,351.0
0.182,356.0
0.183,358.0
0.184,360.0
0.185,364.0
0.186,365.0
0.187,367.0
0.188,368.0
0.189,370.0
0.19,371.0
0.191,371.0
0.192,374.0
0.193,375.0
0.194,377.0
0.195,378.0
0.196,380.0
0.197,382.0
0.198,385.0
0.199,385.0
0.2,386.0
0.201,387.0
0.202,389.0
0.203,394.0
0.204,397.0
0.205,400.0
0.206,405.0
0.207,407.0
0.208,409.0
0.209,412.0
0.21,415.0
0.211,417.0
0.212,418.0
0.213,419.0
0.214,422.0
0.215,425.0
0.216,427.0
0.217,429.0
0.218,433.0
0.219,438.0
0.22,440.0
0.221,445.0
0.222,444.0
0.223,447.0
0.224,450.0
0.225,453.0
