Time,ForceReading
0.0,8.0
0.001,14.0
0.002,19.0
0.003,22.0
0.004,25.0
0.005,25.0
0.006,28.0
0.007,30.0
0.008,30.0
0.009,30.0
0.01,33.0
0.011,34.0
0.012,34.0
0.013,40.0
0.014,45.0
0.015,52.0
0.016,58.0
0.017,67.0
0.018,80.0
0.019,88.0
0.02,94.0
0.021,99.0
0.022,101.0
0.023,106.0
0.024,107.0
0.025,111.0
0.026,115.0
0.027,119.0
0.028,122.0
0.029,123.0
0.03,126.0
0.031,130.0
0.032,131.0
0.033,135.0
0.034,140.0
0.035,158.0
0.036,165.0
0.037,164.0
0.038,168.0
0.039,170.0
0.04,172.0
0.041,175.0
0.042,178.0
0.043,181.0
0.044,186.0
0.045,188.0
0.046,194.0
0.047,197.0
0.048,202.0
0.049,204.0
0.05,208.0
0.051,214.0
0.052,218.0
0.053,220.0
0.054,224.0
0.055,235.0
0.056,240.0
0.057,246.0
0.058,258.0
0.059,267.0
0.06,273.0
0.061,276.0
0.062,279.0
0.063,282.0
0.064,285.0
0.065,288.0
0.066,290.0
0.067,293.0
0.068,296.0
0.069,299.0
0.07,301.0
0.071,301.0
0.072,306.0
0.073,308.0
0.074,310.0
0.075,314.0
0.076,318.0
0.077,321.0
0.078,323.0
0.079,326.0
0.08,328.0
0.081,332.0
0.082,333.0
0.083,338.0
0.084,339.0
0.085,342.0
0.086,346.0
0.087,349.0
0.088,352.0
0.089,356.0
0.09,358.0
0.091,361.0
0.092,362.0
0.093,366.0
0.094,368.0
0.095,373.0
0.096,378.0
0.097,381.0
0.098,387.0
0.099,389.0
0.1,392.0
0.101,394.0
0.102,397.0
0.103,399.0
0.104,401.0
0.105,403.0
0.106,406.0
0.107,407.0
0.108,411.0
0.109,412.0
0.11,415.0
0.111,416.0
0.112,418.0
0.113,421.0
0.114,423.0
0.115,424.0
0.116,426.0
0.117,427.0
0.118,428.0
0.119,430.0
0.12,430.0
0.121,434.0
0.122,434.0
0.123,436.0
0.124,438.0
0.125,439.0
0.126,441.0
0.127,443.0
0.128,444.0
0.129,445.0
0.13,446.0
0.131,447.0
0.132,449.0
0.133,450.0
0.134,451.0
0.135,452.0
0.136,455.0
0.137,456.0
0.138,458.0
0.139,458.0
0.14,461.0
0.141,461.0
0.142,462.0
0.143,463.0
0.144,466.0
0.145,467.0
0.146,470.0
0.147,471.0
0.148,473.0
0.149,475.0
0.15,475.0
0.151,476.0
0.152,476.0
0.153,477.0
0.154,479.0
0.155,479.0
0.156,480.0
0.157,482.0
0.158,482.0
0.159,481.0
0.16,483.0
0.161,483.0
0.162,485.0
0.163,486.0
0.164,486.0
0.165,488.0
0.166,488.0
0.167,490.0
0.168,490.0
0.169,492.0
0.17,493.0
0.171,494.0
0.172,493.0
0.173,495.0
0.174,495.0
0.175,496.0
0.176,497.0
0.177,497.0
0.178,498.0
0.179,497.0
0.18,500.0
0.181,500.0
0.182,501.0
0.183,500.0
0.184,502.0
0.185,502.0
0.186,503.0
0.187,503.0
0.188,506.0
0.189,504.0
0.19,505.0
0.191,507.0
0.192,509.0
0.193,509.0
0.194,508.0
0.195,509.0
0.196,510.0
0.197,510.0
0.198,510.0
0.199,512.0
0.2,512.0
0.201,513.0
0.202,513.0
0.203,513.0
0.204,515.0
0.205,515.0
0.206,517.0
0.207,518.0
0.208,517.0
0.209,518.0
0.21,520.0
0.211,520.0
0.212,522.0
0.213,523.0
0.214,523.0
0.215,524.0
0.216,524.0
0.217,526.0
0.218,526.0
0.219,527.0
0.22,527.0
0.221,529.0
0.222,530.0
0.223,531.0
0.224,532.0
0.225,532.0
0.226,533.0
0.227,535.0
0.228,535.0
0.229,536.0
0.23,539.0
0.231,541.0
0.232,541.0
0.233,542.0
0.234,543.0
0.235,544.0
0.236,543.0
0.237,544.0
0.238,546.0
0.239,547.0
0.24,547.0
0.241,548.0
0.242,548.0
0.243,549.0
0.244,551.0
0.245,551.0
0.246,552.0
0.247,553.0
0.248,553.0
0.249,555.0
0.25,555.0
0.251,556.0
0.252,557.0
0.253,559.0
0.254,560.0
0.255,560.0
0.256,560.0
0.257,561.0
0.258,561.0
0.259,563.0
0.26,562.0
0.261,563.0
0.262,566.0
0.263,565.0
0.264,566.0
0.265,568.0
0.266,569.0
0.267,571.0
0.268,572.0
0.269,573.0
0.27,574.0
0.271,576.0
0.272,576.0
0.273,577.0
0.274,579.0
0.275,580.0
0.276,581.0
0.277,583.0
0.278,583.0
0.279,584.0
0.28,584.0
0.281,586.0
0.282,588.0
0.283,588.0
0.284,589.0
0.285,591.0
0.286,591.0
0.287,594.0
0.288,595.0
0.289,595.0
0.29,596.0
0.291,597.0
0.292,599.0
0.293,599.0
0.294,601.0
0.295,602.0
0.296,603.0
0.297,604.0
0.298,605.0
0.299,605.0
0.3,605.0
0.301,606.0
0.302,607.0
0.303,607.0
0.304,609.0
0.305,609.0
0.306,611.0
0.307,609.0
0.308,611.0
0.309,611.0
0.31,612.0
0.311,613.0
0.312,612.0
0.313,614.0
0.314,614.0
0.315,615.0
0.316,615.0
0.317,618.0
0.318,617.0
0.319,618.0
0.32,618.0
0.321,619.0
0.322,619.0
0.323,620.0
0.324,621.0
0.325,621.0
0.326,622.0
0.327,621.0
0.328,621.0
0.329,623.0
0.33,622.0
0.331,621.0
0.332,623.0
0.333,623.0
0.334,623.0
0.335,624.0
0.336,625.0
0.337,625.0
0.338,625.0
0.339,624.0
0.34,625.0
0.341,626.0
0.342,627.0
0.343,626.0
0.344,627.0
0.345,627.0
0.346,627.0
0.347,629.0
0.348,630.0
0.349,629.0
0.35,629.0
0.351,631.0
0.352,630.0
0.353,630.0
0.354,629.0
0.355,629.0
0.356,631.0
0.357,631.0
0.358,632.0
0.359,631.0
0.36,631.0
0.361,631.0
0.362,631.0
0.363,633.0
0.364,632.0
0.365,633.0
0.366,633.0
0.367,634.0
0.368,633.0
0.369,634.0
0.37,635.0
0.371,635.0
0.372,635.0
0.373,635.0
0.374,635.0
0.375,636.0
0.376,635.0
0.377,637.0
0.378,636.0
0.379,636.0
0.38,636.0
0.381,637.0
0.382,636.0
0.383,636.0
0.384,638.0
0.385,637.0
0.386,637.0
0.387,637.0
0.388,637.0
0.389,637.0
0.39,638.0
0.391,639.0
0.392,638.0
0.393,639.0
0.394,639.0
0.395,638.0
0.396,639.0
0.397,640.0
0.398,638.0
0.399,638.0
0.4,640.0
0.401,638.0
0.402,640.0
0.403,640.0
0.404,640.0
0.405,641.0
0.406,640.0
0.407,639.0
0.408,640.0
0.409,640.0
0.41,640.0
0.411,640.0
0.412,641.0
0.413,641.0
0.414,641.0
0.415,642.0
0.416,642.0
0.417,641.0
0.418,641.0
0.419,640.0
0.42,641.0
0.421,641.0
0.422,643.0
0.423,642.0
0.424,642.0
0.425,642.0
0.426,643.0
0.427,642.0
0.428,642.0
0.429,642.0
0.43,642.0
0.431,643.0
0.432,642.0
0.433,643.0
0.434,644.0
0.435,644.0
0.436,644.0
0.437,644.0
0.438,642.0
0.439,642.0
0.44,643.0
0.441,643.0
0.442,643.0
0.443,643.0
0.444,645.0
0.445,643.0
0.446,644.0
0.447,645.0
0.448,644.0
0.449,644.0
0.45,645.0
0.451,644.0
0.452,644.0
0.453,645.0
0.454,644.0
0.455,645.0
0.456,645.0
0.457,644.0
0.458,646.0
0.459,645.0
0.46,646.0
0.461,644.0
0.462,645.0
0.463,646.0
0.464,646.0
0.465,647.0
0.466,646.0
0.467,647.0
0.468,647.0
0.469,646.0
0.47,647.0
0.471,647.0
0.472,647.0
0.473,648.0
0.474,647.0
0.475,647.0
0.476,649.0
0.477,647.0
0.478,648.0
0.479,647.0
0.48,648.0
0.481,649.0
0.482,649.0
0.483,648.0
0.484,648.0
0.485,648.0
0.486,650.0
0.487,649.0
0.488,650.0
0.489,650.0
0.49,649.0
0.491,650.0
0.492,650.0
0.493,650.0
0.494,650.0
0.495,651.0
0.496,651.0
0.497,651.0
0.498,650.0
0.499,651.0
0.5,651.0
0.501,652.0
0.502,652.0
0.503,652.0
0.504,653.0
0.505,652.0
0.506,652.0
0.507,654.0
0.508,653.0
0.509,653.0
0.51,653.0
0.511,654.0
0.512,654.0
0.513,655.0
0.514,654.0
0.515,655.0
0.516,655.0
0.517,655.0
0.518,654.0
0.519,655.0
0.52,655.0
0.521,654.0
0.522,656.0
0.523,655.0
0.524,655.0
0.525,656.0
0.526,656.0
0.527,657.0
0.528,656.0
0.529,656.0
0.53,658.0
0.531,658.0
0.532,657.0
0.533,658.0
0.534,658.0
0.535,658.0
0.536,658.0
0.537,657.0
0.538,659.0
0.539,658.0
0.54,657.0
0.541,659.0
0.542,659.0
0.543,658.0
0.544,659.0
0.545,658.0
0.546,659.0
0.547,660.0
0.548,660.0
0.549,660.0
0.55,659.0
0.551,659.0
0.552,660.0
0.553,659.0
0.554,660.0
0.555,660.0
0.556,660.0
0.557,660.0
0.558,661.0
0.559,661.0
0.56,662.0
0.561,662.0
0.562,661.0
0.563,662.0
0.564,661.0
0.565,663.0
0.566,661.0
0.567,662.0
0.568,662.0
0.569,663.0
0.57,663.0
0.571,664.0
0.572,663.0
0.573,665.0
0.574,663.0
0.575,664.0
