Time,ForceReading
0.0,34.0
0.001,41.0
0.002,49.0
0.003,50.0
0.004,52.0
0.005,53.0
0.006,56.0
0.007,73.0
0.008,76.0
0.009,83.0
0.01,89.0
0.011,96.0
0.012,105.0
0.013,110.0
0.014,115.0
0.015,123.0
0.016,132.0
0.017,137.0
0.018,138.0
0.019,139.0
0.02,136.0
0.021,126.0
0.022,124.0
0.023,122.0
0.024,118.0
0.025,121.0
0.026,122.0
0.027,124.0
0.028,124.0
0.029,126.0
0.03,128.0
0.031,136.0
0.032,138.0
0.033,141.0
0.034,141.0
0.035,139.0
0.036,134.0
0.037,130.0
0.038,126.0
0.039,127.0
0.04,126.0
0.041,128.0
0.042,128.0
0.043,131.0
0.044,130.0
0.045,134.0
0.046,135.0
0.047,135.0
0.048,136.0
0.049,135.0
0.05,136.0
0.051,136.0
0.052,136.0
0.053,135.0
0.054,136.0
0.055,137.0
0.056,136.0
0.057,136.0
0.058,135.0
0.059,137.0
0.06,140.0
0.061,142.0
0.062,140.0
0.063,142.0
0.064,143.0
0.065,143.0
0.066,145.0
0.067,145.0
0.068,146.0
0.069,145.0
0.07,143.0
0.071,144.0
0.072,141.0
0.073,143.0
0.074,142.0
0.075,145.0
0.076,145.0
0.077,146.0
0.078,146.0
0.079,149.0
0.08,148.0
0.081,152.0
0.082,156.0
0.083,158.0
0.084,163.0
0.085,170.0
0.086,171.0
0.087,176.0
0.088,183.0
0.089,186.0
0.09,194.0
0.091,196.0
0.092,203.0
0.093,208.0
0.094,208.0
0.095,210.0
0.096,214.0
0.097,218.0
0.098,218.0
0.099,219.0
0.1,219.0
0.101,219.0
0.102,220.0
0.103,221.0
0.104,224.0
0.105,225.0
0.106,225.0
0.107,229.0
0.108,234.0
0.109,237.0
0.11,237.0
0.111,239.0
0.112,242.0
0.113,256.0
0.114,278.0
0.115,290.0
0.116,300.0
0.117,305.0
0.118,312.0
0.119,318.0
0.12,327.0
0.121,337.0
0.122,344.0
0.123,353.0
0.124,361.0
0.125,368.0
0.126,371.0
0.127,375.0
0.128,383.0
0.129,386.0
0.13,393.0
0.131,399.0
0.132,405.0
0.133,414.0
0.134,422.0
0.135,431.0
0.136,438.0
0.137,444.0
0.138,450.0
0.139,454.0
0.14,459.0
0.141,466.0
0.142,469.0
0.143,473.0
0.144,478.0
0.145,481.0
0.146,485.0
0.147,487.0
0.148,490.0
0.149,494.0
0.15,498.0
0.151,503.0
0.152,507.0
0.153,511.0
0.154,515.0
0.155,521.0
0.156,526.0
0.157,529.0
0.158,533.0
0.159,538.0
0.16,543.0
0.161,548.0
0.162,552.0
0.163,557.0
0.164,561.0
0.165,563.0
0.166,568.0
0.167,575.0
0.168,578.0
0.169,581.0
0.17,586.0
0.171,590.0
0.172,594.0
0.173,596.0
0.174,599.0
0.175,602.0
0.176,607.0
0.177,612.0
0.178,613.0
0.179,618.0
0.18,619.0
0.181,623.0
0.182,626.0
0.183,629.0
0.184,633.0
0.185,636.0
0.186,640.0
0.187,640.0
0.188,645.0
0.189,649.0
0.19,652.0
0.191,655.0
0.192,656.0
0.193,659.0
0.194,660.0
0.195,664.0
0.196,665.0
0.197,669.0
0.198,671.0
0.199,673.0
0.2,675.0
0.201,678.0
0.202,679.0
0.203,681.0
0.204,684.0
0.205,686.0
0.206,687.0
0.207,690.0
0.208,691.0
0.209,694.0
0.21,697.0
0.211,698.0
0.212,700.0
0.213,703.0
0.214,705.0
0.215,708.0
0.216,710.0
0.217,712.0
0.218,715.0
0.219,718.0
0.22,719.0
0.221,720.0
0.222,724.0
0.223,723.0
0.224,726.0
0.225,728.0
0.226,729.0
0.227,730.0
0.228,732.0
0.229,736.0
0.23,736.0
0.231,737.0
0.232,740.0
0.233,742.0
0.234,742.0
0.235,743.0
0.236,745.0
0.237,745.0
0.238,747.0
0.239,748.0
0.24,751.0
0.241,752.0
0.242,754.0
0.243,756.0
0.244,756.0
0.245,757.0
0.246,758.0
0.247,761.0
0.248,761.0
0.249,762.0
0.25,764.0
0.251,765.0
0.252,765.0
0.253,765.0
0.254,766.0
0.255,766.0
0.256,768.0
0.257,769.0
0.258,770.0
0.259,771.0
0.26,773.0
0.261,774.0
0.262,776.0
0.263,776.0
0.264,777.0
0.265,780.0
0.266,780.0
0.267,779.0
0.268,781.0
0.269,781.0
0.27,784.0
0.271,784.0
0.272,784.0
0.273,784.0
0.274,787.0
0.275,787.0
0.276,789.0
0.277,789.0
0.278,789.0
0.279,791.0
0.28,792.0
0.281,791.0
0.282,793.0
0.283,793.0
0.284,794.0
0.285,795.0
0.286,795.0
0.287,797.0
0.288,797.0
0.289,799.0
0.29,799.0
0.291,799.0
0.292,800.0
0.293,801.0
0.294,801.0
0.295,802.0
0.296,805.0
0.297,805.0
0.298,807.0
0.299,809.0
0.3,809.0
0.301,810.0
0.302,811.0
0.303,812.0
0.304,812.0
0.305,814.0
0.306,814.0
0.307,814.0
0.308,814.0
0.309,815.0
0.31,816.0
0.311,817.0
0.312,817.0
0.313,819.0
0.314,820.0
0.315,820.0
0.316,821.0
0.317,824.0
0.318,824.0
0.319,824.0
0.32,825.0
0.321,827.0
0.322,827.0
0.323,828.0
0.324,829.0
0.325,828.0
0.326,830.0
0.327,830.0
0.328,831.0
0.329,833.0
0.33,832.0
0.331,835.0
0.332,835.0
0.333,835.0
0.334,834.0
0.335,835.0
0.336,836.0
0.337,836.0
0.338,837.0
0.339,839.0
0.34,839.0
0.341,838.0
0.342,839.0
0.343,838.0
0.344,840.0
0.345,840.0
0.346,840.0
0.347,841.0
