Time,ForceReading
0.0,6.0
0.001,16.0
0.002,19.0
0.003,23.0
0.004,23.0
0.005,26.0
0.006,26.0
0.007,25.0
0.008,26.0
0.009,26.0
0.01,26.0
0.011,26.0
0.012,28.0
0.013,28.0
0.014,30.0
0.015,33.0
0.016,34.0
0.017,36.0
0.018,36.0
0.019,37.0
0.02,36.0
0.021,37.0
0.022,37.0
0.023,38.0
0.024,45.0
0.025,45.0
0.026,46.0
0.027,48.0
0.028,55.0
0.029,59.0
0.03,63.0
0.031,66.0
0.032,68.0
0.033,70.0
0.034,75.0
0.035,79.0
0.036,82.0
0.037,85.0
0.038,85.0
0.039,87.0
0.04,89.0
0.041,91.0
0.042,94.0
0.043,97.0
0.044,100.0
0.045,103.0
0.046,105.0
0.047,105.0
0.048,107.0
0.049,107.0
0.05,107.0
0.051,107.0
0.052,107.0
0.053,107.0
0.054,108.0
0.055,106.0
0.056,106.0
0.057,105.0
0.058,106.0
0.059,106.0
0.06,107.0
0.061,107.0
0.062,108.0
0.063,108.0
0.064,108.0
0.065,109.0
0.066,109.0
0.067,109.0
0.068,109.0
0.069,109.0
0.07,108.0
0.071,107.0
0.072,108.0
0.073,107.0
0.074,107.0
0.075,108.0
0.076,107.0
0.077,107.0
0.078,107.0
0.079,107.0
0.08,107.0
0.081,107.0
0.082,108.0
0.083,107.0
0.084,108.0
0.085,108.0
0.086,108.0
0.087,108.0
0.088,107.0
0.089,108.0
0.09,107.0
0.091,108.0
0.092,107.0
0.093,107.0
0.094,107.0
0.095,107.0
0.096,107.0
0.097,107.0
0.098,106.0
0.099,107.0
0.1,107.0
0.101,108.0
0.102,107.0
0.103,108.0
0.104,108.0
0.105,109.0
0.106,109.0
0.107,109.0
0.108,109.0
0.109,110.0
0.11,110.0
0.111,110.0
0.112,109.0
0.113,109.0
0.114,110.0
0.115,109.0
0.116,109.0
0.117,111.0
0.118,108.0
0.119,110.0
0.12,111.0
0.121,110.0
0.122,111.0
0.123,112.0
0.124,112.0
0.125,111.0
0.126,113.0
0.127,112.0
0.128,113.0
0.129,114.0
0.13,115.0
0.131,115.0
0.132,117.0
0.133,119.0
0.134,128.0
0.135,136.0
0.136,146.0
0.137,152.0
0.138,162.0
0.139,172.0
0.14,181.0
0.141,187.0
0.142,193.0
0.143,205.0
0.144,209.0
0.145,212.0
0.146,214.0
0.147,216.0
0.148,218.0
0.149,220.0
0.15,223.0
0.151,228.0
0.152,235.0
0.153,243.0
0.154,250.0
0.155,258.0
0.156,266.0
0.157,273.0
0.158,279.0
0.159,288.0
0.16,295.0
0.161,303.0
0.162,312.0
0.163,325.0
0.164,334.0
0.165,341.0
0.166,347.0
0.167,352.0
0.168,355.0
0.169,361.0
0.17,367.0
0.171,377.0
0.172,385.0
0.173,394.0
0.174,403.0
0.175,416.0
0.176,424.0
0.177,432.0
0.178,437.0
0.179,446.0
0.18,455.0
0.181,464.0
0.182,469.0
0.183,476.0
0.184,479.0
0.185,482.0
0.186,486.0
0.187,491.0
0.188,494.0
0.189,497.0
0.19,501.0
0.191,506.0
0.192,509.0
0.193,513.0
0.194,515.0
0.195,521.0
0.196,525.0
0.197,530.0
0.198,533.0
0.199,537.0
0.2,541.0
0.201,542.0
0.202,546.0
0.203,551.0
0.204,556.0
0.205,564.0
0.206,571.0
0.207,573.0
0.208,579.0
0.209,582.0
0.21,586.0
0.211,589.0
0.212,592.0
0.213,595.0
0.214,598.0
0.215,602.0
0.216,608.0
0.217,611.0
0.218,614.0
0.219,617.0
0.22,622.0
0.221,626.0
0.222,630.0
0.223,631.0
0.224,633.0
0.225,636.0
0.226,638.0
0.227,640.0
0.228,643.0
0.229,645.0
0.23,648.0
0.231,649.0
0.232,652.0
0.233,655.0
0.234,656.0
0.235,659.0
0.236,661.0
0.237,665.0
0.238,667.0
0.239,670.0
0.24,673.0
0.241,675.0
0.242,678.0
0.243,680.0
0.244,682.0
0.245,686.0
0.246,687.0
0.247,689.0
0.248,691.0
