Time,ForceReading
0.0,35.0
0.001,45.0
0.002,52.0
0.003,58.0
0.004,64.0
0.005,67.0
0.006,70.0
0.007,75.0
0.008,77.0
0.009,79.0
0.01,85.0
0.011,102.0
0.012,113.0
0.013,128.0
0.014,138.0
0.015,154.0
0.016,169.0
0.017,176.0
0.018,185.0
0.019,190.0
0.02,194.0
0.021,200.0
0.022,204.0
0.023,207.0
0.024,212.0
0.025,219.0
0.026,228.0
0.027,237.0
0.028,244.0
0.029,250.0
0.03,254.0
0.031,258.0
0.032,261.0
0.033,265.0
0.034,267.0
0.035,272.0
0.036,273.0
0.037,278.0
0.038,278.0
0.039,280.0
0.04,281.0
0.041,282.0
0.042,286.0
0.043,288.0
0.044,294.0
0.045,297.0
0.046,302.0
0.047,305.0
0.048,311.0
0.049,315.0
0.05,318.0
0.051,321.0
0.052,325.0
0.053,329.0
0.054,334.0
0.055,338.0
0.056,341.0
0.057,344.0
0.058,346.0
0.059,348.0
0.06,353.0
0.061,357.0
0.062,362.0
0.063,365.0
0.064,369.0
0.065,374.0
0.066,377.0
0.067,383.0
0.068,388.0
0.069,397.0
0.07,406.0
0.071,412.0
0.072,415.0
0.073,416.0
0.074,418.0
0.075,420.0
0.076,420.0
0.077,421.0
0.078,421.0
0.079,421.0
0.08,419.0
0.081,419.0
0.082,420.0
0.083,418.0
0.084,419.0
0.085,420.0
0.086,422.0
0.087,421.0
0.088,424.0
0.089,424.0
0.09,424.0
0.091,425.0
0.092,424.0
0.093,426.0
0.094,425.0
0.095,425.0
0.096,425.0
0.097,425.0
0.098,426.0
0.099,427.0
0.1,426.0
0.101,427.0
0.102,428.0
0.103,427.0
0.104,427.0
0.105,428.0
0.106,429.0
0.107,427.0
0.108,428.0
0.109,428.0
0.11,429.0
0.111,429.0
0.112,428.0
0.113,429.0
0.114,427.0
0.115,428.0
0.116,428.0
0.117,429.0
0.118,428.0
0.119,429.0
0.12,430.0
0.121,431.0
0.122,431.0
0.123,432.0
0.124,431.0
0.125,432.0
0.126,432.0
0.127,433.0
0.128,435.0
0.129,434.0
0.13,434.0
0.131,434.0
0.132,434.0
0.133,434.0
0.134,434.0
0.135,435.0
0.136,434.0
0.137,435.0
0.138,435.0
0.139,436.0
0.14,437.0
0.141,437.0
0.142,438.0
0.143,438.0
0.144,441.0
0.145,441.0
0.146,444.0
0.147,447.0
0.148,450.0
0.149,452.0
0.15,457.0
0.151,459.0
0.152,461.0
0.153,466.0
0.154,466.0
0.155,470.0
0.156,473.0
0.157,474.0
0.158,475.0
0.159,476.0
0.16,476.0
0.161,477.0
0.162,478.0
0.163,479.0
0.164,480.0
0.165,481.0
0.166,484.0
0.167,485.0
0.168,490.0
0.169,493.0
0.17,496.0
0.171,499.0
0.172,500.0
0.173,502.0
0.174,503.0
0.175,505.0
0.176,508.0
0.177,510.0
0.178,512.0
0.179,514.0
0.18,517.0
0.181,523.0
0.182,533.0
0.183,543.0
0.184,551.0
0.185,556.0
0.186,559.0
0.187,564.0
0.188,568.0
0.189,571.0
0.19,576.0
0.191,581.0
0.192,587.0
0.193,591.0
0.194,595.0
0.195,598.0
0.196,600.0
0.197,604.0
0.198,605.0
0.199,607.0
0.2,611.0
0.201,613.0
0.202,617.0
0.203,618.0
0.204,621.0
0.205,622.0
0.206,625.0
0.207,630.0
0.208,633.0
0.209,640.0
0.21,644.0
0.211,647.0
0.212,650.0
0.213,652.0
0.214,656.0
0.215,659.0
0.216,663.0
0.217,666.0
0.218,670.0
0.219,673.0
0.22,677.0
0.221,682.0
0.222,683.0
0.223,686.0
0.224,690.0
0.225,694.0
0.226,694.0
0.227,697.0
0.228,700.0
0.229,703.0
0.23,704.0
0.231,705.0
0.232,706.0
0.233,709.0
0.234,709.0
0.235,711.0
0.236,713.0
0.237,714.0
0.238,716.0
0.239,718.0
0.24,719.0
0.241,722.0
0.242,722.0
0.243,724.0
0.244,726.0
0.245,728.0
0.246,729.0
0.247,730.0
0.248,733.0
0.249,733.0
0.25,736.0
0.251,739.0
0.252,739.0
0.253,739.0
0.254,742.0
0.255,743.0
0.256,744.0
0.257,746.0
0.258,748.0
0.259,750.0
0.26,750.0
0.261,753.0
0.262,755.0
0.263,755.0
0.264,756.0
0.265,759.0
0.266,758.0
0.267,761.0
0.268,761.0
0.269,762.0
0.27,763.0
0.271,764.0
0.272,766.0
0.273,766.0
0.274,767.0
0.275,768.0
0.276,770.0
0.277,771.0
0.278,773.0
0.279,774.0
0.28,776.0
0.281,778.0
0.282,778.0
0.283,780.0
0.284,781.0
0.285,782.0
0.286,782.0
0.287,784.0
0.288,786.0
0.289,786.0
0.29,787.0
0.291,789.0
0.292,789.0
0.293,790.0
