Time,ForceReading
0.0,19.0
0.001,41.0
0.002,78.0
0.003,98.0
0.004,109.0
0.005,119.0
0.006,129.0
0.007,141.0
0.008,150.0
0.009,161.0
0.01,175.0
0.011,189.0
0.012,203.0
0.013,217.0
0.014,225.0
0.015,231.0
0.016,235.0
0.017,237.0
0.018,239.0
0.019,241.0
0.02,246.0
0.021,255.0
0.022,260.0
0.023,264.0
0.024,271.0
0.025,285.0
0.026,291.0
0.027,301.0
0.028,307.0
0.029,314.0
0.03,319.0
0.031,322.0
0.032,324.0
0.033,324.0
0.034,324.0
0.035,323.0
0.036,324.0
0.037,325.0
0.038,325.0
0.039,325.0
0.04,328.0
0.041,332.0
0.042,338.0
0.043,342.0
0.044,347.0
0.045,350.0
0.046,354.0
0.047,357.0
0.048,358.0
0.049,361.0
0.05,363.0
0.051,366.0
0.052,368.0
0.053,369.0
0.054,369.0
0.055,371.0
0.056,373.0
0.057,375.0
0.058,376.0
0.059,378.0
0.06,381.0
0.061,385.0
0.062,389.0
0.063,392.0
0.064,394.0
0.065,399.0
0.066,404.0
0.067,408.0
0.068,416.0
0.069,425.0
0.07,430.0
0.071,435.0
0.072,441.0
0.073,444.0
0.074,447.0
0.075,450.0
0.076,451.0
0.077,449.0
0.078,447.0
0.079,444.0
0.08,444.0
0.081,443.0
0.082,443.0
0.083,444.0
0.084,444.0
0.085,447.0
0.086,447.0
0.087,450.0
0.088,450.0
0.089,449.0
0.09,451.0
0.091,450.0
0.092,451.0
0.093,450.0
0.094,450.0
0.095,450.0
0.096,450.0
0.097,451.0
0.098,449.0
0.099,450.0
0.1,451.0
0.101,450.0
0.102,450.0
0.103,451.0
0.104,451.0
0.105,451.0
0.106,451.0
0.107,452.0
0.108,450.0
0.109,451.0
0.11,451.0
0.111,452.0
0.112,452.0
0.113,452.0
0.114,453.0
0.115,453.0
0.116,453.0
0.117,453.0
0.118,454.0
0.119,454.0
0.12,454.0
0.121,455.0
0.122,455.0
0.123,456.0
0.124,456.0
0.125,456.0
0.126,456.0
0.127,455.0
0.128,455.0
0.129,456.0
0.13,456.0
0.131,456.0
0.132,456.0
0.133,457.0
0.134,457.0
0.135,457.0
0.136,458.0
0.137,458.0
0.138,457.0
0.139,457.0
0.14,459.0
0.141,458.0
0.142,459.0
0.143,461.0
0.144,460.0
0.145,461.0
0.146,461.0
0.147,463.0
0.148,463.0
0.149,464.0
0.15,464.0
0.151,466.0
