Time,ForceReading
0.0,7.0
0.001,20.0
0.002,35.0
0.003,41.0
0.004,46.0
0.005,51.0
0.006,53.0
0.007,54.0
0.008,54.0
0.009,54.0
0.01,55.0
0.011,53.0
0.012,52.0
0.013,52.0
0.014,52.0
0.015,49.0
0.016,48.0
0.017,46.0
0.018,45.0
0.019,46.0
0.02,46.0
0.021,46.0
0.022,46.0
0.023,47.0
0.024,48.0
0.025,52.0
0.026,53.0
0.027,56.0
0.028,58.0
0.029,58.0
0.03,59.0
0.031,59.0
0.032,60.0
0.033,60.0
0.034,60.0
0.035,61.0
0.036,61.0
0.037,60.0
0.038,60.0
0.039,63.0
0.04,61.0
0.041,61.0
0.042,61.0
0.043,60.0
0.044,60.0
0.045,60.0
0.046,61.0
0.047,61.0
0.048,61.0
0.049,60.0
0.05,62.0
0.051,61.0
0.052,63.0
0.053,63.0
0.054,62.0
0.055,63.0
0.056,64.0
0.057,70.0
0.058,71.0
0.059,72.0
0.06,70.0
0.061,78.0
0.062,85.0
0.063,89.0
0.064,91.0
0.065,95.0
0.066,98.0
0.067,101.0
0.068,104.0
0.069,103.0
0.07,106.0
0.071,107.0
0.072,107.0
0.073,108.0
0.074,109.0
0.075,109.0
0.076,110.0
0.077,106.0
0.078,110.0
0.079,110.0
0.08,111.0
0.081,111.0
0.082,111.0
0.083,113.0
0.084,112.0
0.085,112.0
0.086,113.0
0.087,115.0
0.088,116.0
0.089,116.0
0.09,120.0
0.091,120.0
0.092,125.0
0.093,129.0
0.094,135.0
0.095,141.0
0.096,146.0
0.097,149.0
0.098,160.0
0.099,167.0
0.1,179.0
0.101,188.0
0.102,204.0
0.103,215.0
0.104,225.0
0.105,242.0
0.106,247.0
0.107,262.0
0.108,275.0
0.109,284.0
0.11,292.0
0.111,305.0
0.112,320.0
0.113,332.0
0.114,346.0
0.115,356.0
0.116,362.0
0.117,372.0
0.118,383.0
0.119,395.0
0.12,412.0
0.121,424.0
0.122,436.0
0.123,443.0
0.124,450.0
0.125,459.0
0.126,466.0
0.127,472.0
0.128,477.0
0.129,483.0
0.13,494.0
0.131,500.0
0.132,506.0
