Time,ForceReading
0.0,8.0
0.001,18.0
0.002,22.0
0.003,24.0
0.004,24.0
0.005,27.0
0.006,39.0
0.007,45.0
0.008,47.0
0.009,51.0
0.01,57.0
0.011,61.0
0.012,63.0
0.013,66.0
0.014,68.0
0.015,67.0
0.016,73.0
0.017,74.0
0.018,77.0
0.019,76.0
0.02,78.0
0.021,79.0
0.022,79.0
0.023,80.0
0.024,80.0
0.025,81.0
0.026,82.0
0.027,81.0
0.028,88.0
0.029,88.0
0.03,88.0
0.031,88.0
0.032,86.0
0.033,87.0
0.034,86.0
0.035,86.0
0.036,86.0
0.037,87.0
0.038,85.0
0.039,85.0
0.04,83.0
0.041,83.0
0.042,82.0
0.043,83.0
0.044,83.0
0.045,83.0
0.046,83.0
0.047,87.0
0.048,87.0
0.049,90.0
0.05,91.0
0.051,90.0
0.052,91.0
0.053,90.0
0.054,90.0
0.055,91.0
0.056,87.0
0.057,89.0
0.058,91.0
0.059,89.0
0.06,90.0
0.061,90.0
0.062,91.0
0.063,90.0
0.064,92.0
0.065,92.0
0.066,92.0
0.067,92.0
0.068,94.0
0.069,90.0
0.07,91.0
0.071,92.0
0.072,92.0
0.073,92.0
0.074,93.0
0.075,93.0
0.076,90.0
0.077,92.0
0.078,92.0
0.079,91.0
0.08,91.0
0.081,94.0
0.082,94.0
0.083,93.0
0.084,94.0
0.085,95.0
0.086,97.0
0.087,96.0
0.088,98.0
0.089,98.0
0.09,98.0
0.091,98.0
0.092,99.0
0.093,98.0
0.094,99.0
0.095,99.0
0.096,99.0
0.097,98.0
0.098,103.0
0.099,100.0
0.1,101.0
0.101,102.0
0.102,103.0
0.103,105.0
0.104,108.0
0.105,108.0
0.106,110.0
0.107,111.0
0.108,113.0
0.109,117.0
0.11,118.0
0.111,119.0
0.112,123.0
0.113,125.0
0.114,128.0
0.115,130.0
0.116,134.0
0.117,135.0
0.118,135.0
0.119,138.0
0.12,139.0
0.121,140.0
0.122,141.0
0.123,153.0
0.124,158.0
0.125,163.0
0.126,169.0
0.127,175.0
0.128,181.0
0.129,192.0
0.13,196.0
0.131,201.0
0.132,209.0
0.133,212.0
0.134,217.0
0.135,230.0
0.136,244.0
0.137,247.0
0.138,255.0
0.139,259.0
0.14,261.0
0.141,262.0
0.142,264.0
0.143,265.0
0.144,269.0
0.145,275.0
0.146,281.0
0.147,289.0
0.148,297.0
0.149,305.0
0.15,308.0
0.151,312.0
0.152,315.0
0.153,319.0
0.154,320.0
0.155,322.0
0.156,326.0
0.157,330.0
0.158,341.0
0.159,347.0
0.16,352.0
0.161,363.0
0.162,375.0
0.163,382.0
0.164,388.0
0.165,392.0
0.166,396.0
0.167,399.0
0.168,401.0
0.169,405.0
0.17,405.0
0.171,407.0
0.172,409.0
0.173,409.0
0.174,412.0
0.175,413.0
0.176,415.0
0.177,419.0
0.178,419.0
0.179,420.0
0.18,422.0
0.181,423.0
0.182,424.0
0.183,426.0
0.184,428.0
0.185,431.0
0.186,434.0
0.187,438.0
0.188,441.0
0.189,444.0
0.19,446.0
0.191,449.0
0.192,452.0
0.193,455.0
0.194,457.0
0.195,467.0
0.196,473.0
0.197,478.0
0.198,482.0
0.199,484.0
0.2,488.0
0.201,492.0
0.202,494.0
0.203,498.0
0.204,502.0
0.205,509.0
0.206,514.0
0.207,518.0
0.208,523.0
0.209,526.0
0.21,533.0
0.211,536.0
0.212,540.0
0.213,543.0
0.214,547.0
0.215,551.0
0.216,553.0
0.217,557.0
0.218,560.0
0.219,562.0
0.22,566.0
0.221,568.0
0.222,571.0
0.223,575.0
0.224,577.0
0.225,579.0
0.226,583.0
0.227,584.0
0.228,586.0
0.229,587.0
0.23,590.0
0.231,592.0
0.232,593.0
0.233,595.0
0.234,597.0
0.235,598.0
0.236,598.0
0.237,602.0
0.238,601.0
0.239,602.0
0.24,603.0
0.241,604.0
0.242,606.0
0.243,607.0
0.244,607.0
0.245,609.0
0.246,611.0
0.247,613.0
0.248,614.0
0.249,617.0
0.25,618.0
0.251,618.0
0.252,620.0
0.253,620.0
0.254,621.0
0.255,621.0
0.256,623.0
0.257,623.0
0.258,625.0
0.259,626.0
0.26,628.0
0.261,628.0
0.262,629.0
0.263,629.0
0.264,630.0
0.265,631.0
0.266,633.0
0.267,633.0
0.268,637.0
0.269,636.0
0.27,638.0
0.271,638.0
0.272,639.0
0.273,640.0
0.274,641.0
0.275,642.0
0.276,643.0
0.277,644.0
0.278,646.0
0.279,647.0
0.28,649.0
0.281,650.0
0.282,652.0
0.283,653.0
0.284,655.0
0.285,655.0
0.286,657.0
0.287,658.0
0.288,658.0
0.289,659.0
0.29,660.0
0.291,659.0
0.292,660.0
0.293,662.0
0.294,663.0
0.295,663.0
0.296,663.0
0.297,664.0
0.298,665.0
0.299,666.0
0.3,668.0
0.301,667.0
0.302,668.0
0.303,670.0
0.304,671.0
0.305,671.0
0.306,672.0
0.307,673.0
0.308,673.0
0.309,674.0
0.31,675.0
0.311,675.0
0.312,676.0
0.313,677.0
0.314,677.0
0.315,678.0
0.316,678.0
0.317,678.0
0.318,679.0
0.319,678.0
0.32,680.0
0.321,680.0
0.322,681.0
0.323,682.0
0.324,683.0
0.325,684.0
0.326,683.0
0.327,684.0
0.328,686.0
0.329,686.0
0.33,686.0
0.331,688.0
0.332,688.0
0.333,689.0
0.334,689.0
0.335,690.0
0.336,690.0
0.337,691.0
0.338,691.0
0.339,691.0
0.34,691.0
0.341,692.0
0.342,691.0
0.343,691.0
0.344,692.0
0.345,692.0
0.346,694.0
0.347,694.0
0.348,695.0
0.349,695.0
0.35,695.0
0.351,696.0
0.352,696.0
0.353,697.0
0.354,698.0
0.355,697.0
0.356,699.0
0.357,698.0
0.358,699.0
0.359,701.0
0.36,700.0
0.361,701.0
0.362,701.0
0.363,702.0
0.364,702.0
0.365,704.0
0.366,704.0
0.367,703.0
0.368,705.0
0.369,705.0
0.37,706.0
0.371,706.0
0.372,706.0
0.373,707.0
0.374,708.0
0.375,708.0
0.376,708.0
0.377,710.0
0.378,710.0
0.379,710.0
0.38,711.0
0.381,712.0
0.382,712.0
0.383,713.0
0.384,715.0
0.385,715.0
0.386,717.0
0.387,717.0
0.388,718.0
0.389,717.0
0.39,717.0
0.391,718.0
0.392,718.0
0.393,719.0
0.394,718.0
0.395,719.0
0.396,719.0
0.397,720.0
0.398,720.0
0.399,721.0
0.4,721.0
0.401,721.0
0.402,724.0
0.403,724.0
0.404,723.0
0.405,724.0
0.406,725.0
0.407,725.0
0.408,726.0
0.409,727.0
0.41,728.0
0.411,728.0
0.412,729.0
0.413,729.0
0.414,730.0
0.415,729.0
0.416,730.0
0.417,731.0
0.418,731.0
0.419,732.0
0.42,732.0
0.421,733.0
0.422,733.0
0.423,734.0
0.424,734.0
0.425,734.0
0.426,735.0
0.427,736.0
0.428,736.0
0.429,735.0
0.43,737.0
0.431,737.0
0.432,736.0
0.433,737.0
0.434,737.0
0.435,736.0
0.436,737.0
0.437,738.0
0.438,738.0
0.439,739.0
0.44,739.0
0.441,740.0
0.442,740.0
0.443,741.0
0.444,742.0
0.445,742.0
0.446,742.0
0.447,743.0
0.448,744.0
0.449,744.0
0.45,743.0
0.451,745.0
0.452,744.0
0.453,743.0
0.454,744.0
0.455,744.0
0.456,744.0
0.457,744.0
0.458,743.0
0.459,743.0
0.46,744.0
0.461,744.0
0.462,743.0
0.463,743.0
0.464,742.0
0.465,742.0
0.466,744.0
0.467,744.0
0.468,742.0
0.469,744.0
0.47,744.0
0.471,744.0
0.472,743.0
0.473,744.0
0.474,744.0
0.475,745.0
0.476,744.0
0.477,744.0
0.478,744.0
0.479,745.0
0.48,745.0
0.481,744.0
0.482,745.0
0.483,743.0
0.484,744.0
0.485,744.0
0.486,744.0
0.487,744.0
0.488,744.0
0.489,744.0
0.49,744.0
0.491,743.0
0.492,744.0
0.493,743.0
0.494,744.0
0.495,743.0
0.496,742.0
0.497,743.0
0.498,743.0
0.499,742.0
0.5,742.0
0.501,743.0
0.502,743.0
0.503,742.0
0.504,742.0
0.505,742.0
0.506,742.0
0.507,743.0
0.508,742.0
0.509,741.0
0.51,740.0
0.511,739.0
0.512,738.0
0.513,737.0
0.514,734.0
0.515,732.0
0.516,729.0
0.517,722.0
0.518,710.0
0.519,702.0
0.52,697.0
0.521,694.0
0.522,694.0
0.523,695.0
0.524,693.0
0.525,692.0
0.526,693.0
0.527,691.0
0.528,690.0
0.529,690.0
0.53,689.0
0.531,687.0
0.532,687.0
0.533,685.0
0.534,682.0
0.535,681.0
0.536,680.0
0.537,679.0
0.538,678.0
0.539,677.0
0.54,677.0
0.541,676.0
0.542,676.0
0.543,676.0
0.544,675.0
0.545,674.0
0.546,672.0
0.547,671.0
0.548,671.0
0.549,669.0
0.55,668.0
0.551,667.0
0.552,666.0
0.553,665.0
0.554,664.0
0.555,666.0
0.556,654.0
0.557,647.0
0.558,644.0
0.559,668.0
0.56,672.0
0.561,672.0
0.562,666.0
0.563,673.0
0.564,652.0
0.565,656.0
0.566,669.0
0.567,682.0
0.568,685.0
0.569,679.0
0.57,669.0
0.571,678.0
0.572,683.0
0.573,679.0
0.574,675.0
0.575,671.0
0.576,670.0
0.577,670.0
0.578,673.0
0.579,673.0
0.58,674.0
0.581,671.0
0.582,669.0
0.583,670.0
0.584,674.0
0.585,677.0
0.586,677.0
0.587,680.0
0.588,678.0
0.589,672.0
0.59,675.0
0.591,677.0
0.592,675.0
0.593,671.0
0.594,670.0
0.595,672.0
0.596,671.0
0.597,668.0
0.598,667.0
0.599,666.0
0.6,670.0
0.601,672.0
0.602,670.0
0.603,669.0
0.604,667.0
0.605,666.0
0.606,664.0
0.607,662.0
0.608,662.0
0.609,659.0
0.61,656.0
0.611,654.0
0.612,653.0
0.613,652.0
0.614,652.0
0.615,649.0
0.616,647.0
0.617,648.0
0.618,647.0
0.619,646.0
0.62,646.0
0.621,647.0
0.622,646.0
0.623,645.0
0.624,644.0
0.625,641.0
0.626,483.0
0.627,564.0
0.628,554.0
0.629,549.0
0.63,547.0
0.631,553.0
0.632,550.0
0.633,550.0
0.634,556.0
0.635,554.0
0.636,558.0
0.637,557.0
0.638,558.0
0.639,557.0
0.64,558.0
0.641,560.0
0.642,560.0
0.643,559.0
0.644,560.0
0.645,558.0
0.646,559.0
0.647,560.0
0.648,562.0
0.649,565.0
0.65,565.0
0.651,564.0
0.652,565.0
0.653,566.0
0.654,566.0
0.655,566.0
0.656,566.0
0.657,563.0
0.658,565.0
0.659,565.0
0.66,563.0
0.661,563.0
0.662,560.0
0.663,559.0
0.664,560.0
0.665,560.0
0.666,562.0
0.667,562.0
0.668,561.0
0.669,561.0
0.67,563.0
0.671,563.0
0.672,564.0
0.673,564.0
0.674,565.0
0.675,568.0
0.676,567.0
0.677,570.0
0.678,570.0
0.679,572.0
0.68,573.0
0.681,574.0
0.682,575.0
0.683,578.0
0.684,579.0
0.685,580.0
0.686,581.0
0.687,582.0
0.688,583.0
0.689,586.0
0.69,585.0
0.691,586.0
0.692,586.0
0.693,586.0
0.694,587.0
0.695,587.0
0.696,588.0
0.697,591.0
0.698,591.0
0.699,593.0
0.7,591.0
0.701,593.0
0.702,595.0
0.703,596.0
0.704,600.0
0.705,599.0
0.706,598.0
0.707,595.0
0.708,598.0
0.709,602.0
0.71,600.0
0.711,601.0
0.712,600.0
0.713,598.0
0.714,600.0
0.715,602.0
0.716,602.0
0.717,602.0
0.718,601.0
0.719,599.0
0.72,600.0
0.721,605.0
0.722,598.0
0.723,602.0
0.724,599.0
0.725,605.0
0.726,608.0
0.727,607.0
0.728,601.0
0.729,605.0
0.73,608.0
0.731,612.0
0.732,610.0
0.733,608.0
0.734,605.0
0.735,608.0
0.736,613.0
0.737,613.0
0.738,613.0
0.739,611.0
0.74,613.0
0.741,614.0
0.742,614.0
0.743,615.0
0.744,615.0
0.745,615.0
0.746,615.0
0.747,615.0
0.748,615.0
0.749,617.0
0.75,617.0
0.751,617.0
0.752,617.0
0.753,618.0
0.754,619.0
0.755,619.0
0.756,618.0
0.757,620.0
0.758,619.0
0.759,619.0
0.76,619.0
0.761,620.0
0.762,620.0
0.763,621.0
0.764,621.0
0.765,619.0
0.766,619.0
0.767,620.0
0.768,618.0
0.769,618.0
0.77,617.0
0.771,618.0
0.772,616.0
0.773,616.0
0.774,614.0
0.775,615.0
0.776,615.0
0.777,614.0
0.778,612.0
0.779,611.0
0.78,610.0
0.781,611.0
0.782,610.0
0.783,609.0
0.784,609.0
0.785,608.0
0.786,601.0
0.787,596.0
0.788,571.0
0.789,462.0
0.79,473.0
0.791,477.0
0.792,482.0
0.793,488.0
0.794,488.0
0.795,490.0
0.796,491.0
0.797,493.0
0.798,495.0
0.799,497.0
0.8,496.0
0.801,497.0
0.802,497.0
0.803,497.0
0.804,496.0
0.805,495.0
0.806,495.0
0.807,493.0
0.808,493.0
0.809,492.0
0.81,490.0
0.811,490.0
0.812,486.0
0.813,488.0
0.814,486.0
0.815,484.0
0.816,480.0
0.817,476.0
0.818,472.0
0.819,468.0
0.82,454.0
0.821,435.0
0.822,244.0
0.823,0.0
0.824,0.0
0.825,0.0
0.826,49.0
0.827,66.0
0.828,65.0
0.829,82.0
0.83,106.0
0.831,113.0
0.832,113.0
0.833,112.0
0.834,114.0
0.835,117.0
0.836,119.0
0.837,126.0
0.838,124.0
0.839,131.0
0.84,132.0
0.841,134.0
0.842,147.0
0.843,152.0
0.844,190.0
0.845,260.0
0.846,237.0
0.847,255.0
0.848,298.0
0.849,284.0
0.85,316.0
0.851,325.0
0.852,323.0
0.853,334.0
0.854,333.0
0.855,323.0
0.856,328.0
0.857,330.0
0.858,336.0
0.859,334.0
0.86,338.0
0.861,339.0
0.862,341.0
0.863,349.0
0.864,350.0
0.865,349.0
0.866,349.0
0.867,350.0
0.868,350.0
0.869,353.0
0.87,355.0
0.871,357.0
0.872,358.0
0.873,361.0
0.874,365.0
0.875,375.0
0.876,381.0
0.877,385.0
0.878,392.0
0.879,401.0
0.88,410.0
0.881,415.0
0.882,417.0
0.883,419.0
0.884,425.0
0.885,427.0
0.886,431.0
0.887,435.0
0.888,436.0
0.889,439.0
0.89,439.0
0.891,443.0
0.892,445.0
0.893,449.0
0.894,451.0
0.895,453.0
0.896,454.0
0.897,457.0
0.898,459.0
0.899,461.0
0.9,463.0
0.901,465.0
0.902,468.0
0.903,469.0
0.904,472.0
0.905,473.0
0.906,477.0
0.907,476.0
0.908,479.0
0.909,479.0
0.91,483.0
0.911,483.0
0.912,484.0
0.913,486.0
0.914,486.0
0.915,487.0
0.916,487.0
0.917,490.0
0.918,490.0
0.919,493.0
0.92,498.0
0.921,500.0
0.922,501.0
0.923,501.0
0.924,503.0
0.925,504.0
0.926,506.0
0.927,507.0
0.928,507.0
0.929,508.0
0.93,509.0
0.931,510.0
0.932,511.0
0.933,512.0
0.934,512.0
0.935,513.0
0.936,514.0
0.937,514.0
0.938,517.0
0.939,516.0
0.94,517.0
0.941,518.0
0.942,519.0
0.943,520.0
0.944,521.0
0.945,522.0
0.946,522.0
0.947,522.0
0.948,522.0
0.949,524.0
0.95,526.0
0.951,527.0
0.952,528.0
0.953,529.0
0.954,530.0
0.955,532.0
0.956,530.0
0.957,532.0
0.958,533.0
0.959,534.0
0.96,535.0
0.961,536.0
0.962,537.0
0.963,539.0
0.964,539.0
0.965,539.0
0.966,541.0
0.967,542.0
0.968,542.0
0.969,543.0
0.97,543.0
0.971,544.0
0.972,545.0
0.973,544.0
0.974,544.0
0.975,544.0
0.976,545.0
0.977,545.0
0.978,546.0
0.979,545.0
0.98,546.0
0.981,547.0
0.982,547.0
0.983,548.0
0.984,548.0
0.985,550.0
0.986,549.0
0.987,550.0
0.988,551.0
0.989,551.0
0.99,552.0
0.991,552.0
0.992,553.0
0.993,553.0
0.994,553.0
0.995,553.0
0.996,555.0
0.997,554.0
0.998,556.0
0.999,555.0
1.0,555.0
1.001,556.0
1.002,557.0
1.003,557.0
1.004,557.0
1.005,557.0
1.006,558.0
1.007,558.0
1.008,558.0
1.009,559.0
1.01,559.0
1.011,560.0
1.012,560.0
1.013,559.0
1.014,559.0
1.015,559.0
1.016,558.0
1.017,560.0
1.018,559.0
1.019,559.0
1.02,559.0
1.021,560.0
1.022,560.0
1.023,560.0
1.024,560.0
1.025,561.0
1.026,560.0
1.027,561.0
1.028,561.0
1.029,561.0
1.03,562.0
1.031,561.0
1.032,562.0
1.033,562.0
1.034,561.0
1.035,561.0
1.036,561.0
1.037,562.0
1.038,562.0
1.039,562.0
1.04,561.0
1.041,561.0
1.042,562.0
1.043,562.0
1.044,563.0
1.045,563.0
1.046,563.0
1.047,563.0
1.048,563.0
1.049,563.0
1.05,564.0
1.051,563.0
1.052,563.0
1.053,564.0
1.054,564.0
1.055,563.0
1.056,564.0
1.057,564.0
1.058,563.0
1.059,563.0
1.06,563.0
1.061,563.0
1.062,564.0
1.063,564.0
1.064,564.0
1.065,564.0
1.066,564.0
1.067,565.0
1.068,564.0
1.069,565.0
1.07,565.0
1.071,565.0
1.072,565.0
1.073,566.0
1.074,565.0
1.075,565.0
1.076,566.0
1.077,565.0
1.078,565.0
1.079,565.0
1.08,565.0
1.081,565.0
1.082,566.0
1.083,566.0
1.084,565.0
1.085,566.0
1.086,567.0
1.087,566.0
1.088,567.0
1.089,566.0
1.09,566.0
1.091,567.0
1.092,567.0
1.093,567.0
1.094,567.0
1.095,566.0
1.096,566.0
1.097,567.0
1.098,566.0
1.099,567.0
1.1,567.0
1.101,566.0
1.102,567.0
1.103,567.0
1.104,567.0
1.105,567.0
1.106,567.0
1.107,567.0
1.108,568.0
1.109,568.0
1.11,568.0
1.111,568.0
1.112,568.0
1.113,569.0
1.114,568.0
1.115,568.0
1.116,569.0
1.117,569.0
1.118,568.0
1.119,567.0
1.12,568.0
1.121,568.0
1.122,569.0
1.123,570.0
1.124,569.0
1.125,570.0
1.126,570.0
1.127,570.0
1.128,570.0
1.129,570.0
1.13,570.0
1.131,570.0
1.132,570.0
1.133,571.0
1.134,571.0
1.135,571.0
1.136,570.0
1.137,571.0
1.138,569.0
1.139,571.0
1.14,570.0
1.141,570.0
1.142,571.0
1.143,570.0
1.144,571.0
1.145,571.0
1.146,571.0
1.147,570.0
1.148,572.0
1.149,571.0
1.15,571.0
1.151,571.0
1.152,572.0
1.153,572.0
1.154,571.0
1.155,572.0
1.156,571.0
1.157,572.0
1.158,572.0
1.159,573.0
1.16,571.0
1.161,573.0
1.162,572.0
1.163,571.0
1.164,572.0
1.165,572.0
1.166,574.0
1.167,573.0
1.168,573.0
1.169,573.0
1.17,574.0
1.171,573.0
1.172,573.0
1.173,573.0
1.174,574.0
1.175,573.0
1.176,573.0
1.177,574.0
1.178,574.0
1.179,574.0
1.18,574.0
1.181,573.0
1.182,574.0
1.183,574.0
1.184,575.0
1.185,574.0
1.186,575.0
1.187,574.0
1.188,575.0
1.189,574.0
1.19,575.0
1.191,575.0
1.192,575.0
1.193,575.0
1.194,575.0
1.195,576.0
1.196,575.0
1.197,574.0
1.198,575.0
1.199,575.0
1.2,575.0
1.201,575.0
1.202,575.0
1.203,575.0
1.204,575.0
1.205,575.0
1.206,575.0
1.207,576.0
1.208,575.0
1.209,575.0
1.21,575.0
1.211,576.0
1.212,576.0
1.213,576.0
1.214,576.0
1.215,576.0
1.216,576.0
1.217,576.0
1.218,576.0
1.219,576.0
1.22,577.0
1.221,576.0
1.222,576.0
1.223,575.0
1.224,576.0
1.225,576.0
1.226,575.0
1.227,576.0
1.228,576.0
1.229,575.0
1.23,576.0
1.231,577.0
1.232,577.0
1.233,576.0
1.234,576.0
1.235,576.0
1.236,576.0
1.237,577.0
1.238,576.0
1.239,577.0
1.24,576.0
1.241,577.0
1.242,576.0
1.243,577.0
1.244,577.0
1.245,577.0
1.246,576.0
1.247,577.0
1.248,577.0
1.249,578.0
1.25,578.0
1.251,577.0
1.252,579.0
1.253,577.0
1.254,577.0
1.255,578.0
1.256,577.0
1.257,577.0
1.258,577.0
1.259,578.0
1.26,577.0
1.261,577.0
1.262,577.0
1.263,577.0
1.264,577.0
1.265,578.0
1.266,578.0
1.267,578.0
1.268,577.0
1.269,578.0
1.27,578.0
1.271,577.0
1.272,577.0
1.273,578.0
1.274,578.0
1.275,578.0
1.276,578.0
1.277,578.0
1.278,577.0
1.279,579.0
1.28,578.0
1.281,577.0
1.282,578.0
1.283,577.0
1.284,578.0
1.285,578.0
1.286,578.0
1.287,579.0
1.288,580.0
1.289,578.0
1.29,578.0
1.291,579.0
1.292,579.0
1.293,578.0
1.294,578.0
1.295,579.0
1.296,579.0
1.297,579.0
1.298,577.0
1.299,579.0
1.3,579.0
1.301,578.0
1.302,579.0
1.303,579.0
1.304,579.0
1.305,580.0
1.306,579.0
1.307,580.0
1.308,579.0
1.309,579.0
1.31,579.0
1.311,579.0
1.312,579.0
1.313,579.0
1.314,580.0
1.315,579.0
1.316,579.0
1.317,579.0
1.318,579.0
1.319,580.0
1.32,579.0
1.321,579.0
1.322,579.0
1.323,580.0
1.324,580.0
1.325,580.0
1.326,580.0
1.327,581.0
1.328,579.0
1.329,580.0
1.33,580.0
1.331,580.0
1.332,580.0
1.333,581.0
1.334,580.0
1.335,580.0
1.336,579.0
1.337,580.0
1.338,580.0
1.339,580.0
1.34,579.0
1.341,580.0
1.342,579.0
1.343,581.0
1.344,580.0
1.345,580.0
1.346,581.0
1.347,580.0
1.348,581.0
1.349,580.0
1.35,581.0
1.351,582.0
1.352,581.0
1.353,580.0
1.354,581.0
1.355,580.0
1.356,581.0
1.357,581.0
1.358,580.0
1.359,580.0
1.36,582.0
1.361,581.0
1.362,580.0
1.363,581.0
1.364,581.0
1.365,581.0
1.366,580.0
1.367,581.0
1.368,580.0
1.369,580.0
1.37,581.0
1.371,581.0
1.372,581.0
1.373,582.0
1.374,581.0
1.375,581.0
1.376,581.0
1.377,581.0
1.378,581.0
1.379,581.0
1.38,581.0
1.381,580.0
1.382,581.0
1.383,582.0
1.384,581.0
1.385,581.0
1.386,582.0
1.387,581.0
1.388,582.0
1.389,581.0
1.39,582.0
1.391,582.0
1.392,581.0
1.393,581.0
1.394,582.0
1.395,581.0
1.396,581.0
1.397,580.0
1.398,581.0
1.399,582.0
1.4,582.0
1.401,581.0
1.402,582.0
1.403,582.0
1.404,582.0
1.405,582.0
1.406,582.0
1.407,582.0
1.408,583.0
1.409,582.0
1.41,582.0
1.411,582.0
1.412,582.0
1.413,583.0
1.414,582.0
1.415,580.0
1.416,581.0
1.417,582.0
1.418,582.0
1.419,582.0
1.42,582.0
1.421,582.0
1.422,582.0
1.423,582.0
1.424,583.0
1.425,583.0
1.426,582.0
1.427,583.0
1.428,583.0
1.429,583.0
1.43,583.0
1.431,583.0
1.432,583.0
1.433,582.0
1.434,583.0
1.435,582.0
1.436,583.0
1.437,581.0
1.438,582.0
1.439,582.0
1.44,583.0
1.441,583.0
1.442,582.0
1.443,582.0
1.444,583.0
1.445,583.0
1.446,583.0
1.447,583.0
1.448,583.0
1.449,584.0
1.45,583.0
1.451,583.0
1.452,583.0
1.453,583.0
1.454,584.0
1.455,583.0
1.456,583.0
1.457,583.0
1.458,584.0
1.459,583.0
1.46,583.0
1.461,583.0
1.462,583.0
1.463,584.0
1.464,583.0
1.465,583.0
1.466,583.0
1.467,584.0
1.468,584.0
1.469,583.0
1.47,584.0
1.471,584.0
1.472,585.0
1.473,583.0
1.474,584.0
1.475,582.0
1.476,583.0
1.477,583.0
1.478,584.0
1.479,584.0
1.48,584.0
1.481,583.0
1.482,583.0
1.483,583.0
1.484,584.0
1.485,583.0
1.486,584.0
1.487,584.0
1.488,585.0
1.489,584.0
1.49,585.0
1.491,584.0
1.492,584.0
1.493,584.0
1.494,584.0
1.495,584.0
1.496,584.0
1.497,584.0
1.498,584.0
1.499,583.0
