Time,ForceReading
0.0,5.0
0.001,0.0
0.002,0.0
0.003,0.0
0.004,0.0
0.005,0.0
0.006,0.0
0.007,0.0
0.008,0.0
0.009,12.0
0.01,34.0
0.011,53.0
0.012,64.0
0.013,68.0
0.014,71.0
0.015,85.0
0.016,91.0
0.017,100.0
0.018,105.0
0.019,113.0
0.02,116.0
0.021,118.0
0.022,122.0
0.023,125.0
0.024,127.0
0.025,130.0
0.026,130.0
0.027,131.0
0.028,132.0
0.029,134.0
0.03,134.0
0.031,137.0
0.032,143.0
0.033,147.0
0.034,149.0
0.035,150.0
0.036,151.0
0.037,155.0
0.038,158.0
0.039,167.0
0.04,172.0
0.041,176.0
0.042,180.0
0.043,184.0
0.044,189.0
0.045,191.0
0.046,196.0
0.047,202.0
0.048,206.0
0.049,211.0
0.05,213.0
0.051,217.0
0.052,221.0
0.053,227.0
0.054,232.0
0.055,237.0
0.056,239.0
0.057,242.0
0.058,243.0
0.059,243.0
0.06,245.0
0.061,247.0
0.062,249.0
0.063,250.0
0.064,251.0
0.065,254.0
0.066,256.0
0.067,256.0
0.068,259.0
0.069,264.0
0.07,267.0
0.071,268.0
0.072,272.0
0.073,275.0
0.074,276.0
0.075,288.0
0.076,292.0
0.077,295.0
0.078,307.0
0.079,311.0
0.08,317.0
0.081,321.0
0.082,325.0
0.083,327.0
0.084,329.0
0.085,334.0
0.086,336.0
0.087,338.0
0.088,340.0
0.089,345.0
0.09,346.0
0.091,351.0
0.092,353.0
0.093,354.0
0.094,356.0
0.095,358.0
0.096,362.0
0.097,365.0
0.098,368.0
0.099,369.0
0.1,371.0
0.101,373.0
0.102,374.0
0.103,376.0
0.104,378.0
0.105,384.0
0.106,383.0
0.107,385.0
0.108,388.0
0.109,390.0
0.11,393.0
0.111,396.0
0.112,399.0
0.113,402.0
0.114,407.0
0.115,408.0
0.116,410.0
0.117,413.0
0.118,413.0
0.119,415.0
0.12,419.0
0.121,421.0
0.122,426.0
0.123,428.0
0.124,433.0
0.125,436.0
0.126,440.0
0.127,441.0
0.128,445.0
0.129,446.0
0.13,449.0
0.131,453.0
0.132,457.0
0.133,458.0
0.134,461.0
0.135,463.0
0.136,467.0
0.137,472.0
0.138,474.0
0.139,477.0
0.14,480.0
0.141,482.0
0.142,485.0
0.143,486.0
0.144,489.0
0.145,490.0
0.146,493.0
0.147,496.0
0.148,498.0
0.149,499.0
0.15,501.0
0.151,504.0
0.152,509.0
0.153,510.0
0.154,514.0
0.155,517.0
0.156,521.0
0.157,522.0
0.158,524.0
0.159,526.0
0.16,528.0
0.161,531.0
0.162,531.0
0.163,532.0
0.164,534.0
0.165,536.0
0.166,537.0
0.167,540.0
0.168,543.0
0.169,542.0
0.17,546.0
0.171,547.0
0.172,549.0
0.173,550.0
0.174,553.0
0.175,554.0
0.176,554.0
0.177,557.0
0.178,556.0
0.179,557.0
0.18,559.0
0.181,561.0
0.182,562.0
0.183,562.0
0.184,563.0
0.185,566.0
0.186,567.0
0.187,569.0
0.188,571.0
0.189,572.0
0.19,573.0
0.191,575.0
0.192,575.0
0.193,577.0
0.194,578.0
0.195,581.0
0.196,583.0
0.197,583.0
0.198,585.0
0.199,586.0
0.2,587.0
0.201,589.0
0.202,589.0
0.203,591.0
0.204,593.0
0.205,594.0
0.206,594.0
0.207,596.0
0.208,597.0
0.209,599.0
0.21,600.0
0.211,603.0
0.212,604.0
0.213,606.0
0.214,608.0
0.215,608.0
0.216,610.0
0.217,612.0
0.218,613.0
0.219,616.0
0.22,616.0
0.221,617.0
0.222,620.0
0.223,623.0
0.224,622.0
0.225,622.0
0.226,622.0
0.227,625.0
0.228,627.0
0.229,627.0
0.23,628.0
0.231,629.0
0.232,629.0
0.233,631.0
0.234,632.0
0.235,634.0
0.236,635.0
0.237,635.0
0.238,636.0
0.239,637.0
0.24,638.0
0.241,638.0
0.242,640.0
0.243,640.0
0.244,640.0
0.245,642.0
0.246,643.0
0.247,646.0
0.248,646.0
0.249,647.0
0.25,648.0
0.251,651.0
0.252,650.0
0.253,652.0
0.254,653.0
0.255,652.0
0.256,657.0
0.257,656.0
0.258,658.0
0.259,658.0
0.26,660.0
0.261,660.0
0.262,661.0
0.263,662.0
0.264,664.0
0.265,663.0
0.266,664.0
0.267,667.0
0.268,666.0
0.269,667.0
0.27,669.0
0.271,668.0
0.272,669.0
0.273,669.0
0.274,670.0
0.275,672.0
0.276,672.0
0.277,672.0
0.278,674.0
0.279,674.0
0.28,676.0
0.281,676.0
0.282,678.0
0.283,678.0
0.284,680.0
0.285,678.0
0.286,682.0
0.287,681.0
0.288,682.0
0.289,683.0
0.29,684.0
0.291,685.0
0.292,685.0
0.293,687.0
0.294,686.0
0.295,688.0
0.296,687.0
0.297,690.0
0.298,690.0
0.299,692.0
0.3,692.0
0.301,694.0
0.302,694.0
0.303,696.0
0.304,697.0
0.305,696.0
0.306,698.0
0.307,697.0
0.308,698.0
0.309,700.0
0.31,701.0
0.311,702.0
0.312,703.0
0.313,705.0
0.314,705.0
0.315,706.0
0.316,706.0
