Time,ForceReading
0.0,10.0
0.001,13.0
0.002,16.0
0.003,17.0
0.004,21.0
0.005,23.0
0.006,24.0
0.007,25.0
0.008,27.0
0.009,27.0
0.01,27.0
0.011,35.0
0.012,41.0
0.013,43.0
0.014,61.0
0.015,66.0
0.016,72.0
0.017,79.0
0.018,92.0
0.019,101.0
0.02,111.0
0.021,118.0
0.022,127.0
0.023,133.0
0.024,140.0
0.025,146.0
0.026,152.0
0.027,156.0
0.028,164.0
0.029,167.0
0.03,173.0
0.031,179.0
0.032,181.0
0.033,186.0
0.034,193.0
0.035,204.0
0.036,225.0
0.037,238.0
0.038,247.0
0.039,260.0
0.04,263.0
0.041,271.0
0.042,275.0
0.043,284.0
0.044,288.0
0.045,294.0
0.046,297.0
0.047,300.0
0.048,305.0
0.049,310.0
0.05,316.0
0.051,320.0
0.052,326.0
0.053,332.0
0.054,338.0
0.055,348.0
0.056,354.0
0.057,359.0
0.058,364.0
0.059,370.0
0.06,372.0
0.061,380.0
0.062,385.0
0.063,391.0
0.064,398.0
0.065,402.0
0.066,408.0
0.067,412.0
0.068,417.0
0.069,420.0
0.07,424.0
0.071,428.0
0.072,429.0
0.073,433.0
0.074,435.0
0.075,437.0
0.076,440.0
0.077,442.0
0.078,445.0
0.079,450.0
0.08,453.0
0.081,459.0
0.082,464.0
0.083,468.0
0.084,471.0
0.085,474.0
0.086,480.0
0.087,481.0
0.088,484.0
0.089,487.0
0.09,489.0
0.091,494.0
0.092,496.0
0.093,502.0
0.094,507.0
0.095,511.0
0.096,514.0
0.097,519.0
0.098,523.0
0.099,527.0
0.1,531.0
0.101,533.0
0.102,537.0
0.103,542.0
0.104,546.0
0.105,549.0
0.106,553.0
0.107,554.0
0.108,558.0
0.109,562.0
0.11,565.0
0.111,566.0
0.112,569.0
0.113,570.0
0.114,572.0
0.115,576.0
0.116,577.0
0.117,579.0
0.118,581.0
0.119,583.0
0.12,584.0
0.121,587.0
0.122,589.0
0.123,589.0
0.124,593.0
0.125,594.0
0.126,597.0
0.127,599.0
0.128,602.0
0.129,603.0
0.13,606.0
0.131,607.0
0.132,611.0
0.133,613.0
0.134,616.0
0.135,617.0
0.136,620.0
0.137,622.0
0.138,625.0
0.139,630.0
0.14,631.0
0.141,632.0
0.142,635.0
0.143,636.0
0.144,637.0
0.145,640.0
0.146,642.0
0.147,643.0
0.148,645.0
0.149,645.0
0.15,648.0
0.151,650.0
0.152,650.0
0.153,652.0
0.154,654.0
0.155,655.0
0.156,656.0
0.157,656.0
0.158,657.0
0.159,659.0
0.16,660.0
0.161,663.0
0.162,663.0
0.163,664.0
0.164,666.0
0.165,667.0
0.166,668.0
0.167,671.0
0.168,672.0
0.169,673.0
0.17,676.0
0.171,678.0
0.172,680.0
0.173,682.0
0.174,683.0
0.175,685.0
0.176,687.0
0.177,689.0
0.178,688.0
0.179,689.0
0.18,691.0
0.181,692.0
0.182,694.0
0.183,694.0
0.184,695.0
0.185,697.0
0.186,698.0
0.187,700.0
0.188,700.0
0.189,702.0
0.19,704.0
0.191,704.0
0.192,706.0
0.193,708.0
0.194,708.0
0.195,709.0
0.196,711.0
0.197,712.0
0.198,713.0
0.199,715.0
0.2,715.0
0.201,719.0
0.202,718.0
0.203,719.0
0.204,720.0
0.205,723.0
0.206,723.0
0.207,723.0
0.208,726.0
0.209,727.0
0.21,727.0
0.211,728.0
0.212,730.0
0.213,731.0
0.214,731.0
0.215,733.0
0.216,733.0
0.217,735.0
0.218,735.0
0.219,736.0
0.22,737.0
0.221,738.0
0.222,737.0
0.223,739.0
0.224,739.0
0.225,739.0
0.226,739.0
0.227,742.0
0.228,743.0
0.229,745.0
0.23,744.0
0.231,746.0
0.232,746.0
0.233,747.0
0.234,749.0
0.235,749.0
0.236,751.0
0.237,752.0
0.238,752.0
0.239,754.0
0.24,756.0
0.241,756.0
0.242,757.0
0.243,757.0
0.244,758.0
0.245,759.0
0.246,760.0
0.247,762.0
0.248,761.0
0.249,763.0
0.25,764.0
0.251,766.0
0.252,767.0
0.253,768.0
0.254,768.0
0.255,769.0
0.256,770.0
0.257,771.0
0.258,772.0
0.259,774.0
0.26,774.0
0.261,775.0
0.262,776.0
0.263,777.0
0.264,779.0
0.265,778.0
0.266,779.0
0.267,781.0
0.268,781.0
0.269,782.0
0.27,783.0
0.271,784.0
0.272,784.0
0.273,786.0
0.274,786.0
0.275,787.0
0.276,788.0
0.277,788.0
0.278,789.0
0.279,790.0
0.28,790.0
0.281,791.0
0.282,790.0
0.283,793.0
0.284,794.0
0.285,794.0
0.286,795.0
0.287,796.0
0.288,796.0
0.289,797.0
0.29,797.0
0.291,800.0
0.292,800.0
0.293,800.0
0.294,801.0
0.295,802.0
0.296,802.0
0.297,804.0
0.298,805.0
0.299,804.0
0.3,806.0
0.301,805.0
0.302,806.0
0.303,807.0
0.304,807.0
0.305,808.0
0.306,807.0
0.307,808.0
0.308,809.0
0.309,809.0
0.31,810.0
0.311,810.0
0.312,811.0
0.313,811.0
0.314,812.0
0.315,813.0
0.316,814.0
0.317,813.0
0.318,814.0
0.319,815.0
0.32,815.0
0.321,816.0
0.322,816.0
0.323,817.0
0.324,816.0
0.325,816.0
0.326,817.0
0.327,818.0
0.328,818.0
0.329,818.0
0.33,819.0
0.331,820.0
0.332,821.0
0.333,822.0
0.334,822.0
0.335,823.0
0.336,822.0
0.337,822.0
0.338,823.0
0.339,824.0
0.34,825.0
0.341,826.0
0.342,825.0
0.343,827.0
0.344,827.0
0.345,827.0
0.346,828.0
0.347,829.0
0.348,828.0
0.349,829.0
0.35,830.0
0.351,830.0
0.352,830.0
0.353,831.0
0.354,831.0
0.355,832.0
0.356,832.0
0.357,833.0
0.358,833.0
0.359,833.0
0.36,834.0
0.361,834.0
0.362,837.0
0.363,836.0
0.364,836.0
0.365,837.0
0.366,836.0
0.367,839.0
0.368,838.0
0.369,839.0
0.37,839.0
0.371,840.0
0.372,840.0
0.373,840.0
0.374,839.0
0.375,840.0
0.376,840.0
0.377,841.0
0.378,843.0
0.379,842.0
0.38,842.0
0.381,843.0
0.382,843.0
0.383,843.0
0.384,844.0
0.385,843.0
0.386,845.0
0.387,846.0
0.388,844.0
0.389,846.0
0.39,845.0
0.391,847.0
0.392,847.0
0.393,846.0
0.394,848.0
0.395,847.0
0.396,848.0
0.397,847.0
0.398,848.0
0.399,849.0
0.4,848.0
0.401,848.0
0.402,849.0
0.403,851.0
0.404,850.0
0.405,850.0
0.406,851.0
0.407,851.0
0.408,851.0
0.409,852.0
0.41,852.0
0.411,852.0
0.412,852.0
0.413,854.0
0.414,853.0
0.415,854.0
0.416,854.0
0.417,852.0
0.418,854.0
0.419,853.0
0.42,853.0
0.421,853.0
0.422,854.0
0.423,854.0
0.424,854.0
0.425,855.0
0.426,857.0
0.427,856.0
0.428,856.0
0.429,857.0
0.43,856.0
0.431,857.0
0.432,858.0
0.433,857.0
0.434,857.0
0.435,858.0
0.436,859.0
0.437,859.0
0.438,859.0
0.439,861.0
0.44,859.0
0.441,859.0
0.442,860.0
0.443,860.0
0.444,860.0
0.445,860.0
0.446,861.0
0.447,860.0
0.448,861.0
0.449,860.0
0.45,861.0
0.451,861.0
0.452,863.0
0.453,861.0
0.454,861.0
0.455,864.0
0.456,861.0
0.457,862.0
0.458,862.0
0.459,862.0
0.46,863.0
0.461,862.0
0.462,862.0
0.463,863.0
0.464,864.0
0.465,863.0
0.466,863.0
0.467,863.0
0.468,866.0
0.469,864.0
0.47,865.0
0.471,865.0
0.472,865.0
0.473,866.0
0.474,865.0
0.475,866.0
0.476,867.0
0.477,866.0
0.478,867.0
0.479,867.0
0.48,867.0
0.481,867.0
0.482,868.0
0.483,867.0
0.484,867.0
0.485,867.0
0.486,867.0
0.487,868.0
0.488,870.0
0.489,868.0
0.49,868.0
0.491,871.0
0.492,869.0
0.493,870.0
0.494,869.0
0.495,871.0
0.496,870.0
0.497,869.0
0.498,871.0
0.499,870.0
0.5,870.0
0.501,869.0
0.502,870.0
0.503,872.0
0.504,871.0
0.505,870.0
0.506,870.0
0.507,871.0
0.508,872.0
0.509,872.0
0.51,872.0
0.511,872.0
0.512,872.0
0.513,873.0
0.514,873.0
0.515,873.0
0.516,872.0
0.517,875.0
0.518,875.0
0.519,874.0
0.52,874.0
0.521,875.0
0.522,874.0
0.523,873.0
0.524,875.0
0.525,873.0
0.526,876.0
0.527,875.0
0.528,874.0
0.529,875.0
0.53,874.0
0.531,875.0
0.532,875.0
0.533,875.0
0.534,875.0
0.535,876.0
0.536,877.0
0.537,875.0
0.538,876.0
0.539,876.0
0.54,876.0
0.541,875.0
0.542,875.0
0.543,876.0
0.544,876.0
0.545,876.0
0.546,876.0
0.547,874.0
0.548,875.0
0.549,877.0
0.55,875.0
0.551,875.0
0.552,877.0
0.553,876.0
0.554,876.0
0.555,876.0
0.556,878.0
0.557,877.0
0.558,876.0
0.559,878.0
0.56,877.0
0.561,876.0
0.562,876.0
0.563,877.0
0.564,876.0
0.565,876.0
0.566,876.0
0.567,877.0
0.568,878.0
0.569,878.0
0.57,876.0
0.571,876.0
0.572,876.0
0.573,876.0
0.574,878.0
0.575,876.0
0.576,876.0
0.577,876.0
0.578,877.0
0.579,876.0
0.58,877.0
0.581,877.0
0.582,876.0
0.583,876.0
0.584,877.0
0.585,878.0
0.586,878.0
0.587,876.0
0.588,876.0
0.589,877.0
0.59,877.0
0.591,877.0
0.592,876.0
0.593,876.0
0.594,878.0
0.595,877.0
0.596,877.0
0.597,876.0
0.598,878.0
0.599,877.0
0.6,877.0
0.601,878.0
0.602,876.0
0.603,877.0
0.604,878.0
0.605,877.0
0.606,877.0
0.607,876.0
0.608,878.0
0.609,878.0
0.61,878.0
0.611,877.0
0.612,877.0
0.613,876.0
0.614,876.0
0.615,878.0
0.616,876.0
0.617,877.0
0.618,878.0
0.619,877.0
0.62,877.0
0.621,878.0
0.622,876.0
0.623,877.0
0.624,876.0
0.625,876.0
0.626,876.0
0.627,876.0
0.628,877.0
0.629,878.0
0.63,876.0
0.631,878.0
0.632,877.0
0.633,878.0
0.634,877.0
0.635,878.0
0.636,877.0
0.637,877.0
0.638,876.0
0.639,876.0
0.64,877.0
0.641,878.0
0.642,877.0
0.643,876.0
0.644,877.0
0.645,877.0
0.646,878.0
0.647,877.0
0.648,877.0
0.649,877.0
0.65,876.0
0.651,877.0
0.652,878.0
0.653,878.0
0.654,877.0
0.655,877.0
0.656,879.0
0.657,877.0
0.658,877.0
0.659,877.0
0.66,877.0
0.661,877.0
0.662,875.0
0.663,876.0
0.664,878.0
0.665,876.0
0.666,877.0
0.667,877.0
0.668,876.0
0.669,876.0
0.67,876.0
0.671,877.0
0.672,877.0
0.673,878.0
0.674,878.0
0.675,877.0
0.676,876.0
0.677,877.0
0.678,876.0
0.679,876.0
0.68,878.0
0.681,877.0
0.682,877.0
0.683,876.0
0.684,877.0
0.685,876.0
