Time,ForceReading
0.0,9.0
0.001,11.0
0.002,19.0
0.003,30.0
0.004,38.0
0.005,47.0
0.006,56.0
0.007,61.0
0.008,62.0
0.009,66.0
0.01,66.0
0.011,68.0
0.012,71.0
0.013,81.0
0.014,82.0
0.015,78.0
0.016,81.0
0.017,83.0
0.018,83.0
0.019,79.0
0.02,78.0
0.021,90.0
0.022,92.0
0.023,92.0
0.024,104.0
0.025,120.0
0.026,127.0
0.027,133.0
0.028,144.0
0.029,156.0
0.03,163.0
0.031,173.0
0.032,179.0
0.033,187.0
0.034,189.0
0.035,197.0
0.036,203.0
0.037,208.0
0.038,215.0
0.039,222.0
0.04,233.0
0.041,244.0
0.042,258.0
0.043,271.0
0.044,278.0
0.045,284.0
0.046,304.0
0.047,318.0
0.048,326.0
0.049,332.0
0.05,340.0
0.051,345.0
0.052,350.0
0.053,355.0
0.054,361.0
0.055,366.0
0.056,370.0
0.057,375.0
0.058,379.0
0.059,384.0
0.06,387.0
0.061,389.0
0.062,393.0
0.063,398.0
0.064,402.0
0.065,405.0
0.066,410.0
0.067,415.0
0.068,419.0
0.069,423.0
0.07,427.0
0.071,431.0
0.072,436.0
0.073,441.0
0.074,447.0
0.075,450.0
0.076,455.0
0.077,459.0
0.078,460.0
0.079,462.0
0.08,466.0
0.081,470.0
0.082,474.0
0.083,477.0
0.084,482.0
0.085,485.0
0.086,488.0
0.087,493.0
0.088,497.0
0.089,502.0
0.09,506.0
0.091,512.0
0.092,513.0
0.093,517.0
0.094,521.0
0.095,525.0
0.096,528.0
0.097,532.0
0.098,536.0
0.099,538.0
0.1,542.0
0.101,545.0
0.102,549.0
0.103,554.0
0.104,559.0
0.105,562.0
0.106,566.0
0.107,570.0
0.108,573.0
0.109,575.0
0.11,577.0
0.111,581.0
0.112,584.0
0.113,586.0
0.114,588.0
0.115,591.0
0.116,593.0
0.117,594.0
0.118,597.0
0.119,601.0
0.12,603.0
0.121,608.0
0.122,611.0
0.123,613.0
0.124,614.0
0.125,616.0
0.126,620.0
0.127,623.0
0.128,626.0
0.129,630.0
0.13,632.0
0.131,635.0
0.132,639.0
0.133,641.0
0.134,644.0
0.135,648.0
0.136,649.0
0.137,651.0
0.138,653.0
0.139,654.0
0.14,657.0
0.141,660.0
0.142,663.0
0.143,665.0
0.144,668.0
0.145,671.0
0.146,674.0
0.147,675.0
0.148,678.0
0.149,681.0
0.15,684.0
0.151,685.0
0.152,688.0
0.153,689.0
0.154,691.0
0.155,694.0
0.156,695.0
0.157,697.0
0.158,700.0
0.159,701.0
0.16,703.0
0.161,704.0
0.162,707.0
0.163,707.0
0.164,709.0
0.165,710.0
0.166,712.0
0.167,713.0
0.168,716.0
0.169,717.0
0.17,718.0
0.171,720.0
0.172,721.0
0.173,722.0
0.174,723.0
0.175,724.0
0.176,726.0
0.177,728.0
0.178,730.0
0.179,731.0
0.18,732.0
0.181,733.0
0.182,734.0
0.183,735.0
0.184,737.0
0.185,737.0
0.186,739.0
0.187,738.0
0.188,740.0
0.189,742.0
0.19,742.0
0.191,743.0
0.192,744.0
0.193,746.0
0.194,747.0
0.195,749.0
0.196,749.0
0.197,749.0
0.198,751.0
0.199,752.0
0.2,752.0
0.201,754.0
0.202,754.0
0.203,755.0
0.204,757.0
0.205,758.0
0.206,759.0
0.207,760.0
0.208,760.0
0.209,761.0
0.21,762.0
0.211,763.0
0.212,764.0
0.213,765.0
0.214,765.0
0.215,765.0
0.216,766.0
0.217,768.0
0.218,769.0
0.219,769.0
0.22,770.0
0.221,771.0
0.222,772.0
0.223,774.0
0.224,774.0
0.225,775.0
0.226,775.0
0.227,775.0
0.228,776.0
0.229,777.0
0.23,779.0
0.231,780.0
