capture_index,"base_T_ee(0,0)","base_T_ee(0,1)","base_T_ee(0,2)","base_T_ee(0,3)","base_T_ee(1,0)","base_T_ee(1,1)","base_T_ee(1,2)","base_T_ee(1,3)","base_T_ee(2,0)","base_T_ee(2,1)","base_T_ee(2,2)","base_T_ee(2,3)","base_T_ee(3,0)","base_T_ee(3,1)","base_T_ee(3,2)","base_T_ee(3,3)"
1,-0.7259741920941738,-0.6760415848795944,0.12621112441737314,0.3114302262611284,-0.6874892183245214,0.7181766142899199,-0.10761470798457722,-0.20709763746922266,-0.017889860277544578,-0.16489428795611266,-0.9861489880837969,0.36004243004728326,0.0,0.0,0.0,1.0
2,-0.9154069792720925,-0.36826028128087157,0.1625251596857426,0.3367408613803703,-0.3836699208134375,0.9203760025175892,-0.07553413700277202,-0.20388341485891798,-0.12176803424114789,-0.13150049133245206,-0.9838090092169162,0.33657497010381965,0.0,0.0,0.0,1.0
3,-0.840451855042677,-0.4501158604152047,0.3017223749707718,0.23022117802883083,-0.4968179938413927,0.8623733209802825,-0.09738653016127502,-0.20140152293354197,-0.2163621047012089,-0.2317497949602525,-0.9484089161248666,0.32621643913901954,0.0,0.0,0.0,1.0
4,-0.8519952277017437,-0.4676132997068694,0.23546110912570575,0.2906159798985669,-0.5188772747566833,0.8141268541354497,-0.26069875165906314,-0.10827105593709906,-0.06978900855099843,-0.344289510895656,-0.9362661090591171,0.3169327598531046,0.0,0.0,0.0,1.0
5,-0.9466990084954928,-0.1591316232574388,0.28006805207503294,0.2946619084843452,-0.24597455224705722,0.9185127334452441,-0.30956562817245337,-0.11097716516385438,-0.20798439114633221,-0.3619550869630077,-0.9086974238221934,0.32275952830688537,0.0,0.0,0.0,1.0
6,-0.5180969157968046,-0.7272081349141767,0.450270934390044,0.14007468209402238,-0.8182136645132855,0.5747627887325106,-0.013196055932288259,-0.2559068223146627,-0.24920269871247253,-0.37525466713029976,-0.8927944610890843,0.31869322987486376,0.0,0.0,0.0,1.0
7,-0.2869547014836219,-0.8307631647848435,0.47695865998335424,0.0955677057651089,-0.9578495103607572,0.255831407881951,-0.13066983677496943,-0.277949431602085,-0.013465318343937716,-0.4943509429320536,-0.8691581158938149,0.32596109803705825,0.0,0.0,0.0,1.0
8,-0.5504056456045248,-0.8172281622539547,0.17085595133237308,0.2892572040473823,-0.8347671911253217,0.5350594909392641,-0.12990410992942492,-0.20258025093771684,0.014743198683016406,-0.21412489807315604,-0.9766950220604964,0.3711328133696139,0.0,0.0,0.0,1.0
9,-0.8128773531810579,-0.5665109229131227,0.13526190485676126,0.3016756068985832,-0.5804292760470948,0.8071865366575329,-0.10747907027073851,-0.2041680474099202,-0.04829352123010944,-0.1658772716767998,-0.9849631803007959,0.3398960369488216,0.0,0.0,0.0,1.0
10,-0.7114407858055072,-0.6186905538712488,0.3332776722838327,0.24055506355253947,-0.685691815988603,0.7149909181304852,-0.13643577418396405,-0.19524218407425098,-0.1538789842008792,-0.3255917467341778,-0.9329047500575246,0.26020567761555013,0.0,0.0,0.0,1.0
