capture_index,"base_T_ee(0,0)","base_T_ee(0,1)","base_T_ee(0,2)","base_T_ee(0,3)","base_T_ee(1,0)","base_T_ee(1,1)","base_T_ee(1,2)","base_T_ee(1,3)","base_T_ee(2,0)","base_T_ee(2,1)","base_T_ee(2,2)","base_T_ee(2,3)","base_T_ee(3,0)","base_T_ee(3,1)","base_T_ee(3,2)","base_T_ee(3,3)"
1,-0.009335820046091903,0.9999562157826849,-0.0006395167226260629,0.04613802250307191,0.9995749049637515,0.009349921069964462,0.02761500213093762,-0.3430191770269589,0.027619772460562655,-0.0003814361767748072,-0.9996184285394452,0.3951560480191214,0.0,0.0,0.0,1.0
2,-0.21695344118167437,0.9761574444833362,0.006917220481697614,0.10476670284126317,0.9746824818488086,0.21700735205800648,-0.053868995997882405,-0.3020099574879776,-0.05408570917051055,-0.004944970428145998,-0.9985240524549159,0.4518807605202629,0.0,0.0,0.0,1.0
3,0.34083537076362547,0.9398749791640971,0.021593368836505658,0.07398437108582923,0.9400812026101727,-0.3405137271800981,-0.017254973223072255,-0.35256896261027604,-0.008864679093618977,0.026180625340229538,-0.9996179231693285,0.40315613075561074,0.0,0.0,0.0,1.0
4,-0.06560460914699706,0.9853538814978119,0.15739683438959512,0.009938316022215623,0.9954327124052756,0.053663633545060985,0.07895523737040565,-0.3435470785582868,0.0693523635656744,0.16185778526823247,-0.984374068642565,0.4035475900111577,0.0,0.0,0.0,1.0
5,-0.7875346802699876,0.563420857078422,-0.24969194056089355,0.19719292161397478,0.5987585648309348,0.7954392008755099,-0.09361975620631294,-0.24640632775488297,0.14586743438357874,-0.22323399275098457,-0.9637890205158003,0.4436847450365595,0.0,0.0,0.0,1.0
6,-0.5229245690695263,0.8297506151500719,-0.19509949185358577,0.10168239483574609,0.8117945714844078,0.5545914602874246,0.18280559587908934,-0.30959224429966375,0.2598835677219644,-0.06278717093753658,-0.9635965454451171,0.3699543809767013,0.0,0.0,0.0,1.0
7,-0.4544223940268409,0.8496812327524584,0.26747353236381477,-0.04057720808610296,0.8866723793382573,0.4602759469181903,0.04425092549536219,-0.29412829247910866,-0.08551245245897163,0.25727000485253787,-0.9625485780352216,0.4324663780927428,0.0,0.0,0.0,1.0
8,-0.23099425199091372,0.9714326755592902,-0.05440783402118588,0.14649172588143083,0.9704458283011667,0.22602440932123624,-0.08454502187502738,-0.2748582647300615,-0.06983229825819018,-0.0723292696403395,-0.9949331268348011,0.45201760372537075,0.0,0.0,0.0,1.0
9,-0.1248389020754469,0.9731373892891504,-0.19343957737777823,0.13371408100099486,0.9864767123210223,0.14260878633005714,0.08078632377930599,-0.32867284750608083,0.106202375570906,-0.18073836236107854,-0.9777804967343804,0.3736650224005742,0.0,0.0,0.0,1.0
10,-0.048815541874285384,0.9946674686930219,-0.09084970883462312,0.10739304411551319,0.9880645443782434,0.061395237196308905,0.14127661162493577,-0.36277976494688563,0.14610098909361935,-0.08286888181594378,-0.9857927010342697,0.32570813549127264,0.0,0.0,0.0,1.0
