Time,ForceReading
0.0,3.0
0.001,10.0
0.002,16.0
0.003,22.0
0.004,27.0
0.005,31.0
0.006,33.0
0.007,33.0
0.008,37.0
0.009,37.0
0.01,37.0
0.011,39.0
0.012,40.0
0.013,40.0
0.014,40.0
0.015,41.0
0.016,39.0
0.017,38.0
0.018,40.0
0.019,39.0
0.02,38.0
0.021,40.0
0.022,42.0
0.023,44.0
0.024,45.0
0.025,45.0
0.026,47.0
0.027,46.0
0.028,46.0
0.029,47.0
0.03,49.0
0.031,49.0
0.032,49.0
0.033,49.0
0.034,48.0
0.035,49.0
0.036,49.0
0.037,48.0
0.038,50.0
0.039,53.0
0.04,52.0
0.041,52.0
0.042,53.0
0.043,55.0
0.044,54.0
0.045,56.0
0.046,59.0
0.047,59.0
0.048,59.0
0.049,61.0
0.05,64.0
0.051,70.0
0.052,72.0
0.053,66.0
0.054,61.0
0.055,59.0
0.056,59.0
0.057,58.0
0.058,55.0
0.059,54.0
0.06,54.0
0.061,54.0
0.062,55.0
0.063,59.0
0.064,62.0
0.065,64.0
0.066,66.0
0.067,68.0
0.068,77.0
0.069,79.0
0.07,82.0
0.071,84.0
0.072,84.0
0.073,86.0
0.074,89.0
0.075,90.0
0.076,89.0
0.077,84.0
0.078,78.0
0.079,75.0
0.08,67.0
0.081,60.0
0.082,52.0
0.083,51.0
0.084,50.0
0.085,62.0
0.086,69.0
0.087,74.0
0.088,79.0
0.089,82.0
0.09,82.0
0.091,85.0
0.092,88.0
0.093,91.0
0.094,91.0
0.095,96.0
0.096,97.0
0.097,98.0
0.098,100.0
0.099,104.0
0.1,109.0
0.101,112.0
0.102,116.0
0.103,123.0
0.104,125.0
0.105,129.0
0.106,129.0
0.107,132.0
0.108,132.0
0.109,134.0
0.11,137.0
0.111,138.0
0.112,140.0
0.113,143.0
0.114,144.0
0.115,144.0
0.116,146.0
0.117,146.0
0.118,148.0
0.119,145.0
0.12,141.0
0.121,138.0
0.122,132.0
0.123,109.0
0.124,108.0
0.125,106.0
0.126,108.0
0.127,111.0
0.128,111.0
0.129,115.0
0.13,117.0
0.131,121.0
0.132,124.0
0.133,123.0
0.134,128.0
0.135,130.0
0.136,138.0
0.137,145.0
0.138,157.0
0.139,163.0
0.14,166.0
0.141,169.0
0.142,172.0
0.143,174.0
0.144,175.0
0.145,179.0
0.146,183.0
0.147,184.0
0.148,186.0
0.149,187.0
0.15,188.0
0.151,190.0
0.152,192.0
0.153,192.0
0.154,194.0
0.155,196.0
0.156,197.0
0.157,199.0
0.158,201.0
0.159,203.0
0.16,206.0
0.161,206.0
0.162,208.0
0.163,209.0
0.164,210.0
0.165,212.0
0.166,213.0
0.167,209.0
0.168,187.0
0.169,176.0
0.17,158.0
0.171,135.0
0.172,126.0
0.173,121.0
0.174,123.0
0.175,124.0
0.176,129.0
0.177,143.0
0.178,145.0
0.179,151.0
0.18,153.0
0.181,155.0
0.182,157.0
0.183,160.0
0.184,161.0
0.185,166.0
0.186,168.0
0.187,169.0
0.188,170.0
0.189,171.0
0.19,171.0
0.191,174.0
0.192,177.0
0.193,178.0
0.194,180.0
0.195,183.0
0.196,184.0
0.197,187.0
0.198,192.0
0.199,196.0
0.2,199.0
0.201,199.0
0.202,201.0
0.203,206.0
0.204,207.0
0.205,209.0
0.206,209.0
0.207,210.0
0.208,210.0
0.209,212.0
0.21,212.0
0.211,216.0
0.212,218.0
0.213,219.0
0.214,221.0
0.215,225.0
0.216,227.0
0.217,229.0
0.218,229.0
0.219,231.0
0.22,231.0
0.221,235.0
0.222,236.0
0.223,238.0
0.224,239.0
0.225,241.0
0.226,241.0
0.227,241.0
0.228,243.0
0.229,245.0
0.23,247.0
0.231,249.0
0.232,250.0
0.233,251.0
0.234,253.0
0.235,251.0
0.236,253.0
0.237,255.0
0.238,254.0
0.239,254.0
0.24,252.0
0.241,248.0
0.242,245.0
0.243,240.0
0.244,232.0
0.245,221.0
0.246,219.0
0.247,215.0
0.248,211.0
0.249,213.0
0.25,217.0
0.251,220.0
0.252,222.0
0.253,225.0
0.254,226.0
0.255,228.0
0.256,229.0
0.257,230.0
0.258,232.0
0.259,232.0
0.26,233.0
0.261,235.0
0.262,236.0
0.263,236.0
0.264,237.0
0.265,236.0
0.266,239.0
0.267,239.0
0.268,241.0
0.269,241.0
0.27,244.0
0.271,247.0
0.272,251.0
0.273,252.0
0.274,254.0
0.275,256.0
0.276,256.0
0.277,257.0
0.278,258.0
0.279,259.0
0.28,260.0
0.281,261.0
0.282,260.0
0.283,260.0
0.284,261.0
0.285,260.0
0.286,261.0
0.287,259.0
0.288,260.0
0.289,260.0
0.29,260.0
0.291,262.0
0.292,263.0
0.293,264.0
0.294,265.0
0.295,267.0
0.296,268.0
0.297,268.0
0.298,270.0
0.299,270.0
0.3,270.0
0.301,269.0
0.302,270.0
0.303,270.0
0.304,270.0
0.305,269.0
0.306,269.0
0.307,271.0
0.308,270.0
0.309,268.0
0.31,256.0
0.311,116.0
0.312,149.0
0.313,162.0
0.314,164.0
0.315,144.0
0.316,130.0
0.317,128.0
0.318,117.0
0.319,115.0
0.32,109.0
0.321,108.0
0.322,106.0
0.323,105.0
0.324,105.0
0.325,107.0
0.326,107.0
0.327,107.0
0.328,107.0
0.329,106.0
0.33,108.0
0.331,109.0
0.332,115.0
0.333,116.0
0.334,115.0
0.335,117.0
0.336,118.0
0.337,119.0
0.338,118.0
0.339,116.0
0.34,118.0
0.341,118.0
0.342,116.0
0.343,118.0
0.344,116.0
0.345,118.0
0.346,119.0
0.347,119.0
0.348,118.0
0.349,119.0
0.35,120.0
0.351,121.0
0.352,122.0
0.353,121.0
0.354,121.0
0.355,120.0
0.356,120.0
0.357,120.0
0.358,118.0
0.359,118.0
0.36,118.0
0.361,120.0
0.362,120.0
0.363,119.0
0.364,119.0
0.365,118.0
0.366,120.0
0.367,116.0
0.368,115.0
0.369,113.0
0.37,113.0
0.371,109.0
0.372,107.0
0.373,106.0
0.374,105.0
0.375,106.0
0.376,106.0
0.377,107.0
0.378,106.0
0.379,106.0
0.38,108.0
0.381,108.0
0.382,108.0
0.383,107.0
0.384,107.0
0.385,109.0
0.386,112.0
0.387,113.0
0.388,113.0
0.389,115.0
0.39,113.0
0.391,114.0
0.392,115.0
0.393,115.0
0.394,115.0
0.395,118.0
0.396,116.0
0.397,117.0
0.398,116.0
0.399,116.0
0.4,115.0
