Time,ForceReading
0.0,9.0
0.001,27.0
0.002,42.0
0.003,45.0
0.004,52.0
0.005,55.0
0.006,63.0
0.007,66.0
0.008,73.0
0.009,81.0
0.01,90.0
0.011,116.0
0.012,137.0
0.013,150.0
0.014,160.0
0.015,179.0
0.016,192.0
0.017,207.0
0.018,222.0
0.019,230.0
0.02,238.0
0.021,254.0
0.022,267.0
0.023,279.0
0.024,290.0
0.025,305.0
0.026,319.0
0.027,331.0
0.028,341.0
0.029,347.0
0.03,356.0
0.031,360.0
0.032,366.0
0.033,371.0
0.034,375.0
0.035,385.0
0.036,396.0
0.037,405.0
0.038,416.0
0.039,424.0
0.04,430.0
0.041,437.0
0.042,444.0
0.043,451.0
0.044,457.0
0.045,466.0
0.046,471.0
0.047,477.0
0.048,482.0
0.049,485.0
0.05,489.0
0.051,496.0
0.052,501.0
0.053,507.0
0.054,512.0
0.055,521.0
0.056,526.0
0.057,533.0
0.058,538.0
0.059,542.0
0.06,546.0
0.061,551.0
0.062,556.0
0.063,561.0
0.064,566.0
0.065,571.0
0.066,576.0
0.067,579.0
0.068,582.0
0.069,584.0
0.07,588.0
0.071,591.0
0.072,595.0
0.073,597.0
0.074,599.0
0.075,604.0
0.076,608.0
0.077,611.0
0.078,614.0
0.079,618.0
0.08,620.0
0.081,622.0
0.082,624.0
0.083,626.0
0.084,629.0
0.085,631.0
0.086,633.0
0.087,635.0
0.088,636.0
0.089,637.0
0.09,639.0
0.091,641.0
0.092,642.0
0.093,645.0
0.094,647.0
0.095,647.0
0.096,651.0
0.097,653.0
0.098,655.0
0.099,659.0
0.1,661.0
0.101,665.0
0.102,668.0
0.103,669.0
0.104,671.0
0.105,672.0
0.106,675.0
0.107,679.0
0.108,682.0
0.109,684.0
0.11,687.0
0.111,689.0
0.112,691.0
0.113,694.0
0.114,696.0
0.115,697.0
0.116,700.0
0.117,701.0
0.118,704.0
0.119,707.0
0.12,708.0
0.121,710.0
0.122,712.0
0.123,716.0
0.124,718.0
0.125,721.0
0.126,721.0
0.127,724.0
0.128,725.0
0.129,727.0
0.13,728.0
0.131,730.0
0.132,732.0
0.133,733.0
0.134,735.0
0.135,737.0
0.136,738.0
0.137,740.0
0.138,742.0
0.139,743.0
0.14,746.0
0.141,748.0
0.142,750.0
0.143,752.0
0.144,754.0
0.145,755.0
0.146,756.0
0.147,760.0
0.148,760.0
0.149,762.0
0.15,763.0
0.151,765.0
0.152,767.0
0.153,769.0
0.154,769.0
0.155,771.0
0.156,773.0
0.157,774.0
0.158,776.0
0.159,776.0
0.16,778.0
0.161,780.0
0.162,780.0
0.163,782.0
0.164,782.0
0.165,783.0
0.166,784.0
0.167,785.0
0.168,786.0
0.169,787.0
0.17,788.0
0.171,788.0
0.172,790.0
0.173,789.0
0.174,790.0
0.175,791.0
0.176,793.0
0.177,793.0
0.178,795.0
0.179,795.0
0.18,796.0
0.181,796.0
0.182,796.0
0.183,798.0
0.184,798.0
0.185,798.0
0.186,800.0
0.187,800.0
0.188,801.0
0.189,801.0
0.19,802.0
0.191,803.0
0.192,803.0
0.193,805.0
0.194,806.0
0.195,806.0
0.196,805.0
0.197,806.0
0.198,807.0
0.199,808.0
0.2,808.0
0.201,810.0
0.202,809.0
0.203,811.0
0.204,812.0
0.205,812.0
0.206,813.0
0.207,814.0
0.208,815.0
0.209,815.0
0.21,815.0
0.211,815.0
0.212,816.0
0.213,817.0
0.214,818.0
0.215,818.0
0.216,819.0
0.217,819.0
0.218,819.0
0.219,820.0
0.22,820.0
0.221,821.0
0.222,821.0
0.223,822.0
0.224,822.0
0.225,823.0
0.226,822.0
0.227,824.0
0.228,824.0
0.229,824.0
0.23,824.0
0.231,825.0
0.232,826.0
0.233,826.0
0.234,827.0
0.235,827.0
0.236,828.0
0.237,829.0
0.238,829.0
0.239,829.0
0.24,831.0
0.241,831.0
0.242,833.0
0.243,832.0
0.244,832.0
0.245,834.0
0.246,834.0
0.247,835.0
0.248,835.0
0.249,834.0
0.25,834.0
0.251,835.0
0.252,835.0
0.253,836.0
0.254,837.0
0.255,836.0
0.256,837.0
0.257,837.0
0.258,838.0
0.259,837.0
0.26,839.0
0.261,839.0
0.262,839.0
0.263,839.0
0.264,839.0
0.265,840.0
0.266,840.0
0.267,841.0
0.268,842.0
0.269,842.0
0.27,842.0
0.271,842.0
0.272,843.0
0.273,844.0
0.274,844.0
0.275,843.0
0.276,844.0
0.277,844.0
0.278,846.0
0.279,846.0
0.28,846.0
0.281,847.0
0.282,846.0
0.283,847.0
0.284,848.0
0.285,847.0
0.286,848.0
0.287,849.0
0.288,850.0
0.289,850.0
0.29,850.0
0.291,850.0
0.292,851.0
0.293,851.0
0.294,851.0
0.295,852.0
0.296,852.0
0.297,852.0
0.298,852.0
0.299,853.0
0.3,854.0
0.301,854.0
0.302,854.0
0.303,854.0
0.304,856.0
0.305,855.0
0.306,856.0
0.307,856.0
0.308,857.0
0.309,857.0
0.31,858.0
0.311,858.0
0.312,858.0
0.313,859.0
0.314,860.0
0.315,860.0
0.316,860.0
0.317,860.0
0.318,860.0
0.319,861.0
0.32,862.0
0.321,862.0
0.322,863.0
0.323,863.0
0.324,862.0
0.325,862.0
0.326,863.0
0.327,863.0
0.328,865.0
0.329,864.0
0.33,865.0
0.331,865.0
0.332,866.0
0.333,866.0
0.334,866.0
0.335,866.0
0.336,866.0
0.337,867.0
0.338,868.0
0.339,868.0
0.34,869.0
0.341,868.0
0.342,869.0
0.343,868.0
0.344,869.0
0.345,869.0
0.346,871.0
0.347,871.0
0.348,870.0
0.349,871.0
0.35,871.0
0.351,872.0
0.352,872.0
0.353,872.0
0.354,873.0
0.355,875.0
0.356,875.0
0.357,874.0
0.358,874.0
0.359,875.0
0.36,875.0
0.361,876.0
0.362,875.0
0.363,877.0
0.364,876.0
0.365,877.0
0.366,877.0
0.367,878.0
0.368,878.0
0.369,878.0
0.37,879.0
0.371,878.0
0.372,879.0
0.373,880.0
0.374,879.0
0.375,880.0
0.376,880.0
0.377,881.0
0.378,881.0
0.379,882.0
0.38,882.0
0.381,882.0
0.382,882.0
0.383,882.0
0.384,884.0
0.385,883.0
0.386,884.0
0.387,884.0
0.388,884.0
0.389,885.0
0.39,885.0
0.391,885.0
0.392,885.0
0.393,887.0
0.394,886.0
0.395,888.0
0.396,887.0
0.397,889.0
0.398,888.0
0.399,888.0
0.4,889.0
0.401,889.0
0.402,891.0
0.403,891.0
0.404,890.0
0.405,890.0
0.406,892.0
0.407,891.0
0.408,893.0
0.409,892.0
0.41,893.0
0.411,892.0
0.412,894.0
0.413,893.0
0.414,894.0
0.415,895.0
0.416,894.0
0.417,894.0
0.418,894.0
0.419,895.0
0.42,895.0
0.421,895.0
0.422,895.0
0.423,895.0
0.424,896.0
0.425,897.0
0.426,897.0
0.427,897.0
0.428,897.0
0.429,897.0
0.43,897.0
0.431,898.0
0.432,898.0
0.433,898.0
0.434,898.0
0.435,898.0
0.436,898.0
0.437,900.0
0.438,899.0
0.439,900.0
0.44,900.0
0.441,900.0
0.442,900.0
0.443,900.0
0.444,901.0
0.445,900.0
0.446,900.0
0.447,900.0
0.448,900.0
0.449,900.0
0.45,902.0
0.451,901.0
0.452,901.0
0.453,902.0
0.454,901.0
0.455,903.0
0.456,902.0
0.457,903.0
0.458,903.0
0.459,902.0
0.46,903.0
