Time,ForceReading
0.0,4.0
0.001,16.0
0.002,21.0
0.003,22.0
0.004,25.0
0.005,27.0
0.006,28.0
0.007,29.0
0.008,27.0
0.009,29.0
0.01,29.0
0.011,26.0
0.012,40.0
0.013,56.0
0.014,67.0
0.015,73.0
0.016,86.0
0.017,89.0
0.018,93.0
0.019,107.0
0.02,120.0
0.021,136.0
0.022,151.0
0.023,159.0
0.024,183.0
0.025,192.0
0.026,214.0
0.027,237.0
0.028,247.0
0.029,254.0
0.03,263.0
0.031,272.0
0.032,286.0
0.033,303.0
0.034,319.0
0.035,335.0
0.036,345.0
0.037,358.0
0.038,371.0
0.039,379.0
0.04,385.0
0.041,391.0
0.042,397.0
0.043,403.0
0.044,408.0
0.045,413.0
0.046,420.0
0.047,427.0
0.048,435.0
0.049,443.0
0.05,450.0
0.051,455.0
0.052,459.0
0.053,465.0
0.054,472.0
0.055,478.0
0.056,483.0
0.057,487.0
0.058,491.0
0.059,495.0
0.06,499.0
0.061,504.0
0.062,509.0
0.063,514.0
0.064,518.0
0.065,522.0
0.066,526.0
0.067,530.0
0.068,533.0
0.069,537.0
0.07,541.0
0.071,548.0
0.072,555.0
0.073,562.0
0.074,569.0
0.075,573.0
0.076,578.0
0.077,582.0
0.078,588.0
0.079,591.0
0.08,594.0
0.081,598.0
0.082,603.0
0.083,607.0
0.084,609.0
0.085,614.0
0.086,617.0
0.087,620.0
0.088,623.0
0.089,626.0
0.09,630.0
0.091,634.0
0.092,635.0
0.093,638.0
0.094,641.0
0.095,644.0
0.096,648.0
0.097,650.0
0.098,653.0
0.099,656.0
0.1,658.0
0.101,661.0
0.102,664.0
0.103,666.0
0.104,668.0
0.105,670.0
0.106,672.0
0.107,673.0
0.108,675.0
0.109,676.0
0.11,678.0
0.111,679.0
0.112,681.0
0.113,683.0
0.114,685.0
0.115,687.0
0.116,689.0
0.117,692.0
0.118,693.0
0.119,696.0
0.12,697.0
0.121,700.0
0.122,702.0
0.123,705.0
0.124,706.0
0.125,708.0
0.126,710.0
0.127,712.0
0.128,714.0
0.129,715.0
0.13,716.0
0.131,717.0
0.132,720.0
0.133,721.0
0.134,723.0
0.135,724.0
0.136,726.0
0.137,727.0
0.138,728.0
0.139,729.0
0.14,731.0
0.141,733.0
0.142,735.0
0.143,736.0
0.144,738.0
0.145,740.0
0.146,741.0
0.147,742.0
0.148,745.0
0.149,746.0
0.15,748.0
0.151,749.0
0.152,750.0
0.153,751.0
0.154,752.0
0.155,754.0
0.156,755.0
0.157,757.0
0.158,757.0
0.159,758.0
0.16,759.0
0.161,761.0
0.162,761.0
0.163,761.0
0.164,763.0
0.165,763.0
0.166,765.0
0.167,765.0
0.168,767.0
0.169,767.0
0.17,767.0
0.171,769.0
0.172,769.0
0.173,769.0
0.174,771.0
0.175,772.0
0.176,772.0
0.177,772.0
0.178,773.0
0.179,774.0
0.18,775.0
0.181,776.0
0.182,777.0
0.183,779.0
0.184,780.0
0.185,780.0
0.186,782.0
0.187,782.0
0.188,783.0
0.189,783.0
0.19,784.0
0.191,786.0
0.192,787.0
0.193,789.0
0.194,789.0
0.195,790.0
0.196,790.0
0.197,792.0
0.198,792.0
0.199,793.0
0.2,793.0
0.201,794.0
0.202,794.0
0.203,795.0
0.204,796.0
0.205,796.0
0.206,797.0
0.207,797.0
0.208,798.0
0.209,799.0
0.21,799.0
0.211,800.0
0.212,801.0
0.213,802.0
0.214,803.0
0.215,803.0
0.216,804.0
0.217,804.0
0.218,806.0
0.219,805.0
0.22,806.0
0.221,806.0
0.222,807.0
0.223,808.0
0.224,809.0
0.225,810.0
0.226,810.0
0.227,812.0
0.228,812.0
0.229,813.0
0.23,814.0
0.231,814.0
0.232,815.0
0.233,816.0
0.234,818.0
0.235,818.0
0.236,820.0
0.237,820.0
0.238,820.0
0.239,822.0
0.24,821.0
0.241,823.0
0.242,824.0
0.243,824.0
0.244,825.0
0.245,826.0
0.246,826.0
0.247,827.0
0.248,828.0
0.249,828.0
0.25,828.0
0.251,830.0
0.252,831.0
0.253,830.0
0.254,831.0
0.255,831.0
0.256,832.0
0.257,832.0
0.258,833.0
0.259,834.0
0.26,835.0
0.261,835.0
0.262,834.0
0.263,835.0
0.264,836.0
0.265,837.0
0.266,837.0
0.267,837.0
0.268,838.0
0.269,838.0
0.27,840.0
0.271,839.0
0.272,840.0
0.273,841.0
0.274,840.0
0.275,841.0
0.276,841.0
0.277,843.0
0.278,842.0
0.279,843.0
0.28,843.0
0.281,843.0
0.282,843.0
0.283,844.0
0.284,844.0
0.285,845.0
0.286,845.0
0.287,846.0
0.288,847.0
0.289,848.0
0.29,848.0
0.291,849.0
0.292,849.0
0.293,851.0
0.294,850.0
0.295,851.0
0.296,851.0
0.297,852.0
0.298,852.0
0.299,852.0
0.3,853.0
0.301,853.0
0.302,853.0
0.303,855.0
0.304,855.0
0.305,855.0
0.306,855.0
0.307,856.0
0.308,857.0
0.309,857.0
0.31,857.0
0.311,858.0
0.312,858.0
0.313,858.0
0.314,858.0
0.315,859.0
0.316,858.0
0.317,860.0
0.318,860.0
0.319,861.0
0.32,861.0
0.321,861.0
0.322,861.0
0.323,861.0
0.324,861.0
0.325,862.0
0.326,862.0
0.327,862.0
0.328,863.0
0.329,863.0
0.33,863.0
0.331,864.0
0.332,864.0
0.333,865.0
0.334,865.0
0.335,865.0
0.336,867.0
0.337,866.0
0.338,867.0
0.339,868.0
0.34,867.0
0.341,866.0
0.342,867.0
0.343,867.0
0.344,868.0
0.345,868.0
0.346,867.0
0.347,868.0
0.348,866.0
0.349,869.0
0.35,869.0
0.351,869.0
0.352,869.0
0.353,869.0
0.354,870.0
0.355,871.0
0.356,871.0
0.357,872.0
0.358,871.0
0.359,871.0
0.36,871.0
0.361,872.0
0.362,872.0
0.363,872.0
0.364,872.0
0.365,873.0
0.366,872.0
0.367,872.0
0.368,873.0
0.369,873.0
0.37,873.0
0.371,873.0
0.372,874.0
0.373,873.0
0.374,874.0
0.375,873.0
0.376,874.0
0.377,874.0
0.378,874.0
0.379,875.0
0.38,876.0
0.381,874.0
0.382,874.0
0.383,875.0
0.384,875.0
0.385,874.0
0.386,875.0
0.387,876.0
0.388,875.0
0.389,875.0
0.39,875.0
0.391,875.0
0.392,876.0
0.393,875.0
0.394,875.0
0.395,875.0
0.396,875.0
0.397,875.0
0.398,877.0
0.399,876.0
0.4,876.0
0.401,876.0
0.402,876.0
0.403,877.0
0.404,876.0
0.405,876.0
0.406,877.0
0.407,876.0
0.408,876.0
0.409,876.0
0.41,877.0
0.411,876.0
0.412,877.0
0.413,876.0
0.414,876.0
0.415,876.0
0.416,876.0
0.417,876.0
0.418,877.0
0.419,877.0
0.42,876.0
0.421,876.0
0.422,877.0
0.423,877.0
0.424,877.0
0.425,876.0
0.426,878.0
0.427,876.0
0.428,876.0
0.429,877.0
0.43,878.0
0.431,876.0
0.432,877.0
0.433,877.0
0.434,878.0
0.435,876.0
0.436,877.0
0.437,878.0
0.438,878.0
0.439,878.0
0.44,878.0
0.441,878.0
0.442,877.0
0.443,878.0
0.444,878.0
0.445,878.0
0.446,878.0
0.447,878.0
0.448,877.0
0.449,878.0
0.45,878.0
0.451,877.0
0.452,878.0
0.453,878.0
0.454,877.0
0.455,877.0
