Time,ForceReading
0.0,18.0
0.001,16.0
0.002,9.0
0.003,12.0
0.004,23.0
0.005,25.0
0.006,25.0
0.007,23.0
0.008,24.0
0.009,24.0
0.01,24.0
0.011,23.0
0.012,23.0
0.013,21.0
0.014,20.0
0.015,21.0
0.016,21.0
0.017,23.0
0.018,22.0
0.019,24.0
0.02,24.0
0.021,25.0
0.022,27.0
0.023,29.0
0.024,29.0
0.025,29.0
0.026,37.0
0.027,41.0
0.028,46.0
0.029,46.0
0.03,51.0
0.031,54.0
0.032,58.0
0.033,60.0
0.034,63.0
0.035,68.0
0.036,77.0
0.037,83.0
0.038,88.0
0.039,94.0
0.04,110.0
0.041,116.0
0.042,119.0
0.043,124.0
0.044,124.0
0.045,126.0
0.046,122.0
0.047,117.0
0.048,113.0
0.049,108.0
0.05,108.0
0.051,109.0
0.052,111.0
0.053,115.0
0.054,118.0
0.055,120.0
0.056,123.0
0.057,125.0
0.058,126.0
0.059,126.0
0.06,127.0
0.061,126.0
0.062,122.0
0.063,123.0
0.064,123.0
0.065,122.0
0.066,123.0
0.067,123.0
0.068,124.0
0.069,124.0
0.07,125.0
0.071,126.0
0.072,126.0
0.073,127.0
0.074,128.0
0.075,128.0
0.076,128.0
0.077,128.0
0.078,129.0
0.079,129.0
0.08,128.0
0.081,129.0
0.082,128.0
0.083,129.0
0.084,128.0
0.085,129.0
0.086,130.0
0.087,129.0
0.088,129.0
0.089,130.0
0.09,129.0
0.091,131.0
0.092,130.0
0.093,130.0
0.094,130.0
0.095,131.0
0.096,132.0
0.097,131.0
0.098,131.0
0.099,132.0
0.1,132.0
0.101,132.0
0.102,131.0
0.103,132.0
0.104,132.0
0.105,133.0
0.106,134.0
0.107,135.0
0.108,136.0
0.109,137.0
0.11,139.0
0.111,139.0
0.112,139.0
0.113,138.0
0.114,138.0
0.115,138.0
0.116,139.0
0.117,140.0
0.118,141.0
0.119,143.0
0.12,144.0
0.121,149.0
0.122,150.0
0.123,154.0
0.124,164.0
0.125,175.0
0.126,186.0
0.127,191.0
0.128,205.0
0.129,212.0
0.13,216.0
0.131,223.0
0.132,225.0
0.133,232.0
0.134,234.0
0.135,238.0
0.136,238.0
0.137,238.0
0.138,244.0
0.139,251.0
0.14,262.0
0.141,278.0
0.142,288.0
0.143,295.0
0.144,304.0
0.145,311.0
0.146,319.0
0.147,327.0
0.148,334.0
0.149,343.0
0.15,347.0
0.151,352.0
0.152,353.0
0.153,357.0
0.154,363.0
0.155,369.0
0.156,379.0
0.157,390.0
0.158,396.0
0.159,402.0
0.16,406.0
0.161,413.0
0.162,417.0
0.163,423.0
0.164,426.0
0.165,430.0
0.166,432.0
0.167,438.0
0.168,442.0
0.169,448.0
0.17,455.0
