Time,ForceReading
0.0,4.0
0.001,6.0
0.002,6.0
0.003,8.0
0.004,6.0
0.005,8.0
0.006,9.0
0.007,8.0
0.008,9.0
0.009,9.0
0.01,9.0
0.011,8.0
0.012,8.0
0.013,9.0
0.014,8.0
0.015,9.0
0.016,13.0
0.017,32.0
0.018,41.0
0.019,45.0
0.02,50.0
0.021,57.0
0.022,65.0
0.023,67.0
0.024,65.0
0.025,68.0
0.026,71.0
0.027,71.0
0.028,75.0
0.029,77.0
0.03,80.0
0.031,83.0
0.032,86.0
0.033,89.0
0.034,104.0
0.035,120.0
0.036,137.0
0.037,145.0
0.038,152.0
0.039,161.0
0.04,168.0
0.041,178.0
0.042,187.0
0.043,192.0
0.044,196.0
0.045,199.0
0.046,201.0
0.047,203.0
0.048,202.0
0.049,199.0
0.05,197.0
0.051,195.0
0.052,195.0
0.053,194.0
0.054,194.0
0.055,195.0
0.056,195.0
0.057,197.0
0.058,198.0
0.059,201.0
0.06,202.0
0.061,203.0
0.062,203.0
0.063,203.0
0.064,203.0
0.065,203.0
0.066,201.0
0.067,202.0
0.068,201.0
0.069,201.0
0.07,202.0
0.071,202.0
0.072,201.0
0.073,201.0
0.074,201.0
0.075,202.0
0.076,200.0
0.077,203.0
0.078,202.0
0.079,204.0
0.08,202.0
0.081,203.0
0.082,203.0
0.083,205.0
0.084,205.0
0.085,206.0
0.086,206.0
0.087,206.0
0.088,208.0
0.089,209.0
0.09,208.0
0.091,210.0
0.092,210.0
0.093,212.0
0.094,212.0
0.095,213.0
0.096,212.0
0.097,213.0
0.098,214.0
0.099,214.0
0.1,213.0
0.101,214.0
0.102,217.0
0.103,216.0
0.104,216.0
0.105,216.0
0.106,217.0
0.107,219.0
0.108,220.0
0.109,220.0
0.11,221.0
0.111,223.0
0.112,223.0
0.113,223.0
0.114,223.0
0.115,223.0
0.116,224.0
0.117,224.0
0.118,227.0
0.119,227.0
0.12,228.0
0.121,229.0
0.122,229.0
0.123,232.0
0.124,233.0
0.125,235.0
0.126,235.0
0.127,236.0
0.128,237.0
0.129,239.0
0.13,241.0
0.131,245.0
0.132,246.0
0.133,256.0
0.134,260.0
0.135,268.0
0.136,278.0
0.137,287.0
0.138,297.0
0.139,304.0
0.14,311.0
0.141,317.0
0.142,322.0
0.143,325.0
0.144,328.0
0.145,329.0
0.146,328.0
0.147,328.0
0.148,327.0
0.149,326.0
0.15,326.0
0.151,331.0
0.152,338.0
0.153,343.0
0.154,348.0
0.155,353.0
0.156,358.0
0.157,360.0
0.158,365.0
0.159,371.0
0.16,378.0
0.161,384.0
0.162,391.0
0.163,399.0
0.164,404.0
0.165,407.0
