Time,ForceReading
0.0,19.0
0.001,42.0
0.002,52.0
0.003,63.0
0.004,84.0
0.005,98.0
0.006,110.0
0.007,122.0
0.008,143.0
0.009,159.0
0.01,178.0
0.011,198.0
0.012,213.0
0.013,221.0
0.014,230.0
0.015,237.0
0.016,240.0
0.017,242.0
0.018,243.0
0.019,246.0
0.02,249.0
0.021,250.0
0.022,253.0
0.023,255.0
0.024,259.0
0.025,262.0
0.026,267.0
0.027,274.0
0.028,281.0
0.029,284.0
0.03,288.0
0.031,290.0
0.032,290.0
0.033,291.0
0.034,291.0
0.035,291.0
0.036,288.0
0.037,289.0
0.038,289.0
0.039,290.0
0.04,291.0
0.041,290.0
0.042,291.0
0.043,293.0
0.044,296.0
0.045,298.0
0.046,300.0
0.047,302.0
0.048,305.0
0.049,308.0
0.05,308.0
0.051,310.0
0.052,312.0
0.053,312.0
0.054,316.0
0.055,317.0
0.056,319.0
0.057,320.0
0.058,319.0
0.059,321.0
0.06,323.0
0.061,324.0
0.062,324.0
0.063,326.0
0.064,328.0
0.065,329.0
0.066,331.0
0.067,333.0
0.068,335.0
0.069,342.0
0.07,351.0
0.071,360.0
0.072,373.0
0.073,382.0
0.074,391.0
0.075,401.0
0.076,408.0
0.077,413.0
0.078,417.0
0.079,419.0
0.08,421.0
0.081,420.0
0.082,420.0
0.083,418.0
0.084,416.0
0.085,415.0
0.086,413.0
0.087,413.0
0.088,414.0
0.089,415.0
0.09,416.0
0.091,418.0
0.092,419.0
0.093,422.0
0.094,422.0
0.095,424.0
0.096,422.0
0.097,422.0
0.098,422.0
0.099,421.0
0.1,420.0
0.101,421.0
0.102,420.0
0.103,420.0
0.104,420.0
0.105,420.0
0.106,421.0
0.107,420.0
0.108,420.0
0.109,421.0
0.11,421.0
0.111,421.0
0.112,421.0
0.113,422.0
0.114,421.0
0.115,423.0
0.116,423.0
0.117,423.0
0.118,423.0
0.119,424.0
0.12,423.0
0.121,422.0
0.122,423.0
0.123,423.0
0.124,422.0
0.125,423.0
0.126,423.0
0.127,422.0
0.128,424.0
0.129,424.0
0.13,424.0
0.131,424.0
0.132,425.0
0.133,424.0
0.134,426.0
0.135,426.0
0.136,425.0
0.137,426.0
0.138,426.0
0.139,426.0
0.14,426.0
0.141,425.0
0.142,426.0
0.143,425.0
0.144,425.0
0.145,426.0
0.146,427.0
0.147,427.0
0.148,426.0
0.149,427.0
0.15,428.0
0.151,429.0
0.152,429.0
0.153,430.0
0.154,431.0
0.155,433.0
0.156,434.0
0.157,436.0
0.158,438.0
0.159,443.0
0.16,444.0
0.161,448.0
0.162,452.0
0.163,459.0
0.164,467.0
0.165,474.0
0.166,481.0
0.167,489.0
0.168,496.0
0.169,502.0
0.17,510.0
0.171,514.0
0.172,522.0
0.173,527.0
0.174,533.0
0.175,536.0
0.176,540.0
0.177,542.0
0.178,543.0
0.179,544.0
0.18,543.0
0.181,546.0
0.182,550.0
0.183,557.0
0.184,563.0
0.185,570.0
0.186,575.0
0.187,581.0
0.188,586.0
0.189,592.0
0.19,596.0
0.191,601.0
0.192,608.0
0.193,616.0
0.194,621.0
0.195,625.0
0.196,628.0
0.197,632.0
0.198,634.0
0.199,637.0
0.2,640.0
0.201,644.0
0.202,647.0
0.203,651.0
0.204,653.0
0.205,656.0
0.206,661.0
0.207,663.0
0.208,666.0
0.209,669.0
0.21,673.0
0.211,675.0
0.212,678.0
0.213,680.0
0.214,682.0
0.215,685.0
0.216,687.0
0.217,689.0
0.218,691.0
0.219,693.0
0.22,694.0
0.221,697.0
0.222,698.0
0.223,700.0
0.224,701.0
0.225,704.0
0.226,707.0
0.227,710.0
0.228,711.0
0.229,714.0
0.23,717.0
0.231,719.0
0.232,721.0
0.233,724.0
0.234,726.0
0.235,728.0
0.236,729.0
0.237,731.0
0.238,733.0
0.239,734.0
0.24,735.0
0.241,738.0
0.242,739.0
0.243,740.0
0.244,742.0
0.245,745.0
0.246,746.0
0.247,748.0
0.248,749.0
0.249,751.0
0.25,751.0
0.251,753.0
0.252,755.0
0.253,756.0
0.254,757.0
0.255,759.0
0.256,759.0
0.257,762.0
0.258,763.0
0.259,763.0
0.26,764.0
0.261,765.0
0.262,766.0
0.263,767.0
0.264,768.0
0.265,768.0
0.266,770.0
0.267,770.0
0.268,772.0
0.269,774.0
0.27,774.0
0.271,776.0
0.272,778.0
0.273,778.0
0.274,779.0
0.275,781.0
0.276,781.0
0.277,782.0
0.278,783.0
0.279,784.0
0.28,785.0
0.281,785.0
0.282,785.0
0.283,786.0
0.284,785.0
0.285,786.0
0.286,788.0
0.287,787.0
0.288,789.0
0.289,790.0
0.29,790.0
0.291,791.0
0.292,792.0
0.293,792.0
0.294,794.0
0.295,794.0
0.296,795.0
0.297,795.0
0.298,797.0
0.299,798.0
0.3,799.0
0.301,799.0
0.302,800.0
0.303,801.0
0.304,801.0
0.305,801.0
0.306,802.0
0.307,803.0
0.308,803.0
0.309,803.0
0.31,805.0
0.311,805.0
0.312,806.0
0.313,808.0
0.314,808.0
0.315,808.0
0.316,809.0
0.317,809.0
0.318,810.0
0.319,811.0
0.32,811.0
0.321,813.0
0.322,812.0
0.323,813.0
0.324,813.0
0.325,813.0
0.326,815.0
0.327,814.0
0.328,815.0
0.329,816.0
0.33,817.0
0.331,816.0
0.332,817.0
0.333,819.0
0.334,819.0
0.335,819.0
0.336,819.0
0.337,819.0
0.338,820.0
0.339,821.0
0.34,820.0
0.341,822.0
0.342,822.0
0.343,822.0
0.344,822.0
0.345,823.0
0.346,823.0
0.347,823.0
0.348,824.0
0.349,825.0
0.35,825.0
0.351,825.0
0.352,826.0
0.353,826.0
0.354,826.0
0.355,827.0
0.356,827.0
0.357,828.0
0.358,828.0
0.359,828.0
0.36,828.0
0.361,828.0
0.362,828.0
0.363,828.0
0.364,830.0
0.365,830.0
0.366,829.0
0.367,830.0
0.368,830.0
0.369,831.0
0.37,831.0
0.371,833.0
0.372,833.0
0.373,833.0
0.374,833.0
0.375,834.0
0.376,834.0
0.377,836.0
0.378,836.0
0.379,836.0
0.38,836.0
0.381,836.0
0.382,837.0
0.383,836.0
0.384,838.0
0.385,837.0
0.386,839.0
0.387,838.0
0.388,839.0
0.389,839.0
0.39,839.0
0.391,840.0
0.392,840.0
0.393,842.0
0.394,842.0
0.395,842.0
0.396,842.0
0.397,842.0
0.398,842.0
0.399,842.0
0.4,843.0
0.401,843.0
0.402,843.0
0.403,843.0
0.404,844.0
0.405,844.0
0.406,845.0
0.407,843.0
0.408,845.0
0.409,845.0
0.41,845.0
0.411,846.0
0.412,846.0
0.413,847.0
0.414,847.0
0.415,847.0
0.416,848.0
0.417,847.0
0.418,848.0
0.419,848.0
0.42,847.0
0.421,848.0
0.422,848.0
0.423,848.0
0.424,849.0
0.425,850.0
0.426,849.0
0.427,849.0
0.428,850.0
0.429,851.0
0.43,851.0
0.431,851.0
0.432,851.0
0.433,851.0
0.434,851.0
0.435,851.0
0.436,852.0
0.437,852.0
0.438,853.0
0.439,853.0
0.44,853.0
0.441,853.0
0.442,855.0
0.443,854.0
0.444,855.0
0.445,854.0
0.446,856.0
0.447,855.0
0.448,855.0
0.449,856.0
0.45,856.0
0.451,857.0
0.452,856.0
0.453,856.0
0.454,857.0
0.455,858.0
0.456,857.0
0.457,858.0
0.458,857.0
0.459,858.0
0.46,858.0
0.461,858.0
0.462,859.0
0.463,859.0
0.464,860.0
0.465,859.0
0.466,860.0
0.467,859.0
0.468,860.0
0.469,860.0
0.47,861.0
0.471,862.0
0.472,862.0
0.473,861.0
0.474,863.0
0.475,862.0
0.476,863.0
0.477,862.0
0.478,864.0
0.479,863.0
0.48,863.0
0.481,863.0
0.482,864.0
0.483,864.0
0.484,864.0
0.485,864.0
0.486,864.0
0.487,864.0
0.488,866.0
0.489,865.0
0.49,865.0
0.491,866.0
0.492,865.0
0.493,865.0
0.494,866.0
0.495,866.0
0.496,866.0
0.497,867.0
0.498,868.0
0.499,867.0
0.5,867.0
0.501,867.0
0.502,867.0
0.503,867.0
0.504,868.0
0.505,869.0
0.506,868.0
0.507,868.0
0.508,869.0
0.509,869.0
0.51,869.0
0.511,869.0
0.512,869.0
0.513,869.0
0.514,870.0
0.515,871.0
0.516,871.0
0.517,872.0
0.518,870.0
0.519,871.0
0.52,871.0
0.521,872.0
0.522,871.0
0.523,871.0
0.524,872.0
0.525,873.0
0.526,872.0
0.527,872.0
0.528,874.0
0.529,873.0
0.53,873.0
0.531,873.0
0.532,874.0
0.533,873.0
0.534,873.0
0.535,874.0
0.536,875.0
0.537,874.0
0.538,875.0
0.539,875.0
0.54,875.0
0.541,875.0
0.542,875.0
0.543,876.0
0.544,876.0
0.545,877.0
0.546,876.0
0.547,877.0
0.548,876.0
0.549,877.0
0.55,877.0
0.551,878.0
0.552,879.0
0.553,877.0
0.554,877.0
0.555,878.0
0.556,878.0
0.557,878.0
0.558,879.0
0.559,879.0
0.56,879.0
0.561,880.0
0.562,880.0
0.563,880.0
0.564,880.0
0.565,880.0
0.566,882.0
0.567,881.0
0.568,882.0
0.569,881.0
0.57,882.0
0.571,882.0
0.572,882.0
0.573,883.0
0.574,882.0
0.575,883.0
0.576,884.0
0.577,883.0
0.578,883.0
0.579,883.0
0.58,885.0
0.581,884.0
0.582,884.0
0.583,884.0
0.584,884.0
0.585,884.0
0.586,885.0
0.587,884.0
0.588,885.0
0.589,886.0
0.59,885.0
0.591,885.0
0.592,885.0
0.593,886.0
0.594,886.0
0.595,886.0
0.596,888.0
0.597,887.0
0.598,887.0
0.599,887.0
0.6,887.0
0.601,887.0
0.602,888.0
0.603,887.0
0.604,888.0
0.605,888.0
0.606,888.0
0.607,889.0
0.608,889.0
0.609,889.0
0.61,888.0
0.611,889.0
0.612,889.0
0.613,890.0
0.614,890.0
0.615,890.0
0.616,890.0
0.617,891.0
0.618,890.0
0.619,891.0
0.62,891.0
0.621,892.0
0.622,890.0
0.623,892.0
0.624,891.0
0.625,891.0
0.626,891.0
0.627,891.0
0.628,891.0
0.629,892.0
0.63,891.0
0.631,891.0
0.632,891.0
0.633,892.0
0.634,892.0
0.635,892.0
0.636,892.0
0.637,892.0
0.638,892.0
0.639,891.0
0.64,891.0
0.641,891.0
0.642,892.0
0.643,892.0
0.644,892.0
0.645,893.0
0.646,892.0
0.647,894.0
0.648,892.0
0.649,893.0
0.65,893.0
0.651,893.0
0.652,894.0
0.653,893.0
0.654,892.0
0.655,893.0
0.656,893.0
0.657,893.0
0.658,893.0
0.659,893.0
0.66,894.0
0.661,893.0
0.662,893.0
0.663,893.0
0.664,893.0
0.665,893.0
0.666,892.0
0.667,893.0
0.668,893.0
0.669,893.0
0.67,894.0
0.671,893.0
0.672,894.0
0.673,893.0
0.674,893.0
0.675,895.0
0.676,893.0
0.677,894.0
0.678,893.0
0.679,895.0
0.68,894.0
0.681,893.0
0.682,894.0
0.683,895.0
0.684,895.0
0.685,893.0
0.686,893.0
0.687,894.0
0.688,894.0
0.689,894.0
0.69,895.0
0.691,894.0
0.692,894.0
0.693,895.0
0.694,896.0
0.695,894.0
0.696,895.0
0.697,895.0
0.698,895.0
0.699,894.0
0.7,894.0
0.701,894.0
0.702,894.0
0.703,895.0
0.704,895.0
0.705,894.0
0.706,894.0
0.707,894.0
0.708,895.0
0.709,894.0
0.71,894.0
0.711,896.0
0.712,894.0
0.713,896.0
0.714,895.0
0.715,895.0
0.716,895.0
0.717,895.0
0.718,895.0
0.719,895.0
0.72,895.0
0.721,895.0
0.722,895.0
0.723,895.0
0.724,896.0
0.725,895.0
0.726,895.0
0.727,896.0
0.728,895.0
0.729,896.0
0.73,896.0
0.731,896.0
0.732,894.0
0.733,896.0
0.734,896.0
0.735,896.0
0.736,895.0
0.737,896.0
0.738,896.0
0.739,895.0
0.74,897.0
0.741,895.0
0.742,895.0
0.743,896.0
0.744,895.0
0.745,895.0
0.746,895.0
0.747,896.0
0.748,895.0
0.749,895.0
0.75,895.0
0.751,896.0
0.752,896.0
0.753,895.0
0.754,897.0
0.755,896.0
0.756,897.0
0.757,896.0
0.758,896.0
0.759,896.0
0.76,896.0
0.761,896.0
0.762,896.0
0.763,895.0
0.764,896.0
0.765,896.0
0.766,896.0
0.767,896.0
0.768,897.0
0.769,896.0
0.77,896.0
0.771,897.0
0.772,896.0
0.773,896.0
0.774,897.0
0.775,896.0
0.776,897.0
0.777,896.0
0.778,896.0
0.779,896.0
0.78,897.0
0.781,896.0
0.782,896.0
0.783,896.0
0.784,896.0
0.785,896.0
0.786,896.0
0.787,896.0
0.788,897.0
0.789,896.0
0.79,896.0
0.791,897.0
0.792,896.0
0.793,898.0
0.794,896.0
0.795,896.0
0.796,896.0
0.797,897.0
0.798,896.0
0.799,897.0
0.8,896.0
0.801,896.0
0.802,897.0
0.803,897.0
0.804,895.0
0.805,896.0
0.806,896.0
0.807,896.0
0.808,896.0
0.809,897.0
0.81,896.0
0.811,897.0
0.812,897.0
0.813,896.0
0.814,897.0
0.815,897.0
0.816,897.0
0.817,897.0
0.818,897.0
0.819,897.0
0.82,897.0
0.821,896.0
0.822,896.0
0.823,897.0
0.824,896.0
0.825,897.0
0.826,897.0
0.827,896.0
0.828,896.0
0.829,897.0
0.83,897.0
0.831,897.0
0.832,897.0
0.833,896.0
0.834,897.0
0.835,897.0
0.836,898.0
0.837,897.0
0.838,898.0
0.839,897.0
0.84,897.0
0.841,897.0
0.842,898.0
0.843,897.0
0.844,898.0
0.845,897.0
0.846,897.0
0.847,898.0
0.848,897.0
0.849,898.0
0.85,898.0
0.851,898.0
0.852,898.0
0.853,898.0
0.854,898.0
0.855,897.0
0.856,898.0
0.857,898.0
0.858,897.0
0.859,898.0
0.86,897.0
0.861,897.0
0.862,899.0
0.863,897.0
0.864,898.0
0.865,898.0
0.866,898.0
0.867,897.0
0.868,899.0
0.869,898.0
0.87,898.0
0.871,898.0
0.872,898.0
0.873,899.0
0.874,898.0
0.875,899.0
0.876,898.0
0.877,898.0
0.878,899.0
0.879,898.0
0.88,898.0
0.881,898.0
0.882,899.0
0.883,898.0
0.884,899.0
0.885,899.0
0.886,898.0
0.887,897.0
0.888,899.0
0.889,898.0
0.89,898.0
0.891,898.0
0.892,898.0
0.893,898.0
0.894,898.0
0.895,899.0
0.896,898.0
0.897,900.0
0.898,899.0
0.899,899.0
0.9,899.0
0.901,898.0
0.902,899.0
0.903,898.0
0.904,899.0
0.905,899.0
0.906,899.0
0.907,899.0
0.908,899.0
0.909,899.0
0.91,898.0
0.911,899.0
0.912,898.0
0.913,898.0
0.914,898.0
0.915,899.0
0.916,898.0
0.917,900.0
0.918,898.0
0.919,899.0
0.92,898.0
0.921,898.0
0.922,898.0
0.923,899.0
0.924,900.0
0.925,899.0
0.926,899.0
0.927,899.0
0.928,899.0
0.929,900.0
0.93,900.0
0.931,899.0
0.932,899.0
0.933,899.0
0.934,899.0
0.935,898.0
0.936,899.0
0.937,898.0
0.938,900.0
0.939,900.0
0.94,899.0
0.941,900.0
0.942,899.0
0.943,899.0
0.944,900.0
0.945,900.0
0.946,899.0
0.947,899.0
0.948,899.0
0.949,899.0
0.95,899.0
0.951,900.0
0.952,898.0
0.953,899.0
0.954,899.0
0.955,899.0
0.956,899.0
0.957,899.0
0.958,899.0
0.959,899.0
0.96,898.0
0.961,899.0
0.962,900.0
0.963,898.0
0.964,899.0
0.965,899.0
0.966,899.0
0.967,899.0
0.968,899.0
0.969,899.0
0.97,900.0
0.971,899.0
0.972,900.0
0.973,899.0
0.974,901.0
0.975,899.0
0.976,899.0
0.977,900.0
0.978,900.0
0.979,899.0
0.98,899.0
0.981,899.0
0.982,900.0
0.983,899.0
0.984,898.0
0.985,900.0
0.986,899.0
0.987,900.0
0.988,899.0
0.989,899.0
0.99,900.0
0.991,899.0
0.992,899.0
0.993,901.0
0.994,899.0
0.995,899.0
0.996,899.0
0.997,899.0
0.998,900.0
0.999,900.0
1.0,899.0
1.001,900.0
1.002,899.0
1.003,899.0
1.004,900.0
1.005,899.0
1.006,899.0
1.007,899.0
1.008,900.0
1.009,899.0
1.01,899.0
1.011,900.0
1.012,899.0
1.013,899.0
1.014,899.0
1.015,899.0
1.016,899.0
1.017,900.0
1.018,900.0
1.019,899.0
1.02,900.0
1.021,899.0
1.022,899.0
1.023,899.0
1.024,899.0
1.025,899.0
1.026,899.0
1.027,900.0
1.028,900.0
1.029,900.0
1.03,899.0
1.031,899.0
1.032,899.0
1.033,899.0
1.034,899.0
1.035,900.0
1.036,899.0
1.037,900.0
1.038,899.0
1.039,900.0
1.04,900.0
1.041,900.0
1.042,900.0
1.043,899.0
1.044,899.0
1.045,899.0
1.046,900.0
1.047,900.0
1.048,899.0
1.049,899.0
1.05,900.0
1.051,899.0
1.052,900.0
1.053,899.0
1.054,900.0
1.055,900.0
1.056,900.0
1.057,900.0
1.058,899.0
1.059,900.0
1.06,900.0
1.061,899.0
1.062,899.0
1.063,900.0
1.064,899.0
1.065,899.0
1.066,899.0
1.067,899.0
1.068,899.0
1.069,899.0
1.07,899.0
1.071,900.0
1.072,900.0
1.073,900.0
1.074,901.0
1.075,900.0
1.076,901.0
1.077,900.0
1.078,901.0
1.079,899.0
1.08,900.0
1.081,900.0
1.082,899.0
1.083,899.0
1.084,900.0
1.085,900.0
1.086,900.0
1.087,899.0
1.088,899.0
1.089,899.0
1.09,899.0
1.091,899.0
1.092,900.0
1.093,900.0
1.094,900.0
1.095,900.0
1.096,901.0
1.097,900.0
1.098,900.0
1.099,900.0
1.1,900.0
1.101,900.0
1.102,900.0
1.103,900.0
1.104,900.0
1.105,900.0
1.106,900.0
1.107,901.0
1.108,900.0
1.109,900.0
1.11,899.0
1.111,899.0
1.112,900.0
1.113,899.0
1.114,899.0
1.115,900.0
1.116,900.0
1.117,901.0
1.118,900.0
1.119,900.0
1.12,899.0
1.121,901.0
1.122,901.0
