Time,ForceReading
0.0,14.0
0.001,25.0
0.002,31.0
0.003,36.0
0.004,42.0
0.005,46.0
0.006,48.0
0.007,50.0
0.008,50.0
0.009,52.0
0.01,54.0
0.011,55.0
0.012,73.0
0.013,82.0
0.014,89.0
0.015,93.0
0.016,100.0
0.017,107.0
0.018,111.0
0.019,114.0
0.02,122.0
0.021,128.0
0.022,138.0
0.023,142.0
0.024,145.0
0.025,148.0
0.026,152.0
0.027,153.0
0.028,155.0
0.029,156.0
0.03,160.0
0.031,167.0
0.032,170.0
0.033,174.0
0.034,181.0
0.035,188.0
0.036,193.0
0.037,199.0
0.038,209.0
0.039,218.0
0.04,223.0
0.041,228.0
0.042,235.0
0.043,243.0
0.044,250.0
0.045,260.0
0.046,267.0
0.047,273.0
0.048,281.0
0.049,284.0
0.05,289.0
0.051,295.0
0.052,299.0
0.053,301.0
0.054,305.0
0.055,309.0
0.056,314.0
0.057,316.0
0.058,318.0
0.059,320.0
0.06,322.0
0.061,323.0
0.062,326.0
0.063,328.0
0.064,330.0
0.065,332.0
0.066,334.0
0.067,335.0
0.068,338.0
0.069,341.0
0.07,342.0
0.071,345.0
0.072,346.0
0.073,349.0
0.074,352.0
0.075,354.0
0.076,357.0
0.077,359.0
0.078,363.0
0.079,362.0
0.08,365.0
0.081,368.0
0.082,370.0
0.083,369.0
0.084,374.0
0.085,376.0
0.086,376.0
0.087,381.0
0.088,385.0
0.089,391.0
0.09,396.0
0.091,401.0
0.092,408.0
0.093,410.0
0.094,416.0
0.095,419.0
0.096,422.0
0.097,426.0
0.098,429.0
0.099,432.0
0.1,434.0
0.101,435.0
0.102,437.0
0.103,440.0
0.104,442.0
0.105,444.0
0.106,447.0
0.107,452.0
0.108,456.0
0.109,460.0
0.11,461.0
0.111,463.0
0.112,465.0
0.113,468.0
0.114,469.0
0.115,472.0
0.116,471.0
0.117,476.0
0.118,479.0
0.119,480.0
0.12,482.0
0.121,484.0
0.122,486.0
0.123,488.0
0.124,489.0
0.125,491.0
0.126,494.0
0.127,496.0
0.128,497.0
0.129,500.0
0.13,503.0
0.131,504.0
0.132,508.0
0.133,510.0
0.134,511.0
0.135,515.0
0.136,519.0
0.137,521.0
0.138,525.0
0.139,529.0
0.14,532.0
0.141,535.0
0.142,537.0
0.143,539.0
0.144,541.0
0.145,544.0
0.146,546.0
0.147,547.0
0.148,550.0
0.149,551.0
0.15,554.0
0.151,556.0
0.152,558.0
0.153,561.0
0.154,564.0
0.155,565.0
0.156,567.0
0.157,567.0
0.158,568.0
0.159,572.0
0.16,573.0
0.161,577.0
0.162,579.0
0.163,581.0
0.164,582.0
0.165,584.0
0.166,587.0
0.167,589.0
0.168,590.0
0.169,592.0
0.17,593.0
0.171,594.0
0.172,596.0
0.173,598.0
0.174,600.0
0.175,601.0
0.176,603.0
0.177,605.0
0.178,607.0
0.179,609.0
0.18,610.0
0.181,612.0
0.182,614.0
0.183,616.0
0.184,618.0
0.185,620.0
0.186,623.0
0.187,625.0
0.188,626.0
0.189,627.0
0.19,629.0
0.191,631.0
0.192,632.0
0.193,633.0
0.194,635.0
0.195,636.0
0.196,639.0
0.197,639.0
0.198,640.0
0.199,642.0
0.2,643.0
0.201,645.0
0.202,647.0
0.203,647.0
0.204,648.0
0.205,649.0
0.206,651.0
0.207,652.0
0.208,653.0
0.209,653.0
0.21,656.0
0.211,657.0
0.212,658.0
0.213,658.0
0.214,660.0
0.215,662.0
0.216,663.0
0.217,663.0
0.218,665.0
0.219,666.0
0.22,666.0
0.221,667.0
0.222,669.0
0.223,672.0
0.224,674.0
0.225,675.0
0.226,677.0
0.227,678.0
0.228,680.0
0.229,681.0
0.23,682.0
0.231,684.0
0.232,685.0
0.233,687.0
0.234,687.0
0.235,689.0
0.236,692.0
0.237,693.0
0.238,693.0
0.239,695.0
0.24,695.0
0.241,697.0
0.242,699.0
0.243,700.0
0.244,703.0
0.245,703.0
0.246,705.0
0.247,706.0
0.248,706.0
0.249,707.0
0.25,708.0
0.251,709.0
0.252,710.0
0.253,711.0
0.254,711.0
0.255,714.0
0.256,714.0
0.257,714.0
0.258,715.0
0.259,716.0
0.26,718.0
0.261,717.0
0.262,719.0
0.263,720.0
0.264,721.0
0.265,721.0
0.266,722.0
0.267,723.0
0.268,723.0
0.269,724.0
0.27,726.0
0.271,726.0
0.272,728.0
0.273,728.0
0.274,729.0
0.275,729.0
0.276,730.0
0.277,731.0
0.278,734.0
0.279,733.0
0.28,735.0
0.281,735.0
0.282,737.0
0.283,737.0
0.284,738.0
0.285,739.0
0.286,740.0
0.287,740.0
0.288,742.0
0.289,741.0
0.29,742.0
0.291,744.0
0.292,745.0
0.293,745.0
0.294,746.0
0.295,746.0
0.296,747.0
0.297,750.0
0.298,751.0
0.299,751.0
0.3,751.0
0.301,752.0
0.302,753.0
0.303,753.0
0.304,755.0
0.305,756.0
0.306,756.0
0.307,757.0
0.308,757.0
0.309,758.0
0.31,758.0
0.311,759.0
0.312,761.0
0.313,760.0
0.314,761.0
0.315,761.0
0.316,763.0
0.317,763.0
0.318,764.0
0.319,765.0
0.32,765.0
0.321,766.0
0.322,766.0
0.323,767.0
0.324,768.0
0.325,767.0
0.326,769.0
0.327,770.0
0.328,770.0
0.329,771.0
0.33,770.0
0.331,772.0
0.332,773.0
0.333,773.0
0.334,774.0
0.335,774.0
0.336,776.0
0.337,777.0
0.338,777.0
0.339,778.0
0.34,780.0
0.341,779.0
0.342,780.0
0.343,781.0
0.344,781.0
0.345,783.0
0.346,782.0
0.347,783.0
0.348,784.0
0.349,785.0
0.35,785.0
0.351,785.0
0.352,786.0
0.353,787.0
0.354,788.0
0.355,789.0
0.356,789.0
0.357,789.0
0.358,790.0
0.359,790.0
0.36,790.0
0.361,791.0
0.362,791.0
0.363,792.0
0.364,793.0
0.365,793.0
0.366,794.0
0.367,794.0
0.368,796.0
0.369,795.0
0.37,795.0
0.371,796.0
0.372,796.0
0.373,798.0
0.374,797.0
0.375,798.0
0.376,798.0
0.377,799.0
0.378,800.0
0.379,800.0
0.38,800.0
0.381,800.0
0.382,800.0
0.383,801.0
0.384,802.0
0.385,802.0
0.386,802.0
0.387,802.0
0.388,803.0
0.389,803.0
0.39,803.0
0.391,804.0
0.392,804.0
0.393,805.0
0.394,805.0
0.395,806.0
0.396,806.0
0.397,807.0
0.398,807.0
0.399,807.0
0.4,807.0
0.401,808.0
0.402,808.0
0.403,809.0
0.404,808.0
0.405,808.0
0.406,810.0
0.407,809.0
0.408,809.0
0.409,809.0
0.41,809.0
0.411,809.0
0.412,811.0
0.413,811.0
0.414,811.0
0.415,812.0
0.416,812.0
0.417,812.0
0.418,812.0
0.419,813.0
0.42,812.0
0.421,812.0
0.422,814.0
0.423,813.0
0.424,813.0
0.425,813.0
0.426,815.0
0.427,814.0
0.428,815.0
0.429,814.0
0.43,815.0
0.431,817.0
0.432,816.0
0.433,816.0
0.434,816.0
0.435,818.0
0.436,818.0
0.437,818.0
0.438,818.0
0.439,818.0
0.44,819.0
0.441,820.0
0.442,820.0
0.443,820.0
0.444,820.0
0.445,820.0
0.446,820.0
0.447,820.0
0.448,820.0
0.449,820.0
0.45,821.0
0.451,822.0
0.452,822.0
0.453,823.0
0.454,823.0
0.455,822.0
0.456,822.0
0.457,823.0
0.458,822.0
0.459,823.0
0.46,823.0
0.461,823.0
0.462,824.0
0.463,824.0
0.464,824.0
0.465,824.0
0.466,825.0
0.467,824.0
0.468,824.0
0.469,824.0
0.47,825.0
0.471,824.0
0.472,825.0
0.473,825.0
0.474,825.0
0.475,825.0
0.476,826.0
0.477,825.0
0.478,825.0
0.479,825.0
0.48,826.0
0.481,826.0
0.482,826.0
0.483,826.0
0.484,826.0
0.485,826.0
0.486,826.0
0.487,826.0
0.488,826.0
0.489,826.0
0.49,826.0
0.491,826.0
0.492,827.0
0.493,827.0
0.494,827.0
0.495,827.0
0.496,827.0
0.497,828.0
0.498,828.0
0.499,827.0
0.5,827.0
0.501,828.0
0.502,829.0
0.503,828.0
0.504,828.0
0.505,827.0
0.506,827.0
0.507,828.0
0.508,827.0
0.509,828.0
0.51,827.0
0.511,828.0
0.512,828.0
0.513,828.0
0.514,828.0
0.515,829.0
0.516,828.0
0.517,828.0
0.518,828.0
0.519,828.0
0.52,829.0
0.521,828.0
0.522,828.0
0.523,830.0
0.524,828.0
0.525,828.0
0.526,828.0
0.527,829.0
0.528,829.0
0.529,829.0
0.53,828.0
0.531,828.0
0.532,828.0
0.533,828.0
0.534,828.0
0.535,829.0
0.536,829.0
0.537,828.0
0.538,830.0
0.539,829.0
0.54,830.0
0.541,830.0
0.542,830.0
0.543,829.0
0.544,830.0
0.545,829.0
0.546,829.0
0.547,830.0
0.548,829.0
0.549,830.0
0.55,830.0
0.551,830.0
0.552,830.0
0.553,830.0
0.554,830.0
0.555,831.0
0.556,830.0
0.557,830.0
0.558,830.0
0.559,830.0
0.56,830.0
0.561,831.0
0.562,830.0
0.563,830.0
0.564,830.0
0.565,830.0
0.566,829.0
0.567,830.0
0.568,830.0
0.569,831.0
0.57,831.0
0.571,831.0
0.572,831.0
0.573,831.0
0.574,831.0
0.575,830.0
0.576,831.0
0.577,830.0
0.578,830.0
0.579,831.0
0.58,831.0
0.581,831.0
0.582,831.0
0.583,831.0
0.584,831.0
0.585,831.0
0.586,831.0
0.587,831.0
0.588,831.0
0.589,831.0
0.59,831.0
0.591,831.0
0.592,831.0
0.593,831.0
0.594,831.0
0.595,832.0
0.596,831.0
0.597,832.0
0.598,831.0
0.599,831.0
0.6,832.0
0.601,831.0
0.602,831.0
0.603,831.0
0.604,831.0
0.605,831.0
0.606,832.0
0.607,831.0
0.608,831.0
0.609,832.0
0.61,833.0
0.611,832.0
0.612,832.0
0.613,832.0
0.614,831.0
0.615,832.0
0.616,832.0
0.617,832.0
0.618,833.0
0.619,833.0
0.62,832.0
0.621,833.0
0.622,832.0
0.623,831.0
0.624,833.0
0.625,832.0
0.626,833.0
0.627,832.0
0.628,832.0
0.629,832.0
0.63,832.0
0.631,832.0
0.632,832.0
0.633,831.0
0.634,832.0
0.635,832.0
0.636,832.0
0.637,832.0
0.638,833.0
0.639,832.0
0.64,834.0
0.641,832.0
0.642,834.0
0.643,833.0
0.644,832.0
0.645,832.0
0.646,833.0
0.647,832.0
0.648,832.0
0.649,832.0
0.65,833.0
0.651,833.0
0.652,832.0
0.653,833.0
0.654,834.0
0.655,832.0
0.656,833.0
0.657,833.0
0.658,833.0
0.659,834.0
0.66,834.0
0.661,833.0
0.662,834.0
0.663,834.0
0.664,833.0
0.665,834.0
0.666,833.0
0.667,834.0
0.668,834.0
0.669,834.0
0.67,833.0
0.671,834.0
0.672,833.0
0.673,833.0
0.674,834.0
0.675,833.0
0.676,835.0
0.677,835.0
0.678,834.0
0.679,834.0
0.68,834.0
0.681,834.0
0.682,834.0
0.683,833.0
