Time,ForceReading
0.0,4.0
0.001,13.0
0.002,17.0
0.003,19.0
0.004,20.0
0.005,21.0
0.006,22.0
0.007,25.0
0.008,25.0
0.009,35.0
0.01,45.0
0.011,58.0
0.012,63.0
0.013,63.0
0.014,70.0
0.015,71.0
0.016,76.0
0.017,79.0
0.018,83.0
0.019,90.0
0.02,93.0
0.021,98.0
0.022,101.0
0.023,103.0
0.024,107.0
0.025,108.0
0.026,110.0
0.027,114.0
0.028,120.0
0.029,122.0
0.03,123.0
0.031,124.0
0.032,127.0
0.033,128.0
0.034,136.0
0.035,140.0
0.036,143.0
0.037,145.0
0.038,152.0
0.039,155.0
0.04,157.0
0.041,160.0
0.042,166.0
0.043,179.0
0.044,186.0
0.045,194.0
0.046,204.0
0.047,211.0
0.048,220.0
0.049,223.0
0.05,228.0
0.051,234.0
0.052,240.0
0.053,244.0
0.054,247.0
0.055,251.0
0.056,253.0
0.057,257.0
0.058,260.0
0.059,263.0
0.06,270.0
0.061,277.0
0.062,284.0
0.063,287.0
0.064,295.0
0.065,298.0
0.066,302.0
0.067,311.0
0.068,313.0
0.069,315.0
0.07,319.0
0.071,322.0
0.072,329.0
0.073,335.0
0.074,340.0
0.075,345.0
0.076,349.0
0.077,354.0
0.078,356.0
0.079,362.0
0.08,364.0
0.081,369.0
0.082,375.0
0.083,379.0
0.084,383.0
0.085,386.0
0.086,387.0
0.087,389.0
0.088,394.0
0.089,398.0
0.09,402.0
0.091,407.0
0.092,410.0
0.093,414.0
0.094,420.0
0.095,424.0
0.096,428.0
0.097,432.0
0.098,438.0
0.099,442.0
0.1,446.0
0.101,449.0
0.102,454.0
0.103,460.0
0.104,463.0
0.105,467.0
0.106,473.0
0.107,477.0
0.108,481.0
0.109,484.0
0.11,488.0
0.111,494.0
0.112,496.0
0.113,500.0
0.114,502.0
0.115,502.0
0.116,506.0
0.117,509.0
0.118,513.0
0.119,520.0
0.12,524.0
0.121,526.0
0.122,530.0
0.123,530.0
0.124,534.0
0.125,536.0
0.126,539.0
0.127,543.0
0.128,545.0
0.129,547.0
0.13,553.0
0.131,557.0
0.132,559.0
0.133,562.0
0.134,567.0
0.135,571.0
0.136,575.0
0.137,578.0
0.138,582.0
0.139,587.0
0.14,591.0
0.141,593.0
0.142,597.0
0.143,600.0
0.144,605.0
0.145,606.0
0.146,610.0
0.147,612.0
0.148,617.0
0.149,620.0
0.15,622.0
0.151,624.0
0.152,627.0
0.153,631.0
0.154,633.0
0.155,635.0
0.156,638.0
0.157,642.0
